股票简称,1日净买入率总和,1日最新价涨跌幅,1日净买入率/涨跌幅
近岸蛋白,4.42%,0.0%,inf
宏昌科技,4.0%,0.0%,inf
天力锂能,3.96%,0.0%,inf
富士莱,3.9%,0.0%,inf
川宁生物,3.48%,0.0%,inf
亨迪药业,3.38%,0.0%,inf
宏景科技,3.36%,0.0%,inf
三博脑科,3.15%,0.0%,inf
恩威医药,3.11%,0.0%,inf
碧兴物联,3.1%,0.0%,inf
翰宇药业,3.09%,0.0%,inf
海森药业,3.03%,0.0%,inf
宣泰医药,3.01%,0.0%,inf
国科恒泰,2.84%,0.0%,inf
东星医疗,2.71%,0.0%,inf
五洲医疗,2.66%,0.0%,inf
威力传动,2.64%,0.0%,inf
新华制药,2.57%,0.0%,inf
达嘉维康,2.51%,0.0%,inf
金杨股份,2.5%,0.0%,inf
阿特斯,2.44%,0.0%,inf
敷尔佳,2.43%,0.0%,inf
福事特,2.35%,0.0%,inf
智莱科技,2.32%,0.0%,inf
金科股份,2.3%,0.0%,inf
上海凯宝,2.28%,0.0%,inf
华人健康,2.25%,0.0%,inf
西高院,2.24%,0.0%,inf
神州数码,2.08%,0.0%,inf
新天地,2.07%,0.0%,inf
慧博云通,1.99%,0.0%,inf
精智达,1.94%,0.0%,inf
众生药业,1.92%,0.0%,inf
麒麟信安,1.86%,0.0%,inf
安硕信息,1.86%,0.0%,inf
康盛股份,1.83%,0.0%,inf
君逸数码,1.79%,0.0%,inf
宏源药业,1.77%,0.0%,inf
拓新药业,1.73%,0.0%,inf
南天信息,1.68%,0.0%,inf
浙江震元,1.6%,0.0%,inf
粤万年青,1.57%,0.0%,inf
众泰汽车,1.56%,0.0%,inf
美硕科技,1.5%,0.0%,inf
翔腾新材,1.5%,0.0%,inf
飞沃科技,1.45%,0.0%,inf
明阳电气,1.41%,0.0%,inf
华远地产,1.4%,0.0%,inf
登康口腔,1.38%,0.0%,inf
森泰股份,1.36%,0.0%,inf
开创电气,1.35%,0.0%,inf
宇信科技,1.35%,0.0%,inf
普利制药,1.32%,0.0%,inf
艾布鲁,1.28%,0.0%,inf
康泰医学,1.26%,0.0%,inf
易瑞生物,1.26%,0.0%,inf
钱江水利,1.23%,0.0%,inf
海科新源,1.22%,0.0%,inf
康鹏科技,1.21%,0.0%,inf
天山电子,1.19%,0.0%,inf
药石科技,1.15%,0.0%,inf
首创证券,1.13%,0.0%,inf
海辰药业,1.12%,0.0%,inf
泓博医药,1.1%,0.0%,inf
康华生物,1.09%,0.0%,inf
大禹节水,1.09%,0.0%,inf
昊帆生物,1.08%,0.0%,inf
天禄科技,1.06%,0.0%,inf
阿石创,1.05%,0.0%,inf
纳川股份,1.04%,0.0%,inf
康希诺,1.03%,0.0%,inf
普蕊斯,1.03%,0.0%,inf
宝明科技,1.02%,0.0%,inf
福莱新材,1.01%,0.0%,inf
蓝晓科技,1.01%,0.0%,inf
