股票简称,5日净买入率总和,5日最新价涨跌幅,5日净买入率/涨跌幅
固高科技,6.7%,0.0%,inf
大宏立,1.03%,0.0%,inf
精锻科技,1.32%,0.0%,inf
太平洋,10.0%,0.61%,16.433333333333195
金科股份,7.15%,0.45%,15.801499999999637
汇金科技,1.8%,-0.15%,11.691000000000253
天新药业,1.14%,0.1%,11.388599999999569
中交地产,1.44%,0.13%,10.72080000000023
朗坤环境,2.2%,0.23%,9.745999999999862
南王科技,5.33%,-0.55%,9.744209090909141
创识科技,1.16%,0.13%,8.974533333334055
金埔园林,2.42%,-0.4%,6.0209600000001275
联合化学,1.81%,0.31%,5.794262499999868
沙河股份,1.24%,0.43%,2.8933333333333096
康力源,3.69%,1.34%,2.759636065573773
深圳瑞捷,4.95%,-1.84%,2.69644736842106
荣盛发展,3.98%,1.53%,2.5969499999999974
泰慕士,2.68%,1.19%,2.248222222222208
远翔新材,3.84%,1.78%,2.161371428571434
拓山重工,4.91%,2.37%,2.069214285714288
智翔金泰,1.62%,-0.79%,2.05592727272725
通达创智,3.97%,2.11%,1.879133333333324
东星医疗,5.25%,3.26%,1.608750000000004
金杨股份,2.38%,-1.51%,1.5793944444444472
天力锂能,13.22%,-8.47%,1.559959999999999
麒麟信安,2.15%,-1.49%,1.4476306532663255
宏景科技,2.55%,1.82%,1.398576923076926
彩蝶实业,8.07%,5.95%,1.3557600000000019
力盛体育,1.64%,-1.21%,1.3505043478260843
万丰股份,2.14%,1.59%,1.3481999999999943
炜冈科技,1.19%,-0.94%,1.2691000000000137
利仁科技,1.5%,-1.2%,1.2492857142857217
苏州规划,2.08%,-1.69%,1.2317306930693006
神州数码,1.53%,1.25%,1.2270599999999952
财达证券,2.75%,-2.34%,1.1749999999999965
亨迪药业,2.57%,2.41%,1.0667677966101696
天晟新材,6.32%,-6.18%,1.0233538461538474
江盐集团,2.13%,2.11%,1.0076538461538471
汇隆新材,2.4%,-2.46%,0.9737142857142898
慕思股份,1.19%,-1.24%,0.9626065217391286
北新路桥,1.42%,1.5%,0.9460749999999992
君逸数码,12.56%,13.46%,0.933117105263158
天元宠物,3.27%,3.66%,0.8929615384615383
百诚医药,1.48%,-1.72%,0.8623740740740754
宏源药业,5.85%,6.82%,0.8571521739130447
天元股份,1.09%,-1.28%,0.849421428571425
三博脑科,2.6%,-3.1%,0.8382440944881869
三维天地,7.71%,9.56%,0.806584615384614
盛邦安全,1.87%,-2.46%,0.7609693548387085
辉丰股份,1.92%,-2.55%,0.7519999999999991
华通线缆,2.58%,3.49%,0.7393034482758644
致尚科技,6.31%,8.65%,0.7295509761388288
中亦科技,4.05%,5.67%,0.7138511450381685
欧圣电气,2.35%,3.32%,0.7079375000000016
洪兴股份,1.84%,2.67%,0.6895818181818162
诺泰生物,1.67%,-2.43%,0.6869962500000023
富士莱,1.54%,2.24%,0.6866391304347867
银之杰,1.86%,3.07%,0.604922727272728
爱慕股份,1.59%,2.67%,0.5957200000000008
中孚信息,1.04%,1.87%,0.5570782608695641
亚宝药业,3.03%,5.72%,0.5298804878048778
浙江正特,1.29%,2.6%,0.49557500000000165
珠江股份,1.98%,-4.07%,0.4862000000000008
天风证券,1.36%,-3.04%,0.4476666666666663
科创信息,1.88%,4.26%,0.4416350877192981
百合股份,1.87%,-4.37%,0.4283999999999994
启迪环境,1.6%,3.9%,0.4098461538461542
维康药业,2.39%,5.89%,0.4059378787878798
戎美股份,1.16%,2.91%,0.39930769230768987
蓝晓科技,1.02%,-2.56%,0.399043902439026
天迈科技,2.35%,-5.92%,0.396798850574713
趣睡科技,2.22%,-5.74%,0.3870416058394158
永信至诚,1.33%,-3.45%,0.3856445833333325
华鹏飞,2.01%,-5.25%,0.3826730769230772
铜牛信息,3.72%,9.79%,0.38013750000000057
中光防雷,3.4%,8.97%,0.3789156626506024
通源环境,1.64%,4.35%,0.37669538461538443
