代码,股票名称,融资余额,融资买入额,融资偿还额,融资净买入,融资融券余额(元)
sz300308,中际旭创,3781000000.0,1303000000.0,564000000.0,739000000.0,5980000000.0
sh603019,中科曙光,4085000000.0,398000000.0,208000000.0,189000000.0,4247999999.9999995
sz300750,宁德时代,8044000000.0,469000000.00000006,280000000.0,189000000.0,8530000000.0
sh601138,工业富联,1623000000.0,343000000.0,191000000.0,153000000.0,1947000000.0
sz300418,昆仑万维,2987000000.0,473000000.00000006,336000000.0,138000000.0,3372000000.0
sz000988,华工科技,2500000000.0,391000000.0,256000000.0,135000000.0,2740000000.0
sh601059,信达证券,196000000.0,174000000.0,50579200.0,124000000.0,196000000.0
sh601162,天风证券,1457000000.0,247000000.00000003,124000000.0,123000000.0,1508000000.0
sh601127,赛力斯,1634000000.0,269000000.0,153000000.0,117000000.0,1638000000.0
sz002230,科大讯飞,7915000000.000001,437000000.0,325000000.0,112999999.99999999,8416000000.0
sh688111,金山办公,871000000.0000001,208000000.0,95364500.0,112000000.00000001,3425000000.0
sh600900,长江电力,6617000000.0,151000000.0,51016400.0,100000000.0,6964000000.0
sz300475,香农芯创,548000000.0,200999999.99999997,104000000.0,97260400.00000001,548000000.0
sz300502,新易盛,1434000000.0,300000000.0,206999999.99999997,93453300.0,1710000000.0000002
sh600011,华能国际,336000000.0,117000000.0,25864000.0,91582900.00000001,366000000.0
sz300033,同花顺,983000000.0,261000000.0,169000000.0,91438100.0,1074000000.0
sz300394,天孚通信,523000000.00000006,176000000.0,85242900.00000001,91031600.0,575000000.0
sz002475,立讯精密,2337000000.0,151000000.0,64071100.0,86875500.0,2365000000.0
sh600602,云赛智联,515000000.00000006,227000000.0,144000000.0,83148400.0,528000000.0
sz002156,通富微电,903999999.9999999,196000000.0,115999999.99999999,79859000.0,1017000000.0
sh600809,山西汾酒,2211000000.0,248000000.0,173000000.0,74582300.0,2286000000.0
sh603806,福斯特,771000000.0,105000000.0,30926600.0,73796000.0,826000000.0
