代码,股票名称,融资余额,融资买入额,融资偿还额,融资净买入,融资融券余额(元)
sh601128,常熟银行,147000000.0,4833400.0,1828000.0,3005400.0,157000000.0
sz300908,仲景食品,64200300.0,8773700.0,5779500.0,2994200.0,64200300.0
sz301289,国缆检测,88636200.00000001,42433700.0,39440700.0,2993000.0,88829700.0
sh600682,南京新百,138000000.0,8360700.000000001,5369299.999999999,2991400.0,141000000.0
sz301295,美硕科技,25380700.0,8085100.0,5104000.0,2981100.0,25380700.0
sz300249,依米康,196000000.0,19718200.0,16743000.0,2975200.0,196000000.0
sz002035,华帝股份,195000000.0,4672300.0,1702200.0,2970000.0,195000000.0
sh688335,复洁环保,35056600.0,5459200.0,2490100.0,2969100.0000000005,35056600.0
sh600512,腾达建设,214000000.0,6197600.0,3233399.9999999995,2964100.0000000005,214000000.0
sh600373,中文传媒,237000000.0,27801600.0,24870300.000000004,2931300.0,245000000.00000003
sh603429,集友股份,146000000.0,3664800.0,735500.0,2929300.0,147000000.0
sh601608,中信重工,359000000.0,9588700.0,6670000.0,2918700.0,362000000.0
sh601918,新集能源,501999999.99999994,4508800.0,1599100.0,2909700.0000000005,503000000.0
sz300233,金城医药,334000000.0,6794800.0,3894800.0,2900000.0,338000000.0
sz002039,黔源电力,92596800.0,3938700.0,1061900.0,2876800.0,102000000.0
sz000826,启迪环境,248000000.0,6512700.0,3643700.0,2868900.0,249000000.00000003
sh601998,中信银行,430999999.99999994,15333699.999999998,12467900.0,2865800.0,455000000.0
sz002750,龙津药业,46848000.0,5925500.0,3061500.0,2864000.0,47832700.00000001
sz301038,深水规院,64307600.0,7327800.0,4466400.0,2861500.0,64307600.0
sh600704,物产中大,1006000000.0,12282700.0,9431700.0,2851000.0,1013000000.0000001
sh600345,长江通信,179000000.0,6813300.0,3966700.0,2846600.0000000005,186000000.0
sh600452,涪陵电力,931000000.0,6592000.0,3745700.0,2846400.0,939000000.0
sh601619,嘉泽新能,95128400.0,7961400.0,5115900.0,2845500.0,99891900.0
sh603042,华脉科技,159000000.0,37595000.0,34750700.0,2844300.0,159000000.0
sz002379,宏创控股,104000000.0,5239200.0,2396200.0,2843000.0,183000000.0
sh605358,立昂微,868000000.0,14058200.0,11243400.0,2814800.0,1013000000.0000001
sz002453,华软科技,325000000.0,3793100.0,983800.0,2809400.0,329000000.0
sz002249,大洋电机,497000000.0,11062300.0,8254100.0,2808200.0,521000000.0
sz301067,显盈科技,29567700.0,6658099.999999999,3852000.0,2806000.0,29567700.0
sz300569,天能重工,137000000.0,7301600.0,4500300.0,2801300.0,250000000.0
sz300958,建工修复,59974700.0,13473900.000000002,10673699.999999998,2800200.0,65902700.00000001
sz301486,致尚科技,108000000.0,31148000.0,28350900.0,2797100.0,108000000.0
sz301201,诚达药业,77300600.0,16275600.0,13498599.999999998,2777000.0,77300600.0
sz301030,仕净科技,258000000.0,12000400.0,9227200.0,2773200.0,261000000.0
sz000099,中信海直,397000000.0,21034699.999999996,18266900.0,2767799.9999999995,397000000.0
sz301276,嘉曼服饰,43675100.0,7273900.0,4516300.0,2757600.0,43675100.0
sh688602,康鹏科技,49871200.0,12765500.0,10012700.0,2752900.0,53569799.99999999
