日期,概念名称,净流入
2023-07-31,证券,78亿
2023-07-31,保险,17亿
2023-07-31,汽车整车,4亿
2023-07-31,旅游酒店,2亿
2023-07-31,多元金融,1亿
2023-07-31,航空机场,8126万
2023-07-31,电源设备,3753万
2023-07-31,玻璃玻纤,2733万
