日期,概念名称,净流入
2023-07-13,酿酒行业,19亿
2023-07-13,光伏设备,12亿
2023-07-13,电池,10亿
2023-07-13,证券,6亿
2023-07-13,旅游酒店,6亿
2023-07-13,教育,8335万
2023-07-13,珠宝首饰,1984万
2023-07-13,贵金属,1638万
