代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
BK0571,预盈预增,4132.14,1.1,1327383808,0.41000000000000003,2215023872,0.68,-887640064,-0.27,-1420988416,-0.44,93601792,0.03
BK0900,新能源车,1537.43,0.99,1269215232,0.88,1345506304,0.93,-76291072,-0.05,-823091200,-0.5700000000000001,-449982208,-0.31
BK0802,无人驾驶,1350.35,1.25,1267351296,1.75,1413076480,1.9500000000000002,-145725184,-0.2,-1087399680,-1.5,-179951616,-0.25
BK0835,独角兽,1594.21,1.27,1160451840,1.6099999999999999,661842944,0.92,498608896,0.6900000000000001,-233889280,-0.32,-926562560,-1.29
BK0642,手游概念,1129.88,2.68,1064444960,3.71,722589728,2.52,341855232,1.19,-324615424,-1.13,-739829760,-2.58
BK1000,宁组合,618.87,1.11,1013268736,2.6,412205312,1.06,601063424,1.54,-222046208,-0.5700000000000001,-791222528,-2.03
BK0509,网络游戏,10943.31,2.24,1006609456,3.0,622910768,1.8599999999999999,383698688,1.1400000000000001,-352454400,-1.05,-654155008,-1.9500000000000002
BK0722,虚拟现实,835.32,1.1,952542464,1.78,634798848,1.19,317743616,0.59,-473534720,-0.89,-476199680,-0.89
BK1053,低价股,918.92,2.55,935928064,2.19,982278656,2.3,-46350592,-0.11,-652282112,-1.53,-283645952,-0.66
BK0864,氢能源,1093.02,0.92,856115200,1.8900000000000001,730791936,1.6099999999999999,125323264,0.28,-745914624,-1.6400000000000001,-116346880,-0.26
BK0534,成渝特区,17588.67,1.53,834714112,1.83,1120474112,2.46,-285760000,-0.63,-765711872,-1.6800000000000002,-69002240,-0.15
BK0903,云游戏,1197.09,2.37,778513840,6.11,425648448,3.34,352865392,2.77,-208444416,-1.6400000000000001,-570069280,-4.47
BK0662,在线教育,1847.13,1.53,753788224,1.9500000000000002,736710464,1.9,17077760,0.04,-571772160,-1.48,-179195648,-0.46
BK0920,车联网,1123.89,0.9400000000000001,735358208,1.3599999999999999,813409024,1.5,-78050816,-0.14,-828140800,-1.53,92559104,0.17
BK0984,华为汽车,1458.64,1.19,727289296,2.49,537576912,1.8399999999999999,189712384,0.65,-254606592,-0.87,-472682752,-1.62
BK0721,PPP模式,678.52,1.75,703930112,1.87,770227456,2.05,-66297344,-0.18,-636366848,-1.69,-67563264,-0.18
BK1126,ChatGPT概念,1517.65,1.55,701072000,2.01,887405952,2.54,-186333952,-0.53,-501582592,-1.44,-199489280,-0.5700000000000001
BK0689,阿里概念,2052.39,1.62,699206656,1.34,390703360,0.75,308503296,0.59,-477142784,-0.92,-222063616,-0.43
BK0682,燃料电池,3083.19,0.9,655259856,1.77,340494800,0.92,314765056,0.85,-271846144,-0.73,-386166272,-1.04
BK1009,元宇宙概念,1645.27,1.46,627471616,1.07,516084480,0.88,111387136,0.19,-349772800,-0.6000000000000001,-274890752,-0.47000000000000003
BK0703,超级电容,3502.11,1.4,596065808,4.12,411347984,2.84,184717824,1.28,-305225024,-2.11,-290840784,-2.01
BK1025,预制菜概念,1159.81,2.96,580582832,5.99,558843776,5.76,21739056,0.22,-267493440,-2.76,-313523536,-3.23
BK0965,社区团购,847.98,3.03,566220640,5.25,660479072,6.12,-94258432,-0.87,-342160416,-3.17,-224060224,-2.08
BK0899,CRO,1601.61,2.06,543668640,5.25,203310480,1.96,340358160,3.29,-94633424,-0.91,-449035184,-4.33
BK0924,地摊经济,1568.24,2.51,512954368,3.37,552840128,3.63,-39885760,-0.26,-331686912,-2.18,-181267472,-1.19
BK0498,AB股,10318.58,1.22,483441664,2.31,465564160,2.22,17877504,0.09,-477562112,-2.2800000000000002,-5879808,-0.03
BK1048,IGBT概念,826.5,1.3599999999999999,468772736,2.48,467994496,2.48,778240,0.0,-490556416,-2.6,21783552,0.12
BK1001,内贸流通,1227.33,2.07,413510064,1.29,761205680,2.38,-347695616,-1.09,-510987264,-1.6,97477376,0.30000000000000004
BK0945,装配建筑,1025.16,1.8399999999999999,411083728,1.38,513440720,1.72,-102356992,-0.34,-440038400,-1.48,29100288,0.1
BK0940,网红直播,606.81,2.45,409149696,0.85,55682560,0.12,353467136,0.74,-270717184,-0.5700000000000001,-138432512,-0.29
BK0845,百度概念,1242.98,1.23,389652480,0.65,400119808,0.67,-10467328,-0.02,-434116352,-0.72,44463616,0.07
BK1086,粮食概念,900.72,4.04,385589648,4.51,304715584,3.5700000000000003,80874064,0.9500000000000001,-96095008,-1.13,-289494640,-3.39
BK0595,风能,1843.54,1.08,375939840,0.9,703122176,1.6800000000000002,-327182336,-0.78,-561823232,-1.34,185771520,0.44
BK0997,NFT概念,1333.19,1.8399999999999999,375661840,2.5,415367584,2.77,-39705744,-0.26,-161011200,-1.07,-214650368,-1.43
BK0847,影视概念,852.03,2.18,365901072,2.71,206895760,1.53,159005312,1.18,-142742016,-1.06,-221981680,-1.65
BK0951,刀片电池,2357.21,2.44,362430224,3.79,326346144,3.41,36084080,0.38,-263447344,-2.76,-98982864,-1.04
BK0854,华为概念,2645.83,0.8,360711936,0.2,933152000,0.53,-572440064,-0.32,-482144256,-0.27,121363968,0.07
BK0935,中芯概念,1060.67,0.85,343756960,1.97,66064704,0.38,277692256,1.5899999999999999,-222771200,-1.28,-120069376,-0.6900000000000001
BK0665,电商概念,1911.53,1.87,340808448,0.37,971875328,1.07,-631066880,-0.6900000000000001,-584420608,-0.64,243619072,0.27
BK0724,海绵城市,874.62,2.56,322997568,3.32,166757248,1.72,156240320,1.6099999999999999,-260223296,-2.68,-62774288,-0.65
BK0987,盐湖提锂,1324.96,1.05,308418512,1.75,470534864,2.67,-162116352,-0.92,-438116864,-2.49,129698224,0.74
BK1067,杭州亚运会,1082.83,1.57,307547056,1.82,261773808,1.55,45773248,0.27,-309191424,-1.83,1644288,0.01
BK0574,锂电池,2995.46,1.12,302352384,0.33,263372800,0.29,38979584,0.04,-227786496,-0.25,-91294720,-0.1
BK0671,彩票概念,2326.11,1.97,298659296,2.5,366598800,3.07,-67939504,-0.5700000000000001,-60745888,-0.51,-237913408,-1.99
BK0493,新能源,14562.64,1.07,295958528,0.72,189501952,0.46,106456576,0.26,-676588800,-1.6400000000000001,383394816,0.93
BK0912,远程办公,1377.02,0.77,288786288,1.74,132306752,0.8,156479536,0.9400000000000001,-192003840,-1.15,-96782592,-0.58
BK0601,海工装备,1452.35,1.3,278036800,2.09,334136960,2.51,-56100160,-0.42,-52375984,-0.39,-225660832,-1.7000000000000002
BK0972,快手概念,1206.65,1.43,273926080,3.38,207853376,2.56,66072704,0.81,-203923664,-2.52,-70002432,-0.86
BK0706,人脑工程,3436.13,1.13,269628768,2.91,306904432,3.32,-37275664,-0.4,-43004064,-0.46,-226624704,-2.45
BK0813,雄安新区,872.74,1.5,252568320,0.58,209305856,0.48,43262464,0.1,-607155200,-1.4,354587136,0.8200000000000001
BK1129,数字水印,940.94,1.12,248433520,7.64,315600128,9.71,-67166608,-2.07,-108390576,-3.33,-140042944,-4.31
BK0834,乡村振兴,1429.0,1.9500000000000002,245330976,0.92,279629600,1.05,-34298624,-0.13,-74480128,-0.28,-170850560,-0.64
BK0592,铁路基建,2068.22,1.1,239719168,1.05,49712384,0.22,190006784,0.8300000000000001,-350525696,-1.53,110806784,0.48
BK0597,水利建设,1539.99,1.58,219526848,0.91,272433088,1.13,-52906240,-0.22,-215433472,-0.9,-4093696,-0.02
BK1080,新型城镇化,913.61,2.05,209034688,1.17,195806400,1.1,13228288,0.07,-122066944,-0.6900000000000001,-86967808,-0.49
BK0561,基本金属,22870.86,1.31,208179936,1.43,76140736,0.52,132039200,0.91,-261348096,-1.8,53168176,0.37
BK0901,3D摄像头,1043.08,1.15,205532192,4.2,105530768,2.15,100001424,2.04,-80039536,-1.63,-125492640,-2.56
BK0960,无线充电,2064.93,0.84,198286096,1.1,233835024,1.29,-35548928,-0.2,-370569472,-2.05,172283392,0.9500000000000001
BK0743,深证100R,1217.42,0.8300000000000001,191639296,0.13,331176704,0.23,-139537408,-0.1,-1571225600,-1.09,1379586304,0.96
BK0566,滨海新区,11287.11,1.83,184737712,3.11,267327520,4.5,-82589808,-1.3900000000000001,-289391760,-4.87,104654064,1.76
BK0664,婴童概念,1445.14,1.08,184346512,0.76,688845456,2.8200000000000003,-504498944,-2.07,-581047040,-2.38,396700672,1.63
BK0672,沪企改革,2238.24,2.02,172272640,1.87,186475904,2.03,-14203264,-0.15,-264934336,-2.88,92661680,1.01
BK0674,蓝宝石,2822.26,0.54,167203936,1.8599999999999999,176984048,1.97,-9780112,-0.11,-173046048,-1.9300000000000002,5842128,0.07
BK0907,转基因,1579.23,2.91,165568945,4.08,57244337,1.4100000000000001,108324608,2.67,-87648752,-2.16,-77920192,-1.92
BK0975,磁悬浮概念,1488.4,1.09,162483408,2.52,137674848,2.13,24808560,0.38,-171930320,-2.66,9446896,0.15
BK0985,换电概念,1260.13,1.79,161444176,1.77,16620368,0.18,144823808,1.5899999999999999,-215448768,-2.37,54004592,0.59
BK0801,增强现实,944.95,1.1,157208480,1.55,121087392,1.2,36121088,0.36,-37216448,-0.37,-119992032,-1.18
BK1141,混合现实,1030.21,1.09,153933728,1.94,120640592,1.52,33293136,0.42,-42187616,-0.53,-111746112,-1.4100000000000001
BK0982,电子车牌,1137.79,1.32,153515920,3.58,123138848,2.87,30377072,0.71,-112265920,-2.62,-41250016,-0.96
BK1074,托育服务,820.97,1.6600000000000001,150142967,4.01,120222999,3.21,29919968,0.8,-38007344,-1.02,-112135648,-3.0
BK1115,跨境电商,1122.17,1.53,144101056,0.8200000000000001,114731504,0.65,29369552,0.17,-259594752,-1.48,115501056,0.66
BK0693,基因测序,1973.86,-0.12,138139216,1.35,-52570992,-0.51,190710208,1.8599999999999999,-82550528,-0.8,-58156400,-0.5700000000000001
BK0953,鸿蒙概念,1113.69,1.1400000000000001,135835648,0.9,139157328,0.92,-3321680,-0.02,14511360,0.1,-150347008,-1.0
BK0677,粤港自贸,2624.77,2.22,135764192,0.92,143954304,0.98,-8190112,-0.06,-301812992,-2.06,166048768,1.13
BK0928,抖音小店,963.85,2.41,130136041,4.58,142266457,5.01,-12130416,-0.43,-30392192,-1.07,-99743872,-3.51
BK0873,垃圾分类,1253.64,1.35,127771232,1.05,135739504,1.12,-7968272,-0.07,-86884608,-0.72,-40381696,-0.33
BK0712,一带一路,1201.03,1.31,125715200,0.13,152508928,0.15,-26793728,-0.03,-938748416,-0.9400000000000001,813032960,0.81
BK1108,科创板做市股,924.53,1.11,124309200,1.04,-109718144,-0.92,234027344,1.96,68494592,0.5700000000000001,-192803760,-1.6099999999999999
BK0807,共享经济,886.82,2.4,122352336,2.92,70410720,1.6800000000000002,51941616,1.24,-142143088,-3.39,19790736,0.47000000000000003
BK0633,送转预期,1781.79,1.2,120343872,0.86,-77863168,-0.56,198207040,1.42,180719360,1.3,-301063152,-2.16
BK0919,RCS概念,1102.52,0.8200000000000001,119694464,1.88,114759632,1.8,4934832,0.08,-118010592,-1.85,-1683872,-0.03
BK0715,航母概念,781.83,0.9500000000000001,118442272,0.9,183519616,1.4,-65077344,-0.5,-89112864,-0.68,-29329424,-0.22
BK0684,京津冀,1555.28,2.2,115516288,0.78,332059856,2.25,-216543568,-1.47,-247009024,-1.6800000000000002,131492848,0.89
BK1092,麒麟电池,883.22,1.52,115430400,1.43,-21229920,-0.26,136660320,1.69,255857200,3.16,-371287600,-4.59
BK0700,充电桩,2049.19,1.02,100119296,0.22,295214848,0.65,-195095552,-0.43,-492068864,-1.08,391949568,0.86
BK0916,氮化镓,1082.46,0.8300000000000001,97147104,1.03,139071264,1.47,-41924160,-0.44,8748992,0.09,-105896080,-1.12
BK1087,超超临界发电,1221.32,1.4,96262112,1.04,59900352,0.64,36361760,0.39,-170254032,-1.83,73991904,0.8
BK0708,体育产业,1128.37,1.69,94610128,0.81,164748736,1.4,-70138608,-0.6000000000000001,-9206544,-0.08,-85456160,-0.73
BK1081,核酸采样亭,1407.92,0.53,92569024,1.8,117442288,2.2800000000000002,-24873264,-0.48,-41276896,-0.8,-51292128,-1.0
BK1093,汽车一体化压铸,1106.42,1.83,89194224,1.67,36749904,0.6900000000000001,52444320,0.98,-8707296,-0.16,-80486928,-1.5
BK0933,退税商店,1130.4,3.1,83066805,4.32,65992037,3.43,17074768,0.89,-56143808,-2.92,-26922976,-1.4
BK0617,石墨烯,1906.99,1.06,80163424,0.73,-23870368,-0.22,104033792,0.9500000000000001,-86887776,-0.8,7167600,0.07
BK0635,中超概念,2077.04,1.73,78374136,3.61,100022968,4.6,-21648832,-1.0,-74495344,-3.43,-3878784,-0.18
BK0957,拼多多概念,964.81,1.88,70004916,3.38,39676100,1.9100000000000001,30328816,1.46,9622352,0.46,-79627264,-3.84
BK0991,工程机械概念,1071.01,1.3,68470112,0.93,154940496,2.11,-86470384,-1.18,-116273904,-1.58,45532240,0.62
BK1076,建筑节能,935.91,1.3,66097232,1.1,25944368,0.43,40152864,0.67,-50123424,-0.84,-15973840,-0.27
BK0914,医废处理,1134.74,1.06,64835923,1.5,-30811149,-0.71,95647072,2.21,-189289680,-4.38,124453760,2.88
BK1119,PLC概念,1250.04,2.42,64295322,2.65,-6937734,-0.29,71233056,2.94,48904416,2.02,-113199712,-4.66
BK0959,数字阅读,1336.22,2.2,61364736,1.9100000000000001,76485648,2.38,-15120912,-0.47000000000000003,-48874400,-1.52,-12490352,-0.39
BK0995,华为昇腾,995.6,0.91,55847248,0.8,55974704,0.8,-127456,0.0,-74759184,-1.07,18911936,0.27
BK0855,纳米银,1350.24,1.5,49399648,1.94,18211488,0.71,31188160,1.22,-8727904,-0.34,-40671744,-1.6
BK0986,CAR-T细胞疗法,882.64,-0.07,49218992,0.62,-208352912,-2.63,257571904,3.25,-17046688,-0.22,-32074176,-0.4
BK1022,职业教育,1110.65,1.4,48910832,0.45,71128000,0.65,-22217168,-0.2,-35346192,-0.32,-10756512,-0.1
BK1103,熔盐储能,781.9,1.78,48403179,4.51,8795851,0.8200000000000001,39607328,3.69,8632704,0.8,-57658304,-5.37
BK0623,海洋经济,2314.51,1.76,48090640,0.8300000000000001,-98323648,-1.7000000000000002,146414288,2.5300000000000002,-79283200,-1.37,31192560,0.54
BK0643,上海自贸,2697.77,1.65,47518976,0.62,-25174080,-0.33,72693056,0.9500000000000001,-205126688,-2.69,157607728,2.07
BK0887,鸡肉概念,927.96,2.4,42379504,0.96,45277264,1.02,-2897760,-0.07,-88995744,-2.01,46616240,1.05
BK0852,冷链物流,1582.82,0.9400000000000001,38828352,0.19,89637184,0.45,-50808832,-0.25,-178796288,-0.89,139967744,0.7000000000000001
BK0656,智能电视,951.54,1.02,38321520,1.23,-7411664,-0.24,45733184,1.47,-20554720,-0.66,-17766816,-0.5700000000000001
BK0918,特高压,1577.92,1.02,37831680,0.30000000000000004,72104560,0.58,-34272880,-0.28,-320890080,-2.58,283058352,2.27
BK0923,字节概念,1081.66,2.03,35900368,0.13,36705488,0.13,-805120,0.0,-117686272,-0.43,81786112,0.30000000000000004
BK0981,工业气体,1438.74,0.48,34318306,1.22,-17411070,-0.62,51729376,1.8399999999999999,48908352,1.74,-89372640,-3.18
BK1013,华为欧拉,1069.01,0.88,32942160,0.51,-29639408,-0.45,62581568,0.96,64088672,0.98,-97030832,-1.49
BK0632,土地流转,1632.88,2.43,29408432,0.32,61022672,0.66,-31614240,-0.34,-47375376,-0.51,17966944,0.19
BK0904,广电,1235.5,1.2,27870507,0.76,10483691,0.29,17386816,0.48,-39947712,-1.1,13254544,0.36
BK0806,精准医疗,1007.31,-0.8300000000000001,26168704,0.22,-201500928,-1.73,227669632,1.9500000000000002,-37453504,-0.32,11284800,0.1
BK0949,氦气概念,1506.3,0.13,25834044,2.59,-10351809,-1.04,36185853,3.62,12987440,1.3,-38821472,-3.89
BK0875,ETC,1502.91,0.96,24582256,0.31,86261296,1.1,-61679040,-0.78,-158024176,-2.01,133441920,1.7000000000000002
BK0865,电子烟,1513.54,0.28,21368912,0.25,-3357424,-0.04,24726336,0.29,-110467840,-1.27,89098928,1.03
BK0839,知识产权,1587.19,1.25,21297344,0.24,61481248,0.7000000000000001,-40183904,-0.46,-37793632,-0.43,17673616,0.2
