代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
BK1056,幽门螺杆菌概念,889.76,0.32,-10902656,-0.23,-26284704,-0.56,15382048,0.33,-6283232,-0.13,17185888,0.37
BK0928,抖音小店,942.95,0.2,-11710706,-0.49,69250974,2.9,-80961680,-3.39,-115864640,-4.85,127575360,5.35
BK0822,租售同权,773.35,2.98,-12166096,-0.12,87291568,0.89,-99457664,-1.01,-33873504,-0.34,46039616,0.47000000000000003
BK0973,注射器概念,1179.85,0.31,-12367555,-1.51,-9635835,-1.18,-2731720,-0.33,-14025296,-1.72,26392864,3.23
BK1026,调味品概念,932.91,0.63,-12894267,-0.35000000000000003,-39737227,-1.09,26842960,0.74,-44678832,-1.23,57573088,1.58
BK1063,重组蛋白,741.31,1.88,-12960650,-1.4100000000000001,-17675632,-1.9300000000000002,4714982,0.51,-11221568,-1.22,28975872,3.16
BK1123,蒙脱石散,975.24,0.88,-13454601,-1.42,-579510,-0.06,-12875091,-1.3599999999999999,191296,0.02,13263312,1.4
BK1117,抗原检测,821.59,0.4,-16354032,-0.32,10032752,0.19,-26386784,-0.51,-82380688,-1.5899999999999999,98734720,1.9100000000000001
BK0818,可燃冰,1054.27,-0.01,-17151934,-1.65,-16614588,-1.6,-537346,-0.05,-27868416,-2.69,45020352,4.34
BK0961,有机硅,1385.71,0.2,-18260564,-0.56,-67862228,-2.07,49601664,1.52,49792336,1.52,-31531792,-0.96
BK0938,代糖概念,937.48,0.07,-20272738,-2.18,-3857240,-0.41000000000000003,-16415498,-1.77,-45759616,-4.92,66032352,7.1
BK1109,供销社概念,1098.43,1.19,-22897699,-1.19,-4911491,-0.25,-17986208,-0.93,36971984,1.92,-14074304,-0.73
BK0690,氟化工,3343.37,0.31,-22951440,-0.34,-137564656,-2.05,114613216,1.71,-18114000,-0.27,41065456,0.61
BK0566,滨海新区,10969.66,0.99,-25122880,-0.65,154148496,4.01,-179271376,-4.67,-77290464,-2.01,102413344,2.67
BK1096,光伏高速公路,1078.67,-0.32,-26179410,-6.79,-8637822,-2.24,-17541588,-4.55,-1398616,-0.36,27578025,7.15
BK1094,钙钛矿电池,935.23,-0.81,-26181872,-0.55,-23589200,-0.49,-2592672,-0.05,53422464,1.12,-27240608,-0.5700000000000001
BK0492,煤化工,8790.47,0.91,-28314688,-0.23,-78176272,-0.64,49861584,0.41000000000000003,-14746960,-0.12,43037424,0.35000000000000003
