代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
BK0997,NFT概念,1335.38,0.9,445465472,3.49,593293504,4.65,-147828032,-1.16,-298324816,-2.34,-147140736,-1.15
BK1055,虚拟数字人,1065.63,0.86,398489376,1.62,661835552,2.68,-263346176,-1.07,-343020544,-1.3900000000000001,-55468800,-0.22
BK0954,盲盒经济,1085.64,1.28,389907094,18.41,444544902,20.99,-54637808,-2.58,-185675904,-8.77,-204231184,-9.64
BK0847,影视概念,854.46,0.93,370025808,3.69,445719184,4.44,-75693376,-0.75,-129216176,-1.29,-240886432,-2.4
BK1133,ERP概念,1011.61,3.12,354464208,5.17,320899840,4.68,33564368,0.49,-134627424,-1.96,-219836768,-3.21
BK1135,数据要素,927.56,0.45,310671840,1.76,339049136,1.92,-28377296,-0.16,-161024768,-0.91,-151327232,-0.86
BK1115,跨境电商,1095.69,0.96,278342960,2.35,460414896,3.88,-182071936,-1.53,-77117984,-0.65,-201241904,-1.7000000000000002
BK0982,电子车牌,1174.95,1.08,257609035,7.76,146896459,4.42,110712576,3.33,-193090224,-5.8100000000000005,-64518816,-1.94
BK0822,租售同权,701.41,1.3599999999999999,246680016,6.0,188653264,4.59,58026752,1.4100000000000001,-128244608,-3.12,-118435408,-2.88
BK0945,装配建筑,957.27,0.8300000000000001,205436848,2.2,231574128,2.48,-26137280,-0.28,-90924592,-0.97,-120018816,-1.28
BK0959,数字阅读,1376.77,2.25,191649872,4.44,188587824,4.37,3062048,0.07,-117299520,-2.7199999999999998,-74350352,-1.72
BK1049,EDR概念,952.79,0.41000000000000003,177120928,3.55,178883424,3.58,-1762496,-0.04,-179865984,-3.6,2745024,0.05
BK0711,券商概念,875.42,0.78,163357952,1.23,-6973344,-0.05,170331296,1.28,-128661440,-0.97,-34696448,-0.26
BK0992,REITs概念,745.0,1.13,150612160,2.36,133357600,2.09,17254560,0.27,-179063264,-2.81,28451104,0.45
BK1143,空间计算,969.45,3.47,149017956,4.04,104435156,2.83,44582800,1.21,31854192,0.86,-180872144,-4.91
BK0724,海绵城市,821.91,1.75,148293424,2.86,233091808,4.5,-84798384,-1.6400000000000001,-47546864,-0.92,-100746592,-1.9500000000000002
BK0955,C2M概念,1075.71,0.6900000000000001,137559152,2.25,111411888,1.82,26147264,0.43,-31357296,-0.51,-106201840,-1.74
BK1129,数字水印,951.63,0.8200000000000001,133808512,2.6,72601840,1.4100000000000001,61206672,1.19,15276912,0.30000000000000004,-149085408,-2.9
BK0882,猪肉概念,1421.03,0.21,103337440,1.85,147896896,2.65,-44559456,-0.8,-10685424,-0.19,-92652032,-1.6600000000000001
BK0940,网红直播,586.51,0.75,95825120,0.48,426916832,2.13,-331091712,-1.65,-85555712,-0.43,-10269696,-0.05
BK0664,婴童概念,1381.24,0.33,91093312,0.88,288346208,2.8,-197252896,-1.9100000000000001,-187651424,-1.82,96558112,0.9400000000000001
BK1080,新型城镇化,842.27,1.49,87862472,1.46,60368760,1.0,27493712,0.46,46559232,0.77,-134421696,-2.24
