,行业,行业指数,涨跌幅,流入资金(亿),流出资金(亿),净额(亿),成交额,成交额占比%
4,证券,1393.37,2.77%,409.03,576.85,-167.82,985.88,8.78
72,计算机应用,9893.69,-0.28%,267.38,335.28,-67.91,602.66,5.37
48,电力设备,4244.65,0.64%,231.58,239.78,-8.2,471.36,4.2
34,传媒,2336.82,0.91%,151.16,166.08,-14.92,317.24,2.82
61,半导体及元件,6346.23,0.10%,130.67,137.05,-6.38,267.72,2.38
1,房地产开发,1761.89,5.02%,129.01,121.02,8.0,250.02999999999997,2.23
74,饮料制造,4430.87,-0.55%,112.02,128.69,-16.67,240.70999999999998,2.14
15,银行,951.565,1.58%,109.53,104.07,5.47,213.6,1.9
9,环保,3405.07,2.04%,95.29,96.24,-0.95,191.53,1.71
10,建筑装饰,3216.14,1.95%,78.66,87.23,-8.57,165.89,1.48
40,通信设备,3674.63,0.79%,76.36,79.6,-3.24,155.95999999999998,1.39
65,计算机设备,2471.09,-0.00%,67.51,83.33,-15.81,150.84,1.34
52,国防军工,1532.19,0.47%,64.74,78.76,-14.02,143.5,1.28
6,保险及其他,1752.99,2.43%,67.44,60.17,7.27,127.61,1.14
43,汽车零部件,3622.8,0.74%,58.52,68.81,-10.29,127.33000000000001,1.13
35,化学制品,5054.36,0.91%,54.42,68.42,-14.0,122.84,1.09
51,化学制药,4443.87,0.58%,49.87,53.07,-3.2,102.94,0.92
42,电力,1458.34,0.76%,42.29,56.36,-14.06,98.65,0.88
41,专用设备,4190.04,0.78%,46.28,50.18,-3.9,96.46000000000001,0.86
12,汽车整车,2245.84,1.67%,47.23,48.67,-1.44,95.9,0.85
50,消费电子,5347.25,0.60%,48.37,46.01,2.36,94.38,0.84
75,通信服务,1918.93,-0.82%,41.0,49.14,-8.14,90.14,0.8
46,小金属,3807.64,0.69%,39.46,49.59,-10.14,89.05000000000001,0.79
38,医疗器械,9335.97,0.84%,39.71,43.93,-4.23,83.64,0.74
71,自动化设备,13857.8,-0.22%,38.78,43.6,-4.82,82.38,0.73
2,煤炭开采加工,2080.67,3.33%,45.63,33.92,11.7,79.55000000000001,0.71
45,中药,3385.78,0.70%,36.02,40.42,-4.4,76.44,0.68
62,医疗服务,14888.2,0.09%,38.34,38.16,0.17,76.5,0.68
27,工业金属,2218.49,1.12%,36.86,38.76,-1.91,75.62,0.67
39,光学光电子,2871.08,0.81%,34.14,40.81,-6.67,74.95,0.67
64,通用设备,4441.96,0.01%,31.35,39.02,-7.67,70.37,0.63
28,养殖业,2681.52,1.09%,32.01,35.36,-3.35,67.37,0.6
73,食品加工制造,4584.61,-0.41%,30.11,36.11,-6.01,66.22,0.59
30,零售,1524.67,1.03%,29.44,32.04,-2.61,61.480000000000004,0.55
5,建筑材料,4205.81,2.51%,31.48,28.08,3.4,59.56,0.53
33,化学原料,2498.01,1.00%,27.28,28.58,-1.3,55.86,0.5
56,生物制品,5317.93,0.31%,22.73,26.33,-3.6,49.06,0.44
26,化工合成材料,3725.28,1.17%,23.6,25.02,-1.42,48.620000000000005,0.43
17,白色家电,4389.09,1.52%,23.55,22.09,1.47,45.64,0.41
11,钢铁,1383.69,1.70%,22.97,22.8,0.17,45.769999999999996,0.41
36,农产品加工,3742.8,0.91%,20.35,21.97,-1.62,42.32,0.38
24,包装印刷,2876.96,1.20%,18.59,23.99,-5.4,42.58,0.38
8,家用轻工,2992.87,2.29%,18.91,20.15,-1.24,39.06,0.35
18,石油加工贸易,2827.83,1.46%,19.0,17.78,1.22,36.78,0.33
32,物流,4328.93,1.02%,18.07,19.33,-1.26,37.4,0.33
19,港口航运,897.6010000000001,1.45%,15.11,14.88,0.23,29.990000000000002,0.27
69,贵金属,2010.93,-0.13%,12.37,16.57,-4.2,28.939999999999998,0.26
63,医药商业,4613.24,0.08%,13.74,15.97,-2.23,29.71,0.26
7,造纸,1774.2,2.32%,13.57,13.92,-0.35,27.490000000000002,0.24
31,美容护理,4494.59,1.02%,12.83,14.58,-1.74,27.41,0.24
25,公路铁路运输,1050.73,1.18%,11.95,15.42,-3.47,27.369999999999997,0.24
68,其他社会服务,14737.6,-0.09%,12.41,13.78,-1.37,26.189999999999998,0.23
37,非汽车交运,2067.31,0.84%,11.86,12.53,-0.68,24.39,0.22
60,机场航运,1935.41,0.20%,10.34,14.43,-4.09,24.77,0.22
57,电子化学品,27947.3,0.30%,10.95,12.87,-1.92,23.82,0.21
21,油气开采及服务,1107.39,1.30%,11.38,12.14,-0.75,23.520000000000003,0.21
54,仪器仪表,3752.66,0.38%,10.87,11.46,-0.59,22.33,0.2
23,服装家纺,2223.52,1.21%,9.21,10.08,-0.86,19.29,0.17
66,其他电子,7856.11,-0.02%,8.36,10.88,-2.52,19.240000000000002,0.17
20,综合,2057.16,1.37%,8.47,9.32,-0.85,17.79,0.16
49,景点及旅游,2703.38,0.62%,8.81,8.61,0.2,17.42,0.16
0,房地产服务,3279.06,6.35%,7.4,9.3,-1.9,16.700000000000003,0.15
59,种植业与林业,3492.19,0.26%,7.63,9.34,-1.72,16.97,0.15
53,燃气,1255.69,0.39%,6.23,7.88,-1.65,14.11,0.13
16,教育,4322.75,1.54%,7.27,7.47,-0.2,14.739999999999998,0.13
47,金属新材料,7123.51,0.65%,6.32,7.51,-1.19,13.83,0.12
55,互联网电商,6065.48,0.34%,5.26,6.77,-1.51,12.03,0.11
67,小家电,3002.17,-0.04%,6.61,6.2,0.42,12.81,0.11
58,汽车服务,986.053,0.30%,4.4,5.95,-1.55,10.350000000000001,0.09
14,纺织制造,1730.47,1.62%,4.55,4.74,-0.19,9.29,0.08
70,酒店及餐饮,1859.51,-0.16%,4.29,5.04,-0.76,9.33,0.08
29,非金属材料,13263.3,1.04%,4.3,4.31,-0.01,8.61,0.08
13,贸易,2318.55,1.64%,3.43,4.28,-0.85,7.710000000000001,0.07
22,黑色家电,2841.76,1.28%,3.58,3.69,-0.12,7.27,0.06
3,厨卫电器,5602.15,2.92%,3.11,2.42,0.69,5.529999999999999,0.05
44,农业服务,6910.18,0.70%,1.99,2.05,-0.06,4.04,0.04
