,行业,行业指数,涨跌幅,流入资金(亿),流出资金(亿),净额(亿),成交额,成交额占比%
53,计算机应用,10462.2,-2.18%,220.76,278.64,-57.88,499.4,7.1
64,电力设备,4299.66,-2.37%,125.82,173.93,-48.11,299.75,4.26
73,证券,1331.9,-2.98%,123.55,169.57,-46.02,293.12,4.17
12,传媒,2345.7,-0.97%,127.08,144.99,-17.92,272.07,3.87
70,半导体及元件,6517.75,-2.75%,62.05,84.45,-22.4,146.5,2.08
1,环保,3350.55,1.15%,61.12,61.38,-0.27,122.5,1.74
72,通信设备,3809.29,-2.88%,48.24,72.59,-24.35,120.83000000000001,1.72
20,汽车零部件,3712.15,-1.29%,57.21,60.78,-3.56,117.99000000000001,1.68
74,国防军工,1572.08,-3.00%,38.32,66.04,-27.72,104.36000000000001,1.48
19,通信服务,2034.41,-1.26%,46.93,53.49,-6.55,100.42,1.43
28,计算机设备,2573.13,-1.45%,40.4,58.43,-18.03,98.83,1.41
57,建筑装饰,3253.55,-2.22%,38.53,59.2,-20.67,97.73,1.39
5,银行,936.672,-0.12%,48.5,43.0,5.5,91.5,1.3
40,饮料制造,4455.09,-1.81%,39.47,50.44,-10.97,89.91,1.28
49,房地产开发,1682.95,-1.99%,38.93,48.27,-9.34,87.2,1.24
25,通用设备,4598.15,-1.37%,34.16,38.81,-4.65,72.97,1.04
67,消费电子,5484.37,-2.59%,29.45,41.46,-12.01,70.91,1.01
54,自动化设备,14533.7,-2.18%,31.86,34.88,-3.02,66.74000000000001,0.95
34,专用设备,4289.15,-1.66%,28.18,35.96,-7.77,64.14,0.91
24,化学制品,5057.68,-1.36%,26.8,35.7,-8.9,62.5,0.89
29,电力,1468.03,-1.45%,26.25,33.65,-7.39,59.9,0.85
0,煤炭开采加工,2058.63,1.46%,33.69,19.36,14.33,53.05,0.75
35,化学制药,4437.04,-1.69%,21.21,31.06,-9.85,52.269999999999996,0.74
66,汽车整车,2254.48,-2.38%,19.58,28.85,-9.27,48.43,0.69
38,光学光电子,2935.28,-1.76%,19.43,28.04,-8.61,47.47,0.68
47,包装印刷,2892.7,-1.94%,19.39,26.57,-7.18,45.96,0.65
42,工业金属,2208.2,-1.84%,18.58,26.49,-7.91,45.06999999999999,0.64
50,保险及其他,1733.17,-2.00%,17.37,26.77,-9.39,44.14,0.63
68,小金属,3828.48,-2.69%,15.97,27.86,-11.89,43.83,0.62
58,医疗器械,9340.9,-2.22%,18.77,24.32,-5.54,43.09,0.61
11,中药,3396.77,-0.90%,18.9,23.42,-4.52,42.32,0.6
6,化学原料,2485.84,-0.46%,18.09,19.74,-1.66,37.83,0.54
14,零售,1533.22,-1.04%,15.79,21.22,-5.44,37.01,0.53
71,医疗服务,14867.0,-2.75%,14.61,19.8,-5.19,34.41,0.49
4,医药商业,4707.03,0.20%,14.71,17.99,-3.28,32.7,0.47
2,养殖业,2524.98,0.65%,15.67,15.39,0.28,31.060000000000002,0.44
33,化工合成材料,3740.43,-1.54%,12.83,16.04,-3.21,28.869999999999997,0.41
63,建筑材料,4171.23,-2.32%,11.02,16.46,-5.44,27.48,0.39
45,食品加工制造,4611.55,-1.91%,11.08,15.95,-4.87,27.03,0.38
9,物流,4421.96,-0.82%,10.45,14.39,-3.94,24.84,0.35
44,生物制品,5336.26,-1.88%,10.12,13.11,-2.99,23.229999999999997,0.33
16,白色家电,4407.12,-1.13%,9.94,12.84,-2.9,22.78,0.32
23,钢铁,1380.1,-1.35%,9.59,11.95,-2.36,21.54,0.31
59,非汽车交运,2157.38,-2.27%,9.11,12.02,-2.9,21.13,0.3
75,造纸,1754.67,-3.05%,8.03,13.18,-5.15,21.21,0.3
39,港口航运,901.978,-1.81%,7.97,12.34,-4.37,20.31,0.29
10,农产品加工,3686.63,-0.83%,7.86,10.9,-3.05,18.76,0.27
61,家用轻工,2976.08,-2.28%,7.38,11.23,-3.85,18.61,0.26
3,其他社会服务,14931.1,0.51%,7.58,9.75,-2.17,17.33,0.25
