,行业,行业指数,涨跌幅,流入资金(亿),流出资金(亿),净额(亿),成交额,成交额占比%
75,证券,1392.15,-4.37%,257.08,345.58,-88.5,602.66,7.92
69,计算机应用,10490.9,-2.62%,144.43,207.43,-63.0,351.86,4.62
46,电力设备,4596.85,-1.88%,121.65,193.03,-71.38,314.68,4.14
54,传媒,2399.52,-2.05%,90.18,123.57,-33.39,213.75,2.81
53,半导体及元件,6993.0,-2.01%,79.3,120.35,-41.05,199.64999999999998,2.62
2,房地产开发,1776.82,0.39%,82.29,89.84,-7.55,172.13,2.26
1,化学制药,4773.35,0.79%,64.08,64.56,-0.48,128.64,1.69
56,饮料制造,4579.19,-2.06%,46.53,79.95,-33.42,126.48,1.66
27,通信设备,3937.61,-1.53%,49.45,64.83,-15.39,114.28,1.5
17,汽车零部件,3785.46,-1.35%,46.13,61.28,-15.15,107.41,1.41
68,计算机设备,2612.64,-2.58%,38.63,64.52,-25.89,103.15,1.36
31,建筑装饰,3297.51,-1.64%,36.79,63.4,-26.61,100.19,1.32
39,银行,941.905,-1.76%,31.73,66.54,-34.81,98.27000000000001,1.29
71,保险及其他,1819.83,-2.79%,32.47,59.06,-26.59,91.53,1.2
3,中药,3583.58,0.30%,44.76,40.14,4.62,84.9,1.12
14,国防军工,1602.27,-1.29%,30.34,52.32,-21.98,82.66,1.09
44,汽车整车,2432.64,-1.85%,31.5,48.07,-16.57,79.57,1.05
26,消费电子,5766.1,-1.51%,31.92,48.2,-16.29,80.12,1.05
29,化学制品,5282.87,-1.55%,30.16,49.67,-19.51,79.83,1.05
6,医疗服务,16414.0,-0.13%,36.05,39.03,-2.98,75.08,0.99
59,通信服务,1988.68,-2.08%,37.07,37.23,-0.16,74.3,0.98
33,专用设备,4394.55,-1.67%,25.26,42.53,-17.28,67.79,0.89
25,通用设备,4691.21,-1.51%,26.38,36.75,-10.37,63.129999999999995,0.83
50,电力,1518.12,-2.00%,18.94,43.08,-24.14,62.019999999999996,0.82
48,光学光电子,3054.49,-1.98%,22.1,39.79,-17.69,61.89,0.81
4,医疗器械,9960.7,0.21%,30.34,31.3,-0.96,61.64,0.81
60,小金属,4179.05,-2.09%,18.44,37.0,-18.55,55.44,0.73
34,零售,1579.93,-1.68%,22.61,32.87,-10.26,55.48,0.73
11,自动化设备,15213.1,-1.12%,22.23,29.98,-7.75,52.21,0.69
35,环保,3208.35,-1.71%,21.22,29.77,-8.55,50.989999999999995,0.67
0,医药商业,4948.38,2.38%,25.5,23.3,2.2,48.8,0.64
38,工业金属,2299.68,-1.75%,17.51,31.32,-13.81,48.83,0.64
51,食品加工制造,4916.49,-2.00%,16.45,29.3,-12.85,45.75,0.6
8,生物制品,5727.34,-0.81%,18.42,21.9,-3.48,40.32,0.53
30,建筑材料,4304.23,-1.60%,14.6,23.76,-9.16,38.36,0.5
73,油气开采及服务,1133.75,-3.15%,11.39,23.11,-11.72,34.5,0.45
24,化工合成材料,3870.76,-1.49%,14.06,19.73,-5.67,33.79,0.44
65,煤炭开采加工,2078.57,-2.31%,9.89,21.18,-11.29,31.07,0.41
37,白色家电,4505.66,-1.74%,12.92,17.59,-4.67,30.509999999999998,0.4
55,农产品加工,3903.82,-2.06%,9.15,19.68,-10.53,28.83,0.38
74,燃气,1274.23,-3.24%,10.26,17.1,-6.84,27.36,0.36
20,机场航运,2149.73,-1.39%,12.15,14.58,-2.43,26.73,0.35
47,港口航运,916.982,-1.93%,9.46,17.11,-7.65,26.57,0.35
19,包装印刷,3006.7,-1.38%,10.64,14.18,-3.54,24.82,0.33
49,养殖业,2587.42,-2.00%,8.46,14.68,-6.22,23.14,0.3
52,钢铁,1424.41,-2.00%,7.99,15.07,-7.08,23.060000000000002,0.3
5,景点及旅游,2875.59,-0.01%,9.12,10.83,-1.7,19.95,0.26
66,种植业与林业,3652.14,-2.40%,5.51,13.95,-8.44,19.46,0.26
32,石油加工贸易,2897.87,-1.67%,7.63,10.43,-2.8,18.06,0.24
23,家用轻工,3071.35,-1.48%,7.22,11.02,-3.79,18.24,0.24
58,其他电子,8496.63,-2.08%,5.98,11.12,-5.14,17.1,0.22
57,物流,4468.1,-2.07%,5.19,10.71,-5.52,15.900000000000002,0.21
43,化学原料,2545.37,-1.85%,4.89,10.2,-5.32,15.09,0.2
67,贵金属,1995.8,-2.53%,4.71,9.58,-4.87,14.29,0.19
45,电子化学品,30023.0,-1.87%,4.81,9.72,-4.91,14.530000000000001,0.19
12,美容护理,4585.12,-1.14%,6.13,8.62,-2.49,14.75,0.19
21,服装家纺,2284.94,-1.44%,4.88,7.97,-3.1,12.85,0.17
40,非汽车交运,2195.11,-1.76%,4.87,8.0,-3.13,12.870000000000001,0.17
61,金属新材料,7854.27,-2.13%,4.17,7.89,-3.72,12.059999999999999,0.16
13,仪器仪表,3951.33,-1.24%,4.68,6.52,-1.84,11.2,0.15
16,其他社会服务,14880.9,-1.32%,4.62,6.34,-1.72,10.96,0.14
22,公路铁路运输,1044.13,-1.45%,3.63,6.6,-2.97,10.23,0.13
7,房地产服务,3240.38,-0.54%,4.55,4.97,-0.42,9.52,0.13
63,互联网电商,6341.89,-2.21%,3.31,6.4,-3.09,9.71,0.13
18,综合,2127.91,-1.36%,3.81,6.29,-2.48,10.1,0.13
9,酒店及餐饮,2008.56,-0.99%,4.44,5.25,-0.81,9.690000000000001,0.13
42,造纸,1825.08,-1.84%,2.96,5.58,-2.62,8.54,0.11
28,小家电,3175.96,-1.53%,3.18,4.69,-1.5,7.870000000000001,0.1
64,贸易,2393.73,-2.21%,2.34,4.85,-2.51,7.1899999999999995,0.09
62,教育,4418.69,-2.16%,2.22,4.93,-2.71,7.15,0.09
72,黑色家电,3009.56,-2.80%,2.05,5.01,-2.96,7.06,0.09
10,非金属材料,14229.9,-1.00%,2.65,3.16,-0.51,5.8100000000000005,0.08
41,汽车服务,1020.3,-1.77%,1.82,3.48,-1.66,5.3,0.07
15,纺织制造,1754.5,-1.31%,2.08,3.16,-1.07,5.24,0.07
70,厨卫电器,5753.32,-2.63%,0.91,1.99,-1.07,2.9,0.04
36,农业服务,7129.1,-1.72%,0.93,1.89,-0.96,2.82,0.04
