,行业,行业指数,涨跌幅,流入资金(亿),流出资金(亿),净额(亿),成交额,成交额占比%
69,证券,1377.58,-1.05%,214.5,227.86,-13.36,442.36,5.97
2,计算机应用,10745.7,2.43%,224.11,176.94,47.17,401.05,5.41
53,电力设备,4590.42,-0.14%,147.65,170.87,-23.23,318.52,4.3
3,传媒,2454.57,2.29%,149.63,106.56,43.07,256.19,3.46
60,半导体及元件,6965.41,-0.40%,83.33,93.61,-10.29,176.94,2.39
73,房地产开发,1749.52,-1.54%,63.29,73.13,-9.83,136.42,1.84
10,通信设备,3980.49,1.09%,67.18,64.03,3.15,131.21,1.77
64,饮料制造,4556.79,-0.49%,52.08,71.53,-19.45,123.61,1.67
35,化学制药,4789.33,0.34%,60.04,62.61,-2.57,122.65,1.66
74,汽车整车,2391.16,-1.71%,45.8,76.41,-30.62,122.21,1.65
17,建筑装饰,3322.37,0.75%,58.62,48.55,10.06,107.16999999999999,1.45
40,汽车零部件,3791.83,0.17%,52.08,54.82,-2.74,106.9,1.44
7,计算机设备,2654.47,1.60%,49.84,46.98,2.86,96.82,1.31
72,银行,930.811,-1.18%,36.06,54.06,-18.0,90.12,1.22
32,国防军工,1608.58,0.39%,44.84,41.23,3.6,86.07,1.16
29,消费电子,5792.65,0.46%,38.7,45.53,-6.83,84.23,1.14
52,化学制品,5275.56,-0.14%,33.5,39.14,-5.64,72.64,0.98
1,通信服务,2045.39,2.85%,42.82,29.72,13.11,72.53999999999999,0.98
30,中药,3598.73,0.42%,34.41,35.66,-1.25,70.07,0.95
70,保险及其他,1800.08,-1.08%,29.21,36.64,-7.43,65.85,0.89
18,电力,1528.94,0.71%,34.89,30.46,4.43,65.35,0.88
42,医疗器械,9976.3,0.16%,31.45,32.79,-1.35,64.24,0.87
66,医疗服务,16307.3,-0.65%,29.43,33.44,-4.0,62.87,0.85
38,专用设备,4406.81,0.28%,27.48,31.63,-4.15,59.11,0.8
20,通用设备,4721.54,0.65%,29.0,30.23,-1.23,59.230000000000004,0.8
71,小金属,4132.87,-1.10%,23.85,33.58,-9.73,57.43,0.78
4,医药商业,5054.01,2.13%,27.48,29.45,-1.97,56.93,0.77
50,自动化设备,15193.1,-0.13%,26.92,27.94,-1.02,54.86,0.74
37,光学光电子,3063.46,0.29%,27.46,27.58,-0.12,55.04,0.74
22,零售,1589.98,0.64%,25.36,25.07,0.29,50.43,0.68
55,工业金属,2293.53,-0.27%,21.69,24.75,-3.06,46.44,0.63
39,环保,3214.63,0.20%,19.67,21.93,-2.26,41.6,0.56
62,食品加工制造,4896.41,-0.41%,18.28,23.38,-5.09,41.66,0.56
59,生物制品,5706.54,-0.36%,16.14,19.17,-3.03,35.31,0.48
25,建筑材料,4325.08,0.48%,17.44,17.69,-0.26,35.13,0.47
43,化工合成材料,3873.44,0.07%,16.99,15.4,1.58,32.39,0.44
45,白色家电,4503.55,-0.05%,14.13,15.75,-1.62,29.880000000000003,0.4
15,包装印刷,3031.25,0.82%,11.11,15.32,-4.21,26.43,0.36
68,农产品加工,3863.71,-1.03%,10.53,15.21,-4.68,25.740000000000002,0.35
5,景点及旅游,2935.18,2.07%,12.63,12.36,0.27,24.990000000000002,0.34
27,钢铁,1431.21,0.48%,12.62,11.17,1.44,23.79,0.32
56,机场航运,2143.44,-0.29%,10.41,11.19,-0.78,21.6,0.29
57,煤炭开采加工,2071.83,-0.33%,8.68,11.71,-3.03,20.39,0.28
