,行业,行业指数,涨跌幅,流入资金(亿),流出资金(亿),净额(亿),成交额,成交额占比%
1,证券,1400.68,1.68%,231.54,194.71,36.83,426.25,6.05
63,计算机应用,10605.8,-1.30%,159.73,196.03,-36.3,355.76,5.05
67,电力设备,4525.64,-1.41%,136.44,198.5,-62.06,334.94,4.75
71,半导体及元件,6840.62,-1.79%,97.91,120.83,-22.92,218.74,3.1
74,传媒,2396.96,-2.35%,82.98,131.52,-48.55,214.5,3.04
57,通信设备,3938.81,-1.05%,78.36,87.39,-9.03,165.75,2.35
8,化学制药,4820.66,0.65%,55.58,56.44,-0.86,112.02,1.59
51,计算机设备,2630.38,-0.91%,47.38,63.67,-16.29,111.05000000000001,1.58
40,房地产开发,1739.08,-0.60%,51.86,55.3,-3.45,107.16,1.52
46,汽车零部件,3762.69,-0.77%,46.79,57.56,-10.77,104.35,1.48
5,银行,941.581,1.16%,57.8,40.72,17.08,98.52,1.4
22,饮料制造,4548.72,-0.18%,39.97,47.63,-7.67,87.6,1.24
50,消费电子,5743.23,-0.85%,38.54,46.36,-7.81,84.9,1.2
53,建筑装饰,3291.54,-0.93%,34.04,43.51,-9.47,77.55,1.1
0,医药商业,5264.14,4.16%,39.57,36.46,3.11,76.03,1.08
26,化学制品,5258.48,-0.32%,33.03,41.49,-8.46,74.52000000000001,1.06
52,国防军工,1593.81,-0.92%,29.34,44.62,-15.28,73.96,1.05
4,中药,3644.15,1.26%,37.57,33.67,3.9,71.24000000000001,1.01
61,自动化设备,15006.2,-1.23%,35.0,34.52,0.48,69.52000000000001,0.99
25,电力,1525.24,-0.24%,33.62,33.98,-0.36,67.6,0.96
7,零售,1601.7,0.74%,33.81,33.28,0.53,67.09,0.95
41,汽车整车,2376.71,-0.60%,29.59,35.61,-6.01,65.2,0.92
58,通信服务,2023.87,-1.05%,26.6,34.5,-7.9,61.1,0.87
36,医疗服务,16223.9,-0.51%,27.57,32.33,-4.76,59.9,0.85
18,保险及其他,1800.51,0.02%,28.77,29.79,-1.02,58.56,0.83
55,通用设备,4675.11,-0.98%,23.61,33.66,-10.05,57.269999999999996,0.81
49,专用设备,4370.01,-0.83%,23.03,33.55,-10.51,56.58,0.8
19,医疗器械,9977.15,0.01%,24.86,26.83,-1.96,51.69,0.73
56,光学光电子,3032.58,-1.01%,22.65,27.36,-4.71,50.01,0.71
59,小金属,4084.25,-1.18%,16.34,25.39,-9.05,41.730000000000004,0.59
32,包装印刷,3017.61,-0.45%,15.25,23.2,-7.95,38.45,0.55
38,环保,3197.07,-0.55%,17.08,21.6,-4.52,38.68,0.55
45,工业金属,2276.89,-0.73%,16.44,20.18,-3.74,36.620000000000005,0.52
62,食品加工制造,4832.72,-1.30%,13.17,22.2,-9.02,35.37,0.5
27,生物制品,5686.9,-0.34%,14.58,16.35,-1.78,30.93,0.44
66,电子化学品,29501.8,-1.40%,15.38,14.01,1.37,29.39,0.42
33,化工合成材料,3855.65,-0.46%,11.77,16.16,-4.38,27.93,0.4
44,建筑材料,4295.71,-0.68%,11.59,13.95,-2.36,25.54,0.36
9,家用轻工,3103.28,0.65%,11.73,12.93,-1.2,24.66,0.35
37,白色家电,4480.31,-0.52%,10.28,11.7,-1.42,21.979999999999997,0.31
12,互联网电商,6462.41,0.36%,9.09,11.0,-1.91,20.09,0.29
39,钢铁,1423.29,-0.55%,8.53,11.94,-3.41,20.47,0.29
