,行业,行业指数,涨跌幅,流入资金(亿),流出资金(亿),净额(亿),成交额,成交额占比%
3,证券,1455.82,2.58%,303.03,261.13,41.89,564.16,8.13
42,计算机应用,10772.7,0.21%,180.71,198.73,-18.02,379.44,5.47
39,电力设备,4684.98,0.28%,161.95,156.79,5.16,318.74,4.6
46,传媒,2449.79,0.15%,94.18,105.7,-11.51,199.88,2.88
43,半导体及元件,7136.43,0.21%,87.26,89.75,-2.49,177.01,2.55
73,通信设备,3998.91,-0.54%,58.97,73.0,-14.04,131.97,1.9
37,房地产开发,1769.96,0.31%,53.7,56.86,-3.16,110.56,1.59
71,汽车零部件,3837.42,-0.51%,43.58,59.5,-15.93,103.08,1.49
48,计算机设备,2681.8,0.10%,44.78,55.84,-11.06,100.62,1.45
57,化学制药,4735.89,-0.07%,42.77,53.23,-10.46,96.0,1.38
52,饮料制造,4675.56,0.06%,42.79,50.31,-7.52,93.1,1.34
49,消费电子,5854.81,0.10%,40.16,50.41,-10.25,90.57,1.31
24,化学制品,5365.8,0.58%,40.32,43.25,-2.92,83.57,1.2
74,医疗服务,16434.7,-0.57%,39.99,38.81,1.17,78.80000000000001,1.14
67,建筑装饰,3352.48,-0.31%,32.61,42.53,-9.92,75.14,1.08
40,国防军工,1623.22,0.25%,34.26,40.21,-5.95,74.47,1.07
59,银行,958.764,-0.10%,26.99,36.08,-9.09,63.06999999999999,0.91
21,保险及其他,1872.01,0.62%,30.13,28.81,1.32,58.94,0.85
75,汽车整车,2478.51,-1.34%,23.04,36.06,-13.02,59.1,0.85
60,中药,3572.87,-0.10%,24.57,32.69,-8.11,57.26,0.83
41,零售,1606.95,0.23%,25.87,30.34,-4.47,56.21,0.81
35,光学光电子,3116.21,0.34%,25.46,30.14,-4.68,55.6,0.8
29,专用设备,4469.2,0.49%,25.32,29.8,-4.47,55.120000000000005,0.79
25,通用设备,4763.18,0.58%,25.74,28.2,-2.47,53.94,0.78
50,环保,3264.28,0.10%,22.95,27.95,-5.0,50.9,0.73
58,医疗器械,9939.98,-0.09%,22.42,26.03,-3.61,48.45,0.7
5,煤炭开采加工,2127.75,2.01%,30.22,17.56,12.67,47.78,0.69
36,通信服务,2030.94,0.32%,25.2,21.77,3.44,46.97,0.68
1,油气开采及服务,1170.61,3.90%,27.77,16.83,10.94,44.599999999999994,0.64
31,电力,1549.04,0.46%,22.47,22.16,0.31,44.629999999999995,0.64
26,食品加工制造,5016.67,0.54%,21.83,22.81,-0.99,44.64,0.64
45,自动化设备,15385.9,0.19%,21.49,22.72,-1.24,44.209999999999994,0.64
62,小金属,4268.29,-0.12%,19.09,24.49,-5.39,43.58,0.63
54,生物制品,5774.02,0.04%,19.26,22.02,-2.77,41.28,0.6
2,机场航运,2180.06,3.58%,27.19,12.87,14.32,40.06,0.58
72,工业金属,2340.58,-0.53%,16.28,22.54,-6.26,38.82,0.56
66,白色家电,4585.63,-0.23%,16.1,21.99,-5.89,38.09,0.55
65,医药商业,4833.24,-0.21%,13.81,19.63,-5.82,33.44,0.48
68,建筑材料,4374.02,-0.33%,12.14,18.19,-6.05,30.330000000000002,0.44
4,港口航运,935.026,2.32%,18.94,10.41,8.52,29.35,0.42
30,农产品加工,3985.85,0.49%,13.74,14.4,-0.66,28.14,0.41
12,包装印刷,3048.67,1.00%,14.39,13.59,0.8,27.98,0.4
15,化工合成材料,3929.24,0.78%,13.51,13.57,-0.06,27.08,0.39
