,行业,行业指数,涨跌幅,流入资金(亿),流出资金(亿),净额(亿),成交额,成交额占比%
73,证券,1386.13,-0.52%,266.48,325.7,-59.23,592.1800000000001,5.74
9,计算机应用,10383.9,4.96%,291.8,243.98,47.82,535.78,5.19
22,电力设备,4409.95,3.89%,250.58,196.13,54.45,446.71000000000004,4.33
19,传媒,2435.69,4.23%,204.92,158.29,46.63,363.21,3.52
4,半导体及元件,6700.15,5.58%,175.49,122.54,52.95,298.03000000000003,2.89
24,房地产开发,1826.81,3.69%,127.72,112.86,14.85,240.57999999999998,2.33
2,汽车零部件,3826.66,5.63%,109.26,71.7,37.57,180.96,1.75
14,通信设备,3838.34,4.46%,95.89,77.68,18.21,173.57,1.68
63,环保,3446.41,1.21%,71.22,85.48,-14.27,156.7,1.52
52,饮料制造,4520.31,2.02%,85.83,67.13,18.7,152.95999999999998,1.48
75,银行,935.612,-1.68%,60.54,92.37,-31.83,152.91,1.48
15,国防军工,1600.13,4.43%,89.34,60.69,28.66,150.03,1.45
7,计算机设备,2596.09,5.06%,84.55,64.29,20.26,148.84,1.44
37,建筑装饰,3313.64,3.03%,71.13,66.44,4.68,137.57,1.33
33,汽车整车,2317.44,3.19%,70.06,53.67,16.39,123.73,1.2
6,消费电子,5632.33,5.33%,67.87,46.53,21.34,114.4,1.11
13,专用设备,4387.9,4.72%,64.06,45.85,18.22,109.91,1.07
1,自动化设备,14848.4,7.15%,60.73,45.0,15.73,105.72999999999999,1.02
41,化学制品,5194.57,2.77%,53.65,45.04,8.61,98.69,0.96
3,通用设备,4690.59,5.60%,56.07,37.33,18.74,93.4,0.91
16,医疗器械,9749.86,4.43%,51.69,39.64,12.05,91.33,0.89
12,通信服务,2010.65,4.78%,46.85,38.68,8.17,85.53,0.83
35,化学制药,4582.56,3.12%,48.07,35.3,12.77,83.37,0.81
8,光学光电子,3014.65,5.00%,49.76,32.02,17.74,81.78,0.79
72,保险及其他,1758.73,0.33%,36.07,38.97,-2.9,75.03999999999999,0.73
64,电力,1474.98,1.14%,34.89,36.21,-1.31,71.1,0.69
21,医疗服务,15510.5,4.18%,36.64,27.19,9.45,63.83,0.62
47,小金属,3900.53,2.44%,33.87,28.3,5.57,62.17,0.6
50,工业金属,2266.19,2.15%,30.48,27.13,3.36,57.61,0.56
74,养殖业,2660.81,-0.77%,23.74,32.83,-9.09,56.56999999999999,0.55
53,食品加工制造,4676.97,2.02%,28.98,26.63,2.34,55.61,0.54
60,零售,1551.54,1.76%,28.37,23.82,4.55,52.19,0.51
49,中药,3460.59,2.21%,27.19,23.69,3.5,50.88,0.49
58,建筑材料,4282.68,1.83%,24.39,24.2,0.2,48.59,0.47
70,煤炭开采加工,2093.22,0.60%,21.75,25.08,-3.33,46.83,0.45
25,白色家电,4549.65,3.66%,25.39,18.92,6.47,44.31,0.43
26,生物制品,5505.72,3.53%,24.57,17.48,7.09,42.05,0.41
30,包装印刷,2971.79,3.30%,21.64,17.77,3.87,39.41,0.38
67,化学原料,2523.45,1.02%,16.81,20.22,-3.41,37.03,0.36
38,化工合成材料,3837.9,3.02%,18.91,18.3,0.61,37.21,0.36
71,钢铁,1389.39,0.41%,16.85,18.39,-1.54,35.24,0.34
32,家用轻工,3088.76,3.20%,17.05,14.17,2.88,31.22,0.3
62,农产品加工,3792.77,1.33%,14.33,15.43,-1.1,29.759999999999998,0.29
