,行业,行业指数,涨跌幅,流入资金(亿),流出资金(亿),净额(亿),成交额,成交额占比%
6,证券,1440.27,1.64%,624.73,615.54,9.19,1240.27,11.83
0,计算机应用,10782.9,2.97%,349.28,269.2,80.09,618.48,5.9
21,电力设备,4769.15,0.25%,234.39,244.39,-10.0,478.78,4.57
5,传媒,2445.39,2.10%,159.3,121.82,37.47,281.12,2.68
19,半导体及元件,7303.92,0.35%,136.2,141.13,-4.94,277.33,2.64
58,房地产开发,1858.21,-0.81%,117.98,152.59,-34.61,270.57,2.58
2,通信设备,4131.81,2.50%,131.47,96.0,35.46,227.47,2.17
4,保险及其他,1931.37,2.44%,112.74,109.43,3.31,222.17000000000002,2.12
3,计算机设备,2695.78,2.50%,107.79,74.47,33.32,182.26,1.74
23,汽车零部件,3930.15,0.17%,87.79,88.65,-0.86,176.44,1.68
14,银行,973.226,0.60%,89.75,82.28,7.47,172.03,1.64
29,饮料制造,4735.48,-0.22%,71.57,75.38,-3.81,146.95,1.4
18,国防军工,1644.7,0.36%,63.89,82.03,-18.13,145.92000000000002,1.39
17,建筑装饰,3434.75,0.37%,61.96,73.09,-11.13,135.05,1.29
69,零售,1656.67,-1.05%,55.77,71.23,-15.46,127.0,1.21
1,通信服务,2036.9,2.59%,71.6,42.68,28.92,114.28,1.09
47,汽车整车,2583.16,-0.63%,51.53,62.36,-10.82,113.89,1.09
68,化学制药,4727.2,-1.03%,40.47,63.45,-22.98,103.92,0.99
10,消费电子,5910.05,0.88%,56.35,46.49,9.85,102.84,0.98
50,化学制品,5375.31,-0.72%,38.65,53.9,-15.24,92.55,0.88
20,小金属,4316.9,0.28%,44.5,44.21,0.29,88.71000000000001,0.85
44,电力,1575.31,-0.54%,34.26,51.56,-17.3,85.82,0.82
9,自动化设备,15761.3,0.90%,42.22,37.42,4.79,79.64,0.76
15,光学光电子,3180.91,0.50%,38.02,39.39,-1.37,77.41,0.74
31,专用设备,4537.58,-0.30%,34.42,42.61,-8.18,77.03,0.73
28,工业金属,2376.51,-0.16%,34.8,39.07,-4.26,73.87,0.7
74,食品加工制造,5048.25,-1.68%,26.32,41.72,-15.39,68.03999999999999,0.65
25,通用设备,4799.42,0.14%,32.8,34.67,-1.87,67.47,0.64
52,医疗器械,10057.5,-0.74%,30.05,35.71,-5.65,65.76,0.63
75,医疗服务,16212.5,-1.96%,26.0,36.14,-10.14,62.14,0.59
24,中药,3542.73,0.16%,30.23,30.78,-0.55,61.010000000000005,0.58
48,建筑材料,4463.8,-0.65%,24.75,31.54,-6.8,56.29,0.54
41,环保,3290.0,-0.50%,20.21,29.14,-8.93,49.35,0.47
36,包装印刷,3055.49,-0.40%,20.72,22.52,-1.8,43.239999999999995,0.41
55,钢铁,1487.05,-0.78%,15.39,24.31,-8.92,39.7,0.38
