,行业,行业指数,涨跌幅,流入资金(亿),流出资金(亿),净额(亿),成交额,成交额占比%
2,证券,1421.23,1.47%,288.79,260.12,28.67,548.9100000000001,7.81
71,计算机应用,10403.2,-1.91%,188.18,235.95,-47.77,424.13,6.04
49,电力设备,4472.62,-1.17%,121.61,151.66,-30.05,273.27,3.89
70,传媒,2352.48,-1.86%,84.07,115.85,-31.78,199.92,2.85
72,半导体及元件,6707.46,-1.95%,81.55,100.48,-18.94,182.03,2.59
0,房地产开发,1778.9,2.29%,93.94,70.49,23.45,164.43,2.34
74,通信设备,3849.01,-2.28%,60.69,75.84,-15.15,136.53,1.94
45,化学制药,4770.32,-1.04%,55.85,64.78,-8.93,120.63,1.72
75,计算机设备,2569.65,-2.31%,44.36,58.09,-13.73,102.45,1.46
63,汽车零部件,3703.21,-1.58%,35.43,49.32,-13.89,84.75,1.21
62,国防军工,1569.04,-1.55%,32.26,48.02,-15.76,80.28,1.14
5,建筑装饰,3299.23,0.23%,38.49,41.17,-2.68,79.66,1.13
6,银行,943.365,0.19%,39.75,37.26,2.49,77.00999999999999,1.1
17,饮料制造,4542.1,-0.15%,38.69,36.39,2.3,75.08,1.07
67,医药商业,5175.14,-1.69%,32.04,42.02,-9.98,74.06,1.05
11,医疗器械,9986.82,0.10%,36.56,36.44,0.11,73.0,1.04
66,消费电子,5649.38,-1.63%,29.78,39.24,-9.46,69.02000000000001,0.98
44,化学制品,5205.77,-1.00%,30.3,38.14,-7.84,68.44,0.97
60,通信服务,1993.51,-1.50%,28.28,38.32,-10.04,66.6,0.95
52,中药,3600.74,-1.19%,27.5,36.93,-9.43,64.43,0.92
73,自动化设备,14676.1,-2.20%,25.36,34.58,-9.22,59.94,0.85
59,汽车整车,2341.66,-1.48%,24.17,35.73,-11.56,59.9,0.85
21,医疗服务,16173.7,-0.31%,26.78,31.11,-4.33,57.89,0.82
10,保险及其他,1802.29,0.10%,28.43,28.58,-0.15,57.01,0.81
36,包装印刷,2996.99,-0.68%,24.64,31.04,-6.4,55.68,0.79
48,零售,1583.75,-1.12%,23.59,30.64,-7.06,54.230000000000004,0.77
56,专用设备,4313.54,-1.29%,21.47,31.22,-9.75,52.69,0.75
51,小金属,4035.95,-1.18%,20.78,29.17,-8.38,49.95,0.71
65,通用设备,4599.91,-1.61%,19.44,29.05,-9.61,48.49,0.69
40,电力,1513.49,-0.77%,20.95,26.96,-6.01,47.91,0.68
61,光学光电子,2985.55,-1.55%,17.71,25.98,-8.26,43.69,0.62
41,工业金属,2259.29,-0.77%,16.88,20.13,-3.24,37.01,0.53
13,食品加工制造,4833.22,0.01%,17.97,18.62,-0.65,36.59,0.52
33,生物制品,5653.59,-0.59%,17.01,18.2,-1.19,35.21,0.5
25,环保,3184.16,-0.40%,16.74,17.84,-1.1,34.58,0.49
3,建筑材料,4309.91,0.33%,17.73,14.53,3.2,32.26,0.46
14,家用轻工,3102.46,-0.03%,14.89,15.49,-0.6,30.380000000000003,0.43
42,化工合成材料,3822.8,-0.85%,11.23,15.51,-4.28,26.740000000000002,0.38
20,农产品加工,3824.08,-0.23%,12.9,11.0,1.89,23.9,0.34
7,服装家纺,2341.99,0.19%,10.4,11.03,-0.63,21.43,0.3
64,电子化学品,29029.4,-1.60%,8.54,12.18,-3.64,20.72,0.29
15,钢铁,1422.31,-0.07%,10.94,9.46,1.48,20.4,0.29
39,白色家电,4445.88,-0.77%,9.2,11.11,-1.91,20.31,0.29
29,非汽车交运,2215.97,-0.51%,7.43,10.59,-3.16,18.02,0.26
16,互联网电商,6457.23,-0.08%,8.63,9.34,-0.71,17.97,0.26
18,物流,4487.37,-0.16%,8.14,9.12,-0.98,17.259999999999998,0.25
46,石油加工贸易,2864.37,-1.04%,6.84,10.94,-4.1,17.78,0.25
4,造纸,1847.39,0.26%,8.73,7.02,1.71,15.75,0.22
