,行业,行业指数,涨跌幅,流入资金(亿),流出资金(亿),净额(亿),成交额,成交额占比%
0,证券,1417.1,3.73%,399.92,339.66,60.26,739.58,8.89
20,电力设备,4757.42,0.21%,235.65,205.95,29.69,441.6,5.31
24,计算机应用,10472.0,-0.05%,160.54,175.2,-14.66,335.74,4.03
8,房地产开发,1873.36,1.59%,150.35,131.71,18.64,282.06,3.39
46,半导体及元件,7278.23,-0.43%,98.13,109.41,-11.27,207.54,2.49
60,传媒,2395.14,-0.66%,76.49,101.1,-24.62,177.58999999999997,2.13
72,汽车零部件,3923.33,-1.42%,65.07,92.63,-27.55,157.7,1.9
69,通信设备,4031.07,-1.10%,62.21,82.03,-19.83,144.24,1.73
11,饮料制造,4745.76,1.18%,69.96,63.24,6.72,133.2,1.6
10,银行,967.417,1.26%,73.29,56.24,17.05,129.53,1.56
71,汽车整车,2599.45,-1.18%,47.73,65.2,-17.47,112.93,1.36
5,保险及其他,1885.28,1.86%,63.16,49.33,13.83,112.49,1.35
7,化学制药,4776.18,1.61%,59.61,51.47,8.13,111.08,1.33
33,建筑装饰,3422.13,-0.20%,51.23,57.83,-6.6,109.06,1.31
47,计算机设备,2630.11,-0.43%,52.21,57.08,-4.87,109.28999999999999,1.31
49,国防军工,1638.85,-0.45%,45.46,61.28,-15.82,106.74000000000001,1.28
18,零售,1674.22,0.31%,46.58,59.28,-12.69,105.86,1.27
1,医疗服务,16535.9,2.68%,53.06,36.63,16.43,89.69,1.08
57,消费电子,5858.62,-0.60%,42.55,46.65,-4.1,89.19999999999999,1.07
75,工业金属,2380.41,-1.81%,34.01,46.7,-12.68,80.71000000000001,0.97
15,电力,1583.88,0.38%,42.78,38.27,4.5,81.05000000000001,0.97
32,化学制品,5414.26,-0.17%,38.42,40.15,-1.73,78.57,0.94
54,专用设备,4551.36,-0.56%,32.91,40.59,-7.68,73.5,0.88
61,光学光电子,3165.19,-0.71%,27.82,38.66,-10.85,66.47999999999999,0.8
2,食品加工制造,5134.26,2.62%,36.61,27.91,8.7,64.52,0.78
44,小金属,4305.05,-0.39%,29.46,32.22,-2.76,61.68,0.74
9,中药,3537.23,1.54%,34.41,23.54,10.87,57.949999999999996,0.7
39,自动化设备,15620.4,-0.29%,25.7,31.64,-5.95,57.34,0.69
14,医疗器械,10132.8,0.42%,25.51,26.97,-1.46,52.480000000000004,0.63
66,通用设备,4792.85,-0.99%,21.09,31.42,-10.33,52.510000000000005,0.63
40,环保,3306.53,-0.30%,22.82,25.53,-2.72,48.35,0.58
28,包装印刷,3067.72,-0.11%,22.33,24.22,-1.88,46.55,0.56
29,钢铁,1498.76,-0.11%,19.77,22.86,-3.09,42.629999999999995,0.51
34,建筑材料,4492.92,-0.21%,19.38,21.28,-1.9,40.66,0.49
