,行业,行业指数,涨跌幅,流入资金(亿),流出资金(亿),净额(亿),成交额,成交额占比%
67,证券,1387.17,-2.79%,172.8,217.03,-44.23,389.83000000000004,5.25
65,计算机应用,10249.1,-2.43%,149.63,212.57,-62.95,362.2,4.88
15,电力设备,4507.18,-0.60%,162.6,184.62,-22.02,347.22,4.68
70,传媒,2302.97,-3.08%,83.59,136.53,-52.94,220.12,2.97
25,半导体及元件,6721.49,-0.95%,87.25,102.3,-15.05,189.55,2.55
62,通信设备,3825.14,-2.34%,62.92,84.02,-21.1,146.94,1.98
17,国防军工,1622.66,-0.76%,66.43,74.2,-7.77,140.63,1.9
14,汽车零部件,3781.37,-0.60%,62.7,71.51,-8.82,134.21,1.81
64,房地产开发,1737.04,-2.42%,54.25,74.11,-19.86,128.36,1.73
58,饮料制造,4557.22,-2.07%,48.71,73.54,-24.83,122.25,1.65
4,银行,940.838,0.62%,64.43,45.93,18.5,110.36000000000001,1.49
26,建筑装饰,3295.01,-1.00%,42.04,58.04,-16.0,100.08,1.35
0,环保,3290.41,1.78%,46.21,41.98,4.23,88.19,1.19
60,计算机设备,2543.58,-2.19%,33.53,52.55,-19.02,86.08,1.16
28,自动化设备,15058.9,-1.10%,37.11,48.73,-11.62,85.84,1.16
9,通用设备,4712.13,-0.40%,38.1,46.6,-8.5,84.7,1.14
68,化学制药,4607.17,-2.92%,29.62,54.78,-25.15,84.4,1.14
74,中药,3490.16,-3.61%,27.47,54.44,-26.97,81.91,1.1
10,专用设备,4398.59,-0.43%,36.34,40.54,-4.2,76.88,1.04
42,消费电子,5638.62,-1.49%,28.66,43.12,-14.46,71.78,0.97
20,化学制品,5209.71,-0.79%,29.35,40.28,-10.93,69.63,0.94
48,保险及其他,1774.04,-1.64%,31.36,37.24,-5.87,68.6,0.92
66,零售,1562.21,-2.54%,25.85,40.81,-14.96,66.66,0.9
52,汽车整车,2328.08,-1.80%,25.4,40.97,-15.57,66.37,0.89
69,通信服务,1966.29,-2.96%,23.23,39.56,-16.33,62.790000000000006,0.85
75,医药商业,4928.63,-5.51%,20.97,37.56,-16.59,58.53,0.79
55,医疗器械,9729.24,-2.00%,21.78,30.45,-8.68,52.230000000000004,0.7
24,电力,1505.48,-0.91%,22.0,27.72,-5.72,49.72,0.67
56,小金属,3987.49,-2.04%,17.79,30.09,-12.31,47.879999999999995,0.65
71,医疗服务,15628.9,-3.08%,19.17,27.82,-8.65,46.99,0.63
36,光学光电子,2984.9,-1.37%,17.27,27.85,-10.58,45.120000000000005,0.61
2,港口航运,931.294,1.23%,21.37,17.06,4.31,38.43,0.52
54,食品加工制造,4782.56,-1.94%,13.8,23.69,-9.89,37.49,0.51
45,工业金属,2252.84,-1.57%,15.51,21.92,-6.4,37.43,0.5
3,非汽车交运,2269.95,1.03%,15.92,19.28,-3.36,35.2,0.47
44,包装印刷,2987.56,-1.53%,15.53,19.68,-4.15,35.21,0.47
18,建筑材料,4303.92,-0.77%,15.58,18.58,-3.0,34.16,0.46
7,物流,4584.28,0.22%,13.37,13.97,-0.6,27.34,0.37
57,生物制品,5544.57,-2.05%,9.75,17.16,-7.41,26.91,0.36
11,化工合成材料,3854.61,-0.46%,11.17,14.68,-3.52,25.85,0.35
34,白色家电,4469.42,-1.34%,10.31,14.95,-4.64,25.259999999999998,0.34
13,电子化学品,29224.7,-0.52%,11.95,12.94,-0.99,24.89,0.34
29,家用轻工,3103.51,-1.15%,10.99,12.97,-1.98,23.96,0.32
49,农产品加工,3767.92,-1.70%,8.28,14.94,-6.66,23.22,0.31
21,钢铁,1413.33,-0.86%,10.73,12.17,-1.44,22.9,0.31
22,煤炭开采加工,2041.77,-0.86%,10.31,12.03,-1.72,22.34,0.3
19,美容护理,4630.38,-0.78%,9.2,12.18,-2.97,21.38,0.29
5,油气开采及服务,1121.44,0.30%,9.03,9.1,-0.07,18.13,0.24
47,服装家纺,2320.56,-1.62%,6.74,11.19,-4.45,17.93,0.24
8,石油加工贸易,2872.81,-0.33%,8.17,8.7,-0.53,16.869999999999997,0.23
23,化学原料,2525.5,-0.89%,7.13,9.86,-2.73,16.99,0.23
6,公路铁路运输,1066.72,0.25%,7.16,9.08,-1.92,16.240000000000002,0.22
41,机场航运,2072.89,-1.46%,5.95,9.34,-3.39,15.29,0.21
61,互联网电商,6371.4,-2.26%,6.16,9.06,-2.9,15.22,0.21
43,养殖业,2534.96,-1.52%,6.12,8.65,-2.52,14.77,0.2
