,行业,行业指数,涨跌幅,流入资金(亿),流出资金(亿),净额(亿),成交额,成交额占比%
26,证券,1419.21,-0.73%,198.62,223.54,-24.91,422.15999999999997,5.74
9,计算机应用,10750.0,-0.15%,191.5,214.6,-23.1,406.1,5.52
29,电力设备,4671.88,-0.79%,123.13,145.28,-22.15,268.40999999999997,3.65
75,传媒,2446.02,-3.15%,97.98,165.64,-67.65,263.62,3.58
74,通信设备,4020.52,-2.50%,82.23,121.05,-38.82,203.28,2.76
57,半导体及元件,7121.59,-1.27%,71.44,104.84,-33.4,176.28,2.4
3,化学制药,4739.13,1.88%,75.94,64.43,11.51,140.37,1.91
12,房地产开发,1764.46,-0.33%,65.59,66.27,-0.69,131.86,1.79
30,计算机设备,2679.1,-0.79%,53.22,78.54,-25.32,131.76,1.79
64,汽车零部件,3856.97,-1.43%,52.13,67.55,-15.42,119.68,1.63
0,医疗服务,16529.2,3.54%,63.42,47.39,16.03,110.81,1.51
66,消费电子,5849.11,-1.50%,38.88,61.69,-22.81,100.57,1.37
24,建筑装饰,3362.97,-0.67%,45.1,52.42,-7.32,97.52000000000001,1.33
18,汽车整车,2512.18,-0.54%,42.39,48.77,-6.38,91.16,1.24
5,中药,3576.35,0.77%,44.94,40.99,3.95,85.93,1.17
20,饮料制造,4672.58,-0.58%,45.41,40.52,4.89,85.93,1.17
21,化学制品,5334.97,-0.61%,38.88,42.89,-4.01,81.77000000000001,1.11
16,国防军工,1619.15,-0.48%,36.02,45.83,-9.81,81.85,1.11
67,自动化设备,15357.2,-1.51%,27.04,42.69,-15.64,69.72999999999999,0.95
4,医疗器械,9948.52,1.47%,37.58,31.22,6.36,68.8,0.94
43,专用设备,4447.23,-0.99%,27.51,39.89,-12.37,67.4,0.92
1,生物制品,5771.67,2.47%,36.28,29.56,6.72,65.84,0.89
63,光学光电子,3105.73,-1.41%,23.96,39.66,-15.7,63.62,0.86
23,保险及其他,1860.43,-0.62%,28.54,33.58,-5.03,62.12,0.84
6,银行,959.695,0.15%,32.5,29.32,3.18,61.82,0.84
55,电力,1542.02,-1.23%,22.39,38.03,-15.64,60.42,0.82
14,环保,3261.2,-0.45%,27.86,31.08,-3.21,58.94,0.8
49,通用设备,4735.88,-1.08%,23.72,33.54,-9.83,57.26,0.78
61,工业金属,2353.0,-1.32%,21.42,29.94,-8.51,51.36,0.7
37,零售,1603.23,-0.90%,18.82,27.8,-8.98,46.620000000000005,0.63
31,小金属,4273.29,-0.80%,17.39,24.96,-7.57,42.35,0.58
60,通信服务,2024.54,-1.29%,17.05,24.45,-7.4,41.5,0.56
41,食品加工制造,4989.96,-0.94%,17.03,23.0,-5.97,40.03,0.54
2,医药商业,4843.19,2.19%,19.81,18.87,0.94,38.68,0.53
11,建筑材料,4388.27,-0.30%,15.2,18.01,-2.81,33.21,0.45
46,化工合成材料,3898.66,-1.02%,12.74,16.44,-3.7,29.18,0.4
47,包装印刷,3018.45,-1.05%,12.18,17.37,-5.19,29.55,0.4
28,白色家电,4596.2,-0.78%,14.67,14.23,0.45,28.9,0.39
58,农产品加工,3966.3,-1.28%,9.57,16.19,-6.63,25.76,0.35
