,行业,行业指数,涨跌幅,流入资金(亿),流出资金(亿),净额(亿),成交额,成交额占比%
24,证券,1347.43,1.17%,362.91,402.07,-39.16,764.98,6.93
36,电力设备,4765.91,0.86%,226.94,219.38,7.56,446.32,4.04
53,计算机应用,10422.4,0.51%,214.62,217.67,-3.05,432.28999999999996,3.91
5,房地产开发,1825.7,3.05%,160.9,152.44,8.45,313.34000000000003,2.84
28,饮料制造,4740.03,1.11%,149.16,156.89,-7.73,306.04999999999995,2.77
8,传媒,2441.44,2.54%,168.67,125.61,43.06,294.28,2.66
61,半导体及元件,7272.62,0.34%,143.05,140.15,2.91,283.20000000000005,2.56
2,汽车整车,2614.61,3.75%,134.49,110.18,24.31,244.67000000000002,2.22
54,汽车零部件,3996.14,0.51%,111.23,116.75,-5.52,227.98000000000002,2.06
22,银行,972.203,1.21%,112.76,111.34,1.41,224.10000000000002,2.03
12,建筑装饰,3490.15,2.02%,114.05,100.25,13.8,214.3,1.94
60,国防军工,1660.16,0.39%,96.1,99.02,-2.92,195.12,1.77
23,保险及其他,1853.98,1.18%,90.53,85.29,5.24,175.82,1.59
65,通信设备,4031.65,0.24%,76.66,81.2,-4.54,157.86,1.43
1,零售,1685.63,3.75%,77.31,71.59,5.72,148.9,1.35
52,计算机设备,2626.29,0.52%,73.8,73.45,0.36,147.25,1.33
73,化学制药,4805.81,-1.06%,54.15,86.1,-31.95,140.25,1.27
56,化学制品,5462.13,0.45%,52.21,61.76,-9.55,113.97,1.03
13,建筑材料,4537.48,1.92%,55.53,51.83,3.71,107.36,0.97
46,专用设备,4583.56,0.64%,51.65,51.31,0.34,102.96000000000001,0.93
30,电力,1565.42,1.02%,51.77,46.56,5.21,98.33000000000001,0.89
26,小金属,4327.71,1.15%,50.73,46.57,4.16,97.3,0.88
62,消费电子,5869.02,0.33%,47.45,49.58,-2.14,97.03,0.88
21,医疗服务,16479.8,1.26%,48.51,44.57,3.94,93.08,0.84
74,医疗器械,10330.0,-1.37%,38.74,52.19,-13.45,90.93,0.82
17,工业金属,2375.27,1.57%,45.3,40.34,4.96,85.64,0.78
