,行业,行业指数,涨跌幅,流入资金(亿),流出资金(亿),净额(亿),成交额,成交额占比%
39,计算机应用,10619.3,1.46%,219.8,202.33,17.47,422.13,4.78
44,半导体及元件,7077.48,1.36%,172.52,149.56,22.96,322.08000000000004,3.65
52,电力设备,4453.14,1.20%,152.34,143.82,8.52,296.15999999999997,3.36
12,饮料制造,4700.5,2.72%,144.34,104.21,40.14,248.55,2.82
71,传媒,2427.7,0.43%,105.32,121.79,-16.47,227.11,2.57
68,证券,1311.78,0.55%,107.65,113.93,-6.29,221.58,2.51
26,银行,942.526,1.87%,103.96,65.09,38.88,169.05,1.92
67,房地产开发,1711.23,0.68%,67.36,79.93,-12.57,147.29000000000002,1.67
59,汽车零部件,3931.82,1.04%,69.72,73.55,-3.82,143.26999999999998,1.62
55,国防军工,1628.9,1.11%,67.74,61.69,6.06,129.43,1.47
9,工业金属,2370.65,3.02%,74.33,53.15,21.18,127.47999999999999,1.44
30,专用设备,4522.23,1.70%,71.0,54.47,16.53,125.47,1.42
35,建筑装饰,3302.42,1.55%,61.9,54.12,7.79,116.02,1.31
5,煤炭开采加工,2212.38,3.47%,62.43,52.06,10.37,114.49000000000001,1.3
3,小金属,4056.88,3.93%,66.13,44.08,22.05,110.21,1.25
13,汽车整车,2378.21,2.60%,62.17,47.31,14.86,109.48,1.24
40,通用设备,4829.04,1.44%,52.38,50.94,1.44,103.32,1.17
27,化学制品,5284.03,1.85%,58.91,41.23,17.68,100.13999999999999,1.13
43,计算机设备,2648.12,1.37%,51.85,46.69,5.16,98.53999999999999,1.12
49,通信设备,3921.42,1.26%,48.69,45.35,3.34,94.03999999999999,1.07
54,电力,1473.59,1.16%,45.23,45.72,-0.48,90.94999999999999,1.03
21,通信服务,2103.5,2.05%,46.94,40.73,6.21,87.66999999999999,0.99
36,保险及其他,1750.77,1.54%,48.89,37.4,11.49,86.28999999999999,0.98
28,消费电子,5922.75,1.80%,44.48,40.6,3.88,85.08,0.96
46,零售,1567.46,1.31%,45.17,37.37,7.81,82.53999999999999,0.94
47,光学光电子,3151.32,1.29%,39.25,35.09,4.16,74.34,0.84
69,自动化设备,15333.0,0.48%,34.52,39.59,-5.07,74.11000000000001,0.84
45,食品加工制造,4865.84,1.32%,36.21,37.26,-1.05,73.47,0.83
38,环保,3321.82,1.46%,37.5,35.56,1.94,73.06,0.83
4,钢铁,1445.2,3.78%,42.88,27.09,15.79,69.97,0.79
8,建筑材料,4409.4,3.09%,38.98,27.91,11.07,66.89,0.76
70,化学制药,4642.22,0.43%,29.62,34.39,-4.77,64.01,0.73
6,家用轻工,3286.31,3.41%,27.61,25.8,1.81,53.41,0.61
60,白色家电,4707.92,1.03%,25.52,24.43,1.09,49.95,0.57
75,医疗器械,9793.69,-0.08%,21.88,26.88,-5.0,48.76,0.55
10,化学原料,2587.54,2.96%,28.2,19.63,8.56,47.83,0.54
48,医疗服务,15725.9,1.28%,26.39,20.6,5.8,46.99,0.53
65,中药,3504.49,0.81%,21.39,21.45,-0.06,42.84,0.49
2,油气开采及服务,1169.22,4.12%,26.55,16.05,10.51,42.6,0.48
15,物流,4543.02,2.38%,21.78,15.23,6.55,37.010000000000005,0.42
29,化工合成材料,3932.53,1.70%,20.36,16.76,3.6,37.120000000000005,0.42
58,养殖业,2600.51,1.04%,17.86,17.63,0.23,35.489999999999995,0.4
57,电子化学品,31262.2,1.05%,17.15,17.55,-0.4,34.7,0.39
17,石油加工贸易,2902.17,2.27%,21.28,12.51,8.77,33.79,0.38
25,港口航运,913.049,1.95%,18.13,12.7,5.43,30.83,0.35
74,生物制品,5520.99,0.20%,12.52,13.53,-1.01,26.049999999999997,0.3
41,包装印刷,3063.09,1.44%,12.72,12.54,0.18,25.259999999999998,0.29
22,贵金属,2083.28,2.05%,13.0,10.87,2.14,23.869999999999997,0.27
73,医药商业,4731.54,0.28%,11.4,12.47,-1.07,23.87,0.27
20,公路铁路运输,1058.28,2.08%,11.77,10.17,1.6,21.939999999999998,0.25
56,其他电子,8582.96,1.06%,10.76,11.4,-0.64,22.16,0.25
31,服装家纺,2341.99,1.69%,11.77,9.08,2.69,20.85,0.24
50,农产品加工,3828.39,1.24%,11.23,9.98,1.25,21.21,0.24
62,美容护理,4714.13,0.95%,10.99,10.02,0.98,21.009999999999998,0.24
53,种植业与林业,3618.52,1.17%,10.87,9.71,1.16,20.58,0.23
72,机场航运,1972.36,0.42%,9.54,9.54,0.01,19.08,0.22
61,仪器仪表,4015.18,0.99%,9.12,9.76,-0.64,18.88,0.21
63,其他社会服务,15263.4,0.92%,8.24,8.73,-0.49,16.97,0.19
0,房地产服务,3369.95,4.97%,8.21,8.53,-0.32,16.740000000000002,0.19
19,非汽车交运,2239.75,2.14%,9.7,7.26,2.44,16.96,0.19
16,金属新材料,7724.81,2.37%,7.93,6.65,1.29,14.58,0.17
32,小家电,3207.46,1.58%,7.78,6.87,0.91,14.65,0.17
23,酒店及餐饮,1972.83,2.04%,8.16,6.94,1.22,15.100000000000001,0.17
24,造纸,1846.4,2.02%,7.82,6.87,0.95,14.690000000000001,0.17
18,景点及旅游,2853.62,2.23%,7.55,6.03,1.52,13.58,0.15
42,燃气,1280.68,1.38%,6.64,6.47,0.18,13.11,0.15
33,教育,4545.43,1.58%,6.93,5.52,1.41,12.45,0.14
34,综合,2114.05,1.55%,6.46,4.96,1.51,11.42,0.13
66,互联网电商,6380.87,0.77%,5.22,5.98,-0.76,11.2,0.13
1,非金属材料,14598.4,4.95%,4.91,3.56,1.35,8.47,0.1
7,厨卫电器,6155.79,3.30%,4.99,3.15,1.84,8.14,0.09
14,黑色家电,2999.49,2.54%,5.04,2.77,2.27,7.8100000000000005,0.09
11,贸易,2400.49,2.76%,4.87,2.62,2.26,7.49,0.08
51,汽车服务,1030.5,1.22%,3.9,3.29,0.62,7.1899999999999995,0.08
37,纺织制造,1820.43,1.52%,3.53,2.7,0.83,6.23,0.07
64,农业服务,7125.36,0.81%,1.57,1.63,-0.06,3.2,0.04
