,行业,行业指数,涨跌幅,流入资金(亿),流出资金(亿),净额(亿),成交额,成交额占比%
4,证券,1366.12,1.07%,266.85,262.95,3.9,529.8,6.34
10,计算机应用,10477.0,0.54%,170.19,164.25,5.93,334.44,4.0
35,电力设备,4747.56,-0.20%,149.5,183.62,-34.12,333.12,3.99
0,房地产开发,1843.96,1.40%,133.91,133.56,0.35,267.47,3.2
16,半导体及元件,7309.53,0.31%,120.35,118.74,1.62,239.08999999999997,2.86
46,传媒,2410.99,-0.46%,85.13,106.95,-21.82,192.07999999999998,2.3
6,汽车零部件,3979.7,0.81%,90.33,86.69,3.65,177.01999999999998,2.12
11,通信设备,4075.77,0.53%,82.24,87.81,-5.57,170.05,2.04
24,汽车整车,2630.43,0.22%,74.73,89.5,-14.77,164.23000000000002,1.97
68,银行,955.418,-1.35%,61.69,99.01,-37.32,160.7,1.92
44,国防军工,1646.22,-0.42%,64.0,91.38,-27.39,155.38,1.86
51,建筑装饰,3428.9,-0.58%,51.62,68.98,-17.36,120.6,1.44
14,工业金属,2424.28,0.43%,50.79,61.57,-10.78,112.36,1.34
34,饮料制造,4690.36,-0.18%,49.39,60.15,-10.76,109.53999999999999,1.31
12,零售,1669.02,0.46%,48.14,57.45,-9.31,105.59,1.26
67,化学制药,4700.65,-1.31%,37.43,60.51,-23.08,97.94,1.17
13,计算机设备,2641.53,0.45%,40.36,47.87,-7.52,88.22999999999999,1.06
19,专用设备,4577.22,0.26%,41.58,41.83,-0.25,83.41,1.0
22,消费电子,5893.85,0.25%,38.93,44.99,-6.06,83.92,1.0
64,电力,1577.89,-0.98%,31.75,51.12,-19.37,82.87,0.99
9,保险及其他,1850.89,0.56%,39.25,42.89,-3.64,82.14,0.98
40,化学制品,5423.24,-0.36%,34.98,44.47,-9.49,79.44999999999999,0.95
8,光学光电子,3187.75,0.60%,33.58,36.8,-3.22,70.38,0.84
21,通用设备,4840.59,0.25%,33.62,35.22,-1.59,68.84,0.82
56,小金属,4321.84,-0.71%,26.83,40.96,-14.13,67.78999999999999,0.81
5,自动化设备,15665.9,0.82%,33.49,29.77,3.72,63.260000000000005,0.76
66,钢铁,1500.44,-1.19%,27.0,35.75,-8.75,62.75,0.75
72,医疗服务,16104.8,-1.64%,23.93,31.29,-7.36,55.22,0.66
69,医疗器械,10090.8,-1.39%,23.16,31.42,-8.26,54.58,0.65
63,石油加工贸易,2969.66,-0.93%,19.13,35.48,-16.35,54.61,0.65
29,建筑材料,4502.33,0.10%,24.11,25.64,-1.53,49.75,0.6
61,中药,3483.5,-0.89%,16.37,29.18,-12.81,45.55,0.55
43,环保,3316.52,-0.40%,17.46,25.76,-8.3,43.22,0.52
