,行业,行业指数,涨跌幅,流入资金(亿),流出资金(亿),净额(亿),成交额,成交额占比%
74,证券,1429.62,-2.10%,333.64,343.96,-10.32,677.5999999999999,8.49
67,计算机应用,10766.3,-0.97%,172.13,215.44,-43.31,387.57,4.86
63,电力设备,4708.85,-0.78%,143.19,202.76,-59.57,345.95,4.33
4,传媒,2525.68,1.07%,152.61,163.47,-10.86,316.08000000000004,3.96
49,通信设备,4123.72,-0.40%,96.5,113.88,-17.39,210.38,2.64
66,半导体及元件,7213.16,-0.96%,85.35,107.32,-21.97,192.67,2.41
33,汽车零部件,3913.01,-0.05%,65.13,78.07,-12.94,143.2,1.79
72,房地产开发,1770.29,-1.39%,57.42,82.56,-25.14,139.98000000000002,1.75
3,化学制药,4651.54,1.28%,64.26,54.59,9.67,118.85000000000001,1.49
64,国防军工,1626.91,-0.81%,47.08,71.42,-24.34,118.5,1.48
50,计算机设备,2700.35,-0.43%,45.45,62.62,-17.17,108.07,1.35
32,消费电子,5938.23,-0.05%,49.01,50.45,-1.44,99.46000000000001,1.25
14,建筑装饰,3385.6,0.37%,43.7,52.81,-9.11,96.51,1.21
8,饮料制造,4699.69,0.58%,46.32,45.87,0.45,92.19,1.16
10,化学制品,5367.81,0.48%,47.33,45.31,2.02,92.64,1.16
73,汽车整车,2525.79,-1.81%,34.77,57.41,-22.64,92.18,1.15
1,中药,3549.15,2.57%,51.02,37.32,13.7,88.34,1.11
70,保险及其他,1872.01,-1.11%,39.26,46.89,-7.63,86.15,1.08
44,银行,958.273,-0.33%,36.54,44.53,-7.99,81.07,1.02
62,自动化设备,15593.5,-0.76%,32.03,36.87,-4.84,68.9,0.86
30,工业金属,2384.5,-0.04%,34.64,33.15,1.49,67.78999999999999,0.85
51,专用设备,4491.78,-0.49%,27.66,38.31,-10.64,65.97,0.83
61,光学光电子,3150.07,-0.74%,26.39,39.18,-12.79,65.57,0.82
55,电力,1561.17,-0.58%,27.63,36.67,-9.05,64.3,0.81
26,医疗器械,9804.67,0.06%,31.4,29.5,1.9,60.9,0.76
71,零售,1617.72,-1.15%,25.05,35.36,-10.31,60.41,0.76
31,通用设备,4787.71,-0.04%,26.8,33.24,-6.44,60.040000000000006,0.75
5,医疗服务,15964.0,0.88%,29.53,26.06,3.47,55.59,0.7
43,小金属,4307.75,-0.24%,25.66,28.51,-2.84,54.17,0.68
37,通信服务,2050.94,-0.13%,24.51,26.51,-2.0,51.02,0.64
6,食品加工制造,5037.18,0.70%,23.68,24.34,-0.66,48.019999999999996,0.6
22,环保,3275.8,0.16%,19.89,21.17,-1.28,41.06,0.51
21,化工合成材料,3939.02,0.17%,16.67,20.54,-3.87,37.21,0.47
7,农产品加工,4017.78,0.61%,16.75,19.48,-2.73,36.230000000000004,0.45
16,生物制品,5632.62,0.30%,16.56,17.09,-0.53,33.65,0.42
46,建筑材料,4401.33,-0.36%,13.98,18.6,-4.62,32.58,0.41
24,包装印刷,3050.46,0.12%,14.05,16.56,-2.52,30.61,0.38
2,贵金属,2087.54,2.06%,17.41,10.93,6.48,28.34,0.36
15,煤炭开采加工,2105.37,0.33%,14.6,13.35,1.24,27.95,0.35
45,白色家电,4632.39,-0.35%,12.1,14.82,-2.72,26.92,0.34
59,钢铁,1457.56,-0.69%,11.45,14.91,-3.46,26.36,0.33
11,养殖业,2682.35,0.44%,11.59,13.77,-2.18,25.36,0.32
0,医药商业,4739.43,2.76%,13.9,11.05,2.85,24.950000000000003,0.31
40,种植业与林业,3763.5,-0.16%,11.65,13.14,-1.49,24.79,0.31
39,家用轻工,3132.67,-0.15%,10.96,12.53,-1.57,23.490000000000002,0.29
53,其他电子,8764.33,-0.49%,9.52,13.1,-3.59,22.619999999999997,0.28
23,化学原料,2595.73,0.14%,8.69,10.07,-1.38,18.759999999999998,0.24
13,石油加工贸易,2926.35,0.40%,10.85,7.82,3.03,18.67,0.23
65,金属新材料,8132.92,-0.86%,7.79,9.99,-2.2,17.78,0.22
48,造纸,1861.44,-0.38%,6.9,9.23,-2.33,16.130000000000003,0.2
34,美容护理,4636.3,-0.08%,7.04,7.56,-0.52,14.6,0.18
60,仪器仪表,4045.32,-0.72%,5.92,8.04,-2.12,13.959999999999999,0.17
68,非汽车交运,2257.82,-1.00%,5.34,7.25,-1.91,12.59,0.16
38,服装家纺,2322.74,-0.14%,5.76,7.13,-1.37,12.89,0.16
35,物流,4538.35,-0.11%,5.56,7.34,-1.78,12.899999999999999,0.16
41,港口航运,918.369,-0.17%,4.76,6.88,-2.11,11.64,0.15
36,电子化学品,30846.6,-0.11%,5.37,6.47,-1.11,11.84,0.15
29,油气开采及服务,1136.89,-0.01%,5.8,5.87,-0.07,11.67,0.15
25,机场航运,2124.44,0.11%,5.98,5.96,0.02,11.940000000000001,0.15
27,其他社会服务,15177.4,0.01%,5.17,5.72,-0.55,10.89,0.14
42,酒店及餐饮,2048.69,-0.18%,4.58,5.61,-1.04,10.190000000000001,0.13
54,互联网电商,6536.21,-0.51%,3.81,5.67,-1.86,9.48,0.12
9,教育,4603.91,0.48%,5.05,4.74,0.31,9.79,0.12
57,综合,2174.97,-0.61%,3.83,5.78,-1.96,9.61,0.12
17,小家电,3219.86,0.29%,3.73,4.66,-0.93,8.39,0.11
20,景点及旅游,2874.12,0.26%,4.04,4.6,-0.56,8.64,0.11
28,公路铁路运输,1057.5,-0.00%,4.47,4.45,0.03,8.92,0.11
75,房地产服务,3259.77,-2.65%,2.68,4.19,-1.51,6.870000000000001,0.09
19,纺织制造,1787.95,0.26%,3.21,3.15,0.05,6.359999999999999,0.08
58,汽车服务,1061.68,-0.61%,2.38,3.83,-1.45,6.21,0.08
52,黑色家电,3128.62,-0.49%,1.98,3.21,-1.24,5.1899999999999995,0.07
18,非金属材料,14240.8,0.26%,2.27,2.56,-0.29,4.83,0.06
