,行业,行业指数,涨跌幅,流入资金(亿),流出资金(亿),净额(亿),成交额,成交额占比%
56,计算机应用,10381.1,-0.78%,240.67,278.38,-37.71,519.05,6.62
2,传媒,2401.24,2.37%,192.44,166.9,25.54,359.34000000000003,4.59
33,电力设备,4299.77,0.00%,172.39,163.39,9.0,335.78,4.28
13,证券,1343.67,0.88%,173.07,160.16,12.92,333.23,4.25
12,半导体及元件,6576.06,0.90%,107.8,95.43,12.37,203.23000000000002,2.59
75,建筑装饰,3182.72,-2.18%,64.42,105.02,-40.59,169.44,2.16
34,通信设备,3808.3,-0.03%,77.65,77.99,-0.34,155.64,1.99
5,饮料制造,4538.79,1.88%,79.85,52.93,26.92,132.78,1.69
68,环保,3309.6,-1.22%,61.07,68.78,-7.71,129.85,1.66
47,汽车零部件,3699.56,-0.34%,56.82,61.98,-5.16,118.8,1.52
22,计算机设备,2584.37,0.44%,60.95,57.88,3.07,118.83000000000001,1.52
57,通信服务,2018.14,-0.80%,40.45,58.87,-18.42,99.32,1.27
44,国防军工,1568.06,-0.26%,46.47,50.75,-4.28,97.22,1.24
59,银行,928.297,-0.89%,35.99,54.14,-18.16,90.13,1.15
24,消费电子,5506.42,0.40%,46.05,41.66,4.39,87.71,1.12
66,房地产开发,1662.92,-1.19%,38.2,48.66,-10.46,86.86,1.11
32,化学制品,5058.85,0.02%,34.94,36.47,-1.52,71.41,0.91
20,化学制药,4463.1,0.59%,35.99,29.91,6.08,65.9,0.84
61,专用设备,4248.01,-0.96%,28.24,36.93,-8.69,65.17,0.83
60,电力,1454.42,-0.93%,25.72,38.58,-12.86,64.3,0.82
58,通用设备,4557.24,-0.89%,27.75,34.75,-7.0,62.5,0.8
62,自动化设备,14385.5,-1.02%,27.59,34.41,-6.81,62.0,0.79
42,汽车整车,2250.38,-0.18%,30.33,28.11,2.21,58.44,0.75
11,工业金属,2229.74,0.97%,33.36,24.1,9.27,57.46,0.73
3,医疗服务,15212.2,2.32%,33.38,23.08,10.3,56.46,0.72
49,保险及其他,1725.24,-0.46%,23.26,29.05,-5.79,52.31,0.67
1,养殖业,2638.36,4.49%,27.81,23.39,4.42,51.2,0.65
40,光学光电子,2931.41,-0.13%,24.01,25.68,-1.67,49.69,0.63
19,化学原料,2500.46,0.59%,24.41,23.93,0.48,48.34,0.62
17,医疗器械,9402.83,0.66%,25.78,21.45,4.33,47.230000000000004,0.6
0,贵金属,2056.16,5.38%,28.83,16.58,12.25,45.41,0.58
25,小金属,3843.74,0.40%,23.98,21.73,2.25,45.71,0.58
38,包装印刷,2890.46,-0.08%,20.04,24.93,-4.89,44.97,0.57
43,中药,3390.53,-0.18%,20.04,21.68,-1.64,41.72,0.53
14,生物制品,5379.38,0.81%,19.85,17.88,1.97,37.730000000000004,0.48
29,零售,1536.11,0.19%,17.77,19.92,-2.16,37.69,0.48
6,食品加工制造,4691.39,1.73%,19.67,14.54,5.13,34.21,0.44
4,农产品加工,3759.85,1.99%,15.88,14.01,1.87,29.89,0.38
35,白色家电,4404.54,-0.06%,15.15,14.5,0.66,29.65,0.38
64,建筑材料,4124.58,-1.12%,12.1,17.72,-5.62,29.82,0.38
71,煤炭开采加工,2031.21,-1.33%,11.12,17.89,-6.76,29.009999999999998,0.37
36,化工合成材料,3737.64,-0.07%,13.68,14.27,-0.59,27.95,0.36
72,医药商业,4643.88,-1.34%,11.85,15.59,-3.73,27.439999999999998,0.35
21,其他社会服务,15006.4,0.50%,10.27,14.08,-3.81,24.35,0.31
67,钢铁,1363.51,-1.20%,9.45,14.84,-5.38,24.29,0.31
69,物流,4366.67,-1.25%,9.25,12.73,-3.48,21.98,0.28
74,非汽车交运,2110.52,-2.17%,9.27,12.68,-3.41,21.95,0.28
37,其他电子,8133.28,-0.08%,11.34,9.32,2.02,20.66,0.26
63,港口航运,891.942,-1.11%,8.57,12.12,-3.55,20.689999999999998,0.26
41,家用轻工,2971.07,-0.17%,8.97,10.54,-1.58,19.509999999999998,0.25
7,美容护理,4467.68,1.42%,9.89,8.63,1.26,18.520000000000003,0.24
54,造纸,1742.28,-0.71%,7.81,9.42,-1.61,17.23,0.22
50,石油加工贸易,2800.84,-0.59%,8.36,8.28,0.08,16.64,0.21
70,公路铁路运输,1035.57,-1.27%,6.06,10.02,-3.96,16.08,0.21
26,电子化学品,28558.5,0.31%,8.38,8.17,0.21,16.55,0.21
23,机场航运,1961.51,0.43%,7.28,7.44,-0.17,14.72,0.19
52,油气开采及服务,1098.31,-0.64%,6.11,7.74,-1.63,13.850000000000001,0.18
16,互联网电商,6275.83,0.69%,7.16,5.85,1.31,13.01,0.17
53,服装家纺,2232.4,-0.67%,5.71,6.03,-0.32,11.74,0.15
51,仪器仪表,3814.18,-0.64%,5.59,6.13,-0.54,11.719999999999999,0.15
9,种植业与林业,3509.81,1.20%,5.6,4.46,1.14,10.059999999999999,0.13
39,教育,4391.24,-0.09%,4.4,5.31,-0.91,9.71,0.12
10,酒店及餐饮,1911.27,0.99%,4.68,4.12,0.56,8.8,0.11
45,综合,2056.71,-0.27%,3.58,4.79,-1.21,8.370000000000001,0.11
73,燃气,1238.67,-1.73%,3.14,5.03,-1.88,8.17,0.1
8,景点及旅游,2734.49,1.39%,3.87,3.15,0.72,7.02,0.09
55,金属新材料,7262.03,-0.76%,3.49,3.71,-0.22,7.2,0.09
27,小家电,3065.46,0.26%,3.46,3.6,-0.15,7.0600000000000005,0.09
65,纺织制造,1726.82,-1.17%,2.42,3.52,-1.1,5.9399999999999995,0.08
28,汽车服务,1001.42,0.23%,2.69,2.96,-0.26,5.65,0.07
48,贸易,2324.47,-0.39%,2.43,3.03,-0.6,5.46,0.07
31,非金属材料,13356.5,0.06%,2.43,2.05,0.38,4.48,0.06
