,行业,行业指数,涨跌幅,流入资金(亿),流出资金(亿),净额(亿),成交额,成交额占比%
75,计算机应用,9921.48,-4.43%,200.45,267.76,-67.31,468.21,6.13
3,证券,1355.85,0.91%,153.44,141.47,11.97,294.90999999999997,3.86
69,传媒,2315.73,-3.56%,117.3,168.03,-50.73,285.33,3.73
50,电力设备,4217.6,-1.91%,130.48,151.63,-21.15,282.11,3.69
70,半导体及元件,6340.16,-3.59%,90.73,110.75,-20.02,201.48000000000002,2.64
73,通信设备,3645.83,-4.27%,75.5,96.88,-21.38,172.38,2.26
5,环保,3336.96,0.83%,85.84,82.29,3.55,168.13,2.2
74,计算机设备,2471.17,-4.38%,59.41,84.54,-25.13,143.95,1.88
4,房地产开发,1677.68,0.89%,67.1,54.54,12.56,121.63999999999999,1.59
60,国防军工,1525.01,-2.75%,44.65,62.57,-17.91,107.22,1.4
45,饮料制造,4455.15,-1.84%,50.57,49.49,1.08,100.06,1.31
22,建筑装饰,3154.79,-0.88%,46.73,50.82,-4.09,97.55,1.28
61,汽车零部件,3596.22,-2.79%,40.61,56.15,-15.53,96.75999999999999,1.27
2,银行,936.765,0.91%,55.55,38.3,17.25,93.85,1.23
72,通信服务,1934.81,-4.13%,36.58,45.2,-8.62,81.78,1.07
68,消费电子,5315.51,-3.47%,31.19,49.65,-18.47,80.84,1.06
23,化学制品,5009.03,-0.98%,36.31,40.78,-4.48,77.09,1.01
6,养殖业,2652.5,0.54%,34.47,39.21,-4.74,73.68,0.96
24,化学制药,4418.43,-1.00%,34.17,34.22,-0.05,68.39,0.9
13,电力,1447.36,-0.48%,33.58,31.12,2.46,64.7,0.85
67,自动化设备,13888.0,-3.46%,27.74,36.3,-8.56,64.03999999999999,0.84
54,专用设备,4157.6,-2.13%,27.37,35.76,-8.39,63.129999999999995,0.83
62,光学光电子,2848.01,-2.85%,24.69,37.1,-12.41,61.790000000000006,0.81
58,通用设备,4441.32,-2.54%,25.51,33.05,-7.54,58.56,0.77
55,医疗服务,14875.4,-2.21%,26.72,30.94,-4.22,57.66,0.75
34,医疗器械,9258.44,-1.54%,28.68,28.62,0.06,57.3,0.75
25,化学原料,2473.27,-1.09%,22.09,30.89,-8.8,52.980000000000004,0.69
18,保险及其他,1711.39,-0.80%,23.27,24.57,-1.31,47.84,0.63
44,汽车整车,2208.99,-1.84%,21.02,27.39,-6.37,48.41,0.63
37,小金属,3781.53,-1.62%,17.99,26.91,-8.92,44.9,0.59
36,工业金属,2193.86,-1.61%,17.52,27.82,-10.3,45.34,0.59
42,零售,1509.11,-1.76%,17.78,25.31,-7.53,43.09,0.56
49,食品加工制造,4603.52,-1.87%,18.83,21.72,-2.89,40.55,0.53
20,中药,3362.29,-0.83%,16.18,19.85,-3.67,36.03,0.47
38,包装印刷,2842.8,-1.65%,14.76,20.09,-5.33,34.85,0.46
31,化工合成材料,3682.19,-1.48%,14.96,17.61,-2.66,32.57,0.43
30,生物制品,5301.73,-1.44%,15.5,16.28,-0.78,31.78,0.42
28,农产品加工,3709.22,-1.35%,14.47,17.92,-3.44,32.39,0.42
15,建筑材料,4102.87,-0.53%,14.6,15.44,-0.84,30.04,0.39
39,其他社会服务,14750.3,-1.71%,12.13,14.22,-2.09,26.35,0.34
8,钢铁,1360.63,-0.21%,13.17,11.57,1.61,24.740000000000002,0.32
53,贵金属,2013.48,-2.08%,10.51,13.55,-3.04,24.060000000000002,0.31
16,医药商业,4609.7,-0.74%,10.77,12.24,-1.46,23.009999999999998,0.3
46,白色家电,4323.35,-1.84%,9.5,11.98,-2.47,21.48,0.28
21,煤炭开采加工,2013.64,-0.86%,8.73,12.11,-3.38,20.84,0.27
32,家用轻工,2925.87,-1.52%,8.68,11.58,-2.9,20.259999999999998,0.27
