,行业,行业指数,涨跌幅,流入资金(亿),流出资金(亿),净额(亿),成交额,成交额占比%
0,证券,1331.9,7.36%,469.66,278.66,191.0,748.32,7.89
16,计算机应用,10369.4,1.43%,207.73,186.45,21.28,394.17999999999995,4.16
59,电力设备,4725.37,0.15%,183.02,173.29,9.73,356.31,3.76
10,房地产开发,1771.67,1.87%,150.05,127.84,22.21,277.89,2.93
72,半导体及元件,7248.23,-0.38%,123.18,139.13,-15.95,262.31,2.77
14,饮料制造,4688.19,1.60%,142.56,96.5,46.06,239.06,2.52
39,汽车零部件,3975.82,0.70%,119.72,116.16,3.56,235.88,2.49
3,银行,960.632,3.30%,145.05,74.28,70.77,219.33,2.31
74,传媒,2381.02,-0.57%,86.99,117.15,-30.16,204.14,2.15
2,汽车整车,2520.11,3.42%,121.54,76.79,44.75,198.33,2.09
69,国防军工,1653.66,-0.15%,85.07,108.9,-23.83,193.97,2.05
1,保险及其他,1832.34,4.41%,115.71,68.75,46.96,184.45999999999998,1.95
66,建筑装饰,3420.91,-0.08%,85.47,82.49,2.98,167.95999999999998,1.77
63,通信设备,4022.03,0.03%,69.55,75.28,-5.73,144.82999999999998,1.53
36,计算机设备,2612.83,0.78%,66.61,58.06,8.55,124.67,1.32
50,化学制品,5437.52,0.45%,55.52,50.18,5.35,105.7,1.12
13,零售,1624.63,1.72%,55.87,49.69,6.18,105.56,1.11
53,专用设备,4554.21,0.41%,50.59,49.34,1.25,99.93,1.05
65,消费电子,5849.73,-0.01%,43.32,44.69,-1.36,88.00999999999999,0.93
57,电力,1549.56,0.24%,40.91,42.68,-1.77,83.59,0.88
12,建筑材料,4451.99,1.74%,45.48,36.75,8.73,82.22999999999999,0.87
24,钢铁,1474.44,1.08%,42.89,30.94,11.95,73.83,0.78
29,工业金属,2338.53,0.98%,41.15,32.86,8.3,74.00999999999999,0.78
64,光学光电子,3139.43,0.01%,36.62,35.33,1.29,71.94999999999999,0.76
31,化学制药,4857.48,0.95%,40.04,29.58,10.47,69.62,0.73
25,小金属,4278.67,1.07%,37.98,30.15,7.83,68.13,0.72
15,食品加工制造,4973.66,1.44%,38.94,27.85,11.09,66.78999999999999,0.7
58,通用设备,4821.56,0.16%,28.66,33.0,-4.34,61.66,0.65
34,通信服务,1974.25,0.80%,32.83,27.42,5.42,60.25,0.64
71,自动化设备,15612.4,-0.20%,28.41,30.87,-2.45,59.28,0.63
73,环保,3318.49,-0.40%,25.59,32.21,-6.62,57.8,0.61
18,生物制品,6016.14,1.33%,28.09,27.25,0.84,55.34,0.58
32,医疗服务,16274.0,0.89%,29.12,23.51,5.61,52.63,0.56
37,中药,3590.64,0.72%,27.59,23.64,3.95,51.230000000000004,0.54
48,医疗器械,10473.3,0.49%,26.97,24.47,2.5,51.44,0.54
49,白色家电,4692.97,0.46%,25.03,20.69,4.35,45.72,0.48
11,家用轻工,3227.85,1.80%,23.1,17.58,5.53,40.68,0.43
6,服装家纺,2380.71,2.62%,18.97,15.93,3.04,34.9,0.37
55,化工合成材料,3975.5,0.34%,14.82,15.16,-0.35,29.98,0.32
7,美容护理,4780.33,2.38%,17.09,12.68,4.41,29.77,0.31
28,煤炭开采加工,2135.03,0.99%,16.48,12.77,3.71,29.25,0.31
35,物流,4596.26,0.79%,15.47,12.05,3.42,27.520000000000003,0.29
43,化学原料,2631.28,0.63%,14.79,12.94,1.84,27.729999999999997,0.29
20,港口航运,937.904,1.30%,16.09,10.53,5.56,26.619999999999997,0.28
67,其他电子,8829.56,-0.10%,12.41,14.05,-1.64,26.46,0.28
75,贵金属,1988.05,-0.85%,9.9,13.82,-3.92,23.72,0.25
19,机场航运,2153.05,1.32%,14.39,8.93,5.46,23.32,0.25
45,包装印刷,3049.28,0.54%,9.97,13.2,-3.23,23.17,0.24
23,油气开采及服务,1134.1,1.11%,11.28,11.23,0.06,22.509999999999998,0.24
44,石油加工贸易,2951.25,0.57%,10.52,10.58,-0.06,21.1,0.22
51,养殖业,2619.73,0.45%,10.08,9.94,0.14,20.02,0.21
33,农产品加工,3896.78,0.83%,9.8,8.02,1.79,17.82,0.19
60,电子化学品,30831.6,0.15%,7.52,8.34,-0.82,15.86,0.17
5,房地产服务,3214.81,2.64%,7.94,7.9,0.04,15.84,0.17
21,非汽车交运,2272.89,1.24%,9.58,6.72,2.87,16.3,0.17
27,综合,2181.13,1.05%,8.38,7.59,0.79,15.97,0.17
17,公路铁路运输,1076.05,1.42%,9.05,6.56,2.49,15.61,0.16
62,互联网电商,6498.0,0.03%,7.54,7.76,-0.21,15.3,0.16
46,酒店及餐饮,2049.25,0.53%,7.06,7.3,-0.24,14.36,0.15
9,小家电,3237.1,1.89%,8.69,5.43,3.26,14.12,0.15
61,景点及旅游,2892.77,0.08%,7.0,6.86,0.14,13.86,0.15
40,医药商业,4748.14,0.68%,7.06,6.85,0.21,13.91,0.15
42,种植业与林业,3633.71,0.67%,6.99,5.96,1.02,12.95,0.14
52,教育,4554.0,0.42%,6.5,5.85,0.65,12.35,0.13
8,纺织制造,1832.47,1.95%,6.51,5.35,1.16,11.86,0.13
56,金属新材料,8020.16,0.26%,5.6,5.69,-0.09,11.29,0.12
68,其他社会服务,14918.8,-0.12%,5.22,6.07,-0.85,11.29,0.12
54,汽车服务,1077.02,0.41%,4.97,4.36,0.61,9.33,0.1
70,仪器仪表,4032.13,-0.20%,4.0,5.29,-1.29,9.29,0.1
26,造纸,1883.02,1.05%,4.47,3.83,0.64,8.3,0.09
22,贸易,2467.07,1.20%,3.67,3.72,-0.04,7.390000000000001,0.08
41,黑色家电,3098.51,0.67%,3.7,3.74,-0.03,7.44,0.08
4,厨卫电器,6134.92,3.14%,4.58,3.2,1.38,7.78,0.08
38,燃气,1278.18,0.71%,2.68,2.19,0.49,4.87,0.05
47,非金属材料,14415.1,0.53%,2.02,1.76,0.26,3.7800000000000002,0.04
30,农业服务,7390.53,0.97%,1.4,1.0,0.39,2.4,0.03
