,行业,行业指数,涨跌幅,流入资金(亿),流出资金(亿),净额(亿),成交额,成交额占比%
3,证券,1460.21,1.39%,322.14,319.05,3.09,641.19,7.21
6,计算机应用,10871.8,0.82%,234.91,249.57,-14.66,484.48,5.45
1,传媒,2499.04,2.19%,189.72,173.76,15.97,363.48,4.09
33,电力设备,4745.65,-0.49%,148.85,182.49,-33.65,331.34000000000003,3.73
14,通信设备,4140.23,0.20%,137.59,157.87,-20.28,295.46000000000004,3.32
27,半导体及元件,7283.15,-0.28%,110.69,119.38,-8.7,230.07,2.59
74,房地产开发,1795.28,-3.39%,79.31,121.94,-42.63,201.25,2.26
8,计算机设备,2711.93,0.60%,75.6,86.66,-11.06,162.26,1.82
72,化学制药,4592.6,-2.85%,59.84,87.64,-27.79,147.48000000000002,1.66
31,汽车零部件,3915.11,-0.38%,61.91,74.71,-12.8,136.62,1.54
65,饮料制造,4672.44,-1.33%,58.33,77.4,-19.07,135.73000000000002,1.53
67,保险及其他,1893.05,-1.98%,50.35,62.51,-12.17,112.86,1.27
66,建筑装饰,3373.16,-1.79%,42.49,66.78,-24.29,109.27000000000001,1.23
11,消费电子,5940.97,0.52%,55.89,52.24,3.65,108.13,1.22
71,医疗器械,9798.62,-2.57%,44.34,54.59,-10.25,98.93,1.11
25,国防军工,1640.18,-0.28%,42.65,54.72,-12.07,97.37,1.1
62,银行,961.432,-1.21%,36.67,52.71,-16.04,89.38,1.01
32,汽车整车,2572.24,-0.42%,38.96,41.88,-2.91,80.84,0.91
39,化学制品,5342.34,-0.61%,33.95,45.18,-11.23,79.13,0.89
69,中药,3460.32,-2.33%,28.15,45.16,-17.01,73.31,0.82
28,自动化设备,15712.3,-0.31%,33.1,38.55,-5.45,71.65,0.81
63,零售,1636.54,-1.22%,31.97,39.54,-7.57,71.50999999999999,0.8
23,光学光电子,3173.47,-0.23%,31.16,37.68,-6.52,68.84,0.77
7,通信服务,2053.69,0.82%,29.77,38.57,-8.8,68.34,0.77
29,电力,1570.32,-0.32%,31.62,35.21,-3.59,66.83,0.75
16,小金属,4317.98,0.03%,32.22,34.81,-2.59,67.03,0.75
70,医疗服务,15825.0,-2.39%,30.8,36.02,-5.22,66.82000000000001,0.75
34,专用设备,4513.9,-0.52%,26.62,36.2,-9.58,62.82000000000001,0.71
12,工业金属,2385.5,0.38%,29.66,28.83,0.83,58.489999999999995,0.66
75,生物制品,5615.75,-3.55%,20.42,36.1,-15.69,56.52,0.64
22,通用设备,4789.88,-0.20%,25.13,30.32,-5.19,55.45,0.62
54,食品加工制造,5001.96,-0.92%,22.61,29.2,-6.59,51.81,0.58
41,化工合成材料,3932.26,-0.65%,19.91,27.22,-7.31,47.129999999999995,0.53
58,建筑材料,4417.11,-1.05%,17.71,24.37,-6.66,42.08,0.47
38,环保,3270.52,-0.59%,17.98,22.99,-5.01,40.97,0.46
0,种植业与林业,3769.52,2.39%,21.77,14.72,7.05,36.49,0.41
4,农产品加工,3993.33,0.95%,17.08,15.0,2.08,32.08,0.36
26,包装印刷,3046.97,-0.28%,13.96,18.01,-4.05,31.970000000000002,0.36
64,钢铁,1467.63,-1.31%,12.18,19.32,-7.14,31.5,0.35
24,白色家电,4648.56,-0.26%,12.37,15.68,-3.31,28.049999999999997,0.32
60,家用轻工,3137.45,-1.08%,10.85,13.82,-2.98,24.67,0.28
17,其他电子,8807.66,-0.03%,11.05,13.23,-2.18,24.28,0.27
5,养殖业,2670.56,0.93%,11.19,11.84,-0.64,23.03,0.26
61,美容护理,4639.88,-1.18%,8.65,12.13,-3.48,20.78,0.23
2,金属新材料,8203.62,2.02%,12.02,8.69,3.33,20.71,0.23
46,煤炭开采加工,2098.5,-0.75%,8.07,11.77,-3.7,19.84,0.22
52,化学原料,2592.09,-0.86%,6.81,11.92,-5.11,18.73,0.21
36,石油加工贸易,2914.63,-0.55%,9.09,8.72,0.38,17.810000000000002,0.2
