,行业,行业指数,涨跌幅,流入资金(亿),流出资金(亿),净额(亿),成交额,成交额占比%
40,计算机应用,10637.8,-0.58%,210.82,234.68,-23.85,445.5,5.39
3,半导体及元件,7022.32,1.30%,206.34,172.36,33.97,378.70000000000005,4.58
52,电力设备,4408.24,-0.84%,137.57,170.44,-32.86,308.01,3.73
69,传媒,2432.74,-1.49%,132.97,164.01,-31.04,296.98,3.59
73,证券,1312.56,-2.04%,113.12,163.72,-50.6,276.84000000000003,3.35
75,房地产开发,1711.6,-5.02%,79.47,115.08,-35.61,194.55,2.35
45,国防军工,1619.59,-0.74%,55.66,68.81,-13.15,124.47,1.51
34,通信设备,3914.43,-0.35%,55.95,61.54,-5.59,117.49000000000001,1.42
16,汽车零部件,3848.41,-0.12%,53.3,63.51,-10.21,116.81,1.41
37,饮料制造,4502.46,-0.47%,54.37,60.71,-6.34,115.08,1.39
35,银行,916.035,-0.38%,49.78,56.73,-6.95,106.50999999999999,1.29
24,计算机设备,2645.34,-0.20%,50.53,52.65,-2.12,103.18,1.25
63,建筑装饰,3233.89,-1.25%,42.54,58.77,-16.23,101.31,1.23
15,专用设备,4433.15,-0.08%,48.43,51.5,-3.07,99.93,1.21
6,消费电子,5820.22,0.73%,48.77,46.47,2.31,95.24000000000001,1.15
68,环保,3322.36,-1.47%,38.98,53.62,-14.64,92.6,1.12
4,光学光电子,3125.62,0.81%,48.05,44.69,3.36,92.74,1.12
33,通用设备,4745.61,-0.35%,41.35,46.75,-5.4,88.1,1.07
71,汽车整车,2270.47,-1.66%,37.98,49.09,-11.1,87.07,1.05
11,自动化设备,15227.1,0.07%,39.28,44.12,-4.83,83.4,1.01
17,通信服务,2063.82,-0.13%,41.51,41.66,-0.15,83.16999999999999,1.01
5,化学制药,4648.33,0.78%,42.78,40.39,2.39,83.17,1.01
65,保险及其他,1714.47,-1.36%,34.92,40.83,-5.91,75.75,0.92
12,电力,1463.1,-0.01%,36.42,36.97,-0.54,73.39,0.89
36,化学制品,5183.36,-0.38%,31.71,38.07,-6.36,69.78,0.84
0,电子化学品,31339.5,2.94%,34.32,28.19,6.13,62.510000000000005,0.76
1,中药,3513.64,1.64%,32.04,27.06,4.98,59.099999999999994,0.71
8,医疗器械,9859.77,0.17%,29.11,26.19,2.92,55.3,0.67
61,小金属,3861.01,-1.13%,22.59,31.42,-8.84,54.010000000000005,0.65
25,白色家电,4609.55,-0.22%,23.28,24.35,-1.07,47.63,0.58
54,建筑材料,4239.96,-0.85%,21.16,26.09,-4.93,47.25,0.57
56,工业金属,2248.79,-0.90%,20.7,25.26,-4.56,45.96,0.56
18,食品加工制造,4696.72,-0.14%,18.71,24.73,-6.01,43.44,0.53
30,医疗服务,15673.6,-0.31%,20.97,21.24,-0.27,42.209999999999994,0.51
60,养殖业,2570.84,-1.10%,19.19,23.02,-3.83,42.21,0.51
70,零售,1509.23,-1.59%,16.51,24.5,-8.0,41.010000000000005,0.5
2,医药商业,4808.87,1.46%,18.29,17.15,1.14,35.44,0.43
13,包装印刷,2991.27,-0.02%,15.2,17.02,-1.82,32.22,0.39
47,煤炭开采加工,2053.4,-0.76%,15.6,16.45,-0.85,32.05,0.39
23,贵金属,2052.64,-0.19%,14.64,14.29,0.35,28.93,0.35
29,物流,4418.07,-0.25%,12.05,16.09,-4.03,28.14,0.34
31,家用轻工,3115.59,-0.31%,12.86,14.49,-1.64,27.35,0.33
28,化工合成材料,3860.78,-0.25%,12.05,14.29,-2.24,26.34,0.32
58,化学原料,2484.38,-1.00%,9.71,15.68,-5.97,25.39,0.31
21,生物制品,5532.74,-0.18%,11.71,12.66,-0.95,24.37,0.29
7,小家电,3131.22,0.57%,12.3,11.31,0.99,23.61,0.29
49,公路铁路运输,1026.57,-0.81%,10.75,12.05,-1.3,22.8,0.28
9,仪器仪表,3987.3,0.14%,11.14,11.96,-0.82,23.1,0.28
50,钢铁,1363.44,-0.82%,10.15,12.98,-2.83,23.130000000000003,0.28
51,港口航运,881.748,-0.83%,9.67,13.05,-3.39,22.72,0.27
66,其他社会服务,15151.0,-1.36%,9.52,11.63,-2.11,21.15,0.26
14,农产品加工,3755.43,-0.07%,9.41,10.88,-1.47,20.29,0.25
32,其他电子,8460.04,-0.32%,8.62,10.38,-1.76,19.0,0.23
27,机场航运,1952.06,-0.23%,7.66,8.48,-0.82,16.14,0.2
46,石油加工贸易,2819.78,-0.76%,7.48,9.22,-1.74,16.700000000000003,0.2
20,美容护理,4636.59,-0.16%,7.75,8.44,-0.7,16.189999999999998,0.2
44,服装家纺,2274.97,-0.70%,7.35,8.4,-1.05,15.75,0.19
74,房地产服务,3325.03,-4.31%,6.49,8.34,-1.84,14.83,0.18
64,造纸,1788.6,-1.35%,5.35,9.29,-3.94,14.639999999999999,0.18
10,酒店及餐饮,1906.32,0.11%,6.57,7.08,-0.51,13.65,0.17
19,非汽车交运,2181.33,-0.14%,6.56,7.62,-1.06,14.18,0.17
67,互联网电商,6292.62,-1.46%,5.3,8.13,-2.83,13.43,0.16
72,教育,4461.32,-1.70%,4.33,6.15,-1.82,10.48,0.13
43,油气开采及服务,1105.65,-0.65%,3.95,6.7,-2.75,10.65,0.13
22,种植业与林业,3521.94,-0.18%,4.12,5.77,-1.65,9.89,0.12
41,金属新材料,7473.36,-0.58%,4.16,4.95,-0.78,9.11,0.11
