股票简称,30日净买入率总和,30日最新价涨跌幅,30日净买入率/涨跌幅
赛维时代,5.93%,0.0%,inf
华大智造,2.58%,0.23%,11.117342857142434
华体科技,1.66%,0.21%,7.868400000000169
海能实业,1.2%,0.16%,7.520000000000606
赛腾股份,3.05%,-0.72%,4.222672413793116
凯赛生物,1.22%,0.53%,2.2928823529412012
金刚光伏,1.88%,-1.03%,1.8166370370370395
迈信林,3.22%,1.85%,1.7361891891891847
德昌股份,7.51%,4.4%,1.7052117647058869
同益股份,1.79%,1.06%,1.6952352941176656
通源环境,4.87%,-3.33%,1.4610000000000045
拓山重工,5.44%,3.87%,1.4039017543859689
金百泽,1.29%,0.92%,1.4024142857142972
通达创智,4.45%,3.21%,1.3842466666666662
王力安防,8.95%,6.69%,1.3369923076923105
奥特维,1.98%,1.52%,1.3015894736842128
帝科股份,1.64%,-1.53%,1.0714264705882357
东亚机械,1.07%,1.11%,0.9612166666666587
天孚通信,1.33%,-1.39%,0.9593921985815622
江波龙,7.27%,7.58%,0.9589843501326247
中兴通讯,1.24%,-1.31%,0.9480363636363687
利仁科技,5.1%,5.45%,0.9352251655629154
超捷股份,4.35%,4.75%,0.9160588235294121
*ST正邦,2.42%,-2.81%,0.8621249999999993
美埃科技,2.78%,-3.27%,0.8494693548387083
经纬股份,8.48%,10.1%,0.8397555555555557
天新药业,6.66%,8.14%,0.8178594827586205
中信博,1.4%,1.76%,0.7948888888888901
泰慕士,20.37%,26.77%,0.760858536585366
胜蓝股份,2.19%,2.88%,0.7605610169491527
欧圣电气,1.21%,1.61%,0.753224999999997
联翔股份,3.18%,4.26%,0.7466086956521724
新莱福,13.03%,18.51%,0.7038396067415731
豪恩汽电,8.57%,12.2%,0.7025370673952649
博亚精工,1.94%,2.9%,0.6679527777777755
涛涛车业,8.78%,13.27%,0.6616914378029072
泰福泵业,3.39%,5.16%,0.6574545454545442
超卓航科,1.33%,2.07%,0.6410600000000011
佰奥智能,2.1%,-3.28%,0.639947368421053
广联航空,1.07%,1.69%,0.6344872340425548
安奈儿,6.71%,10.59%,0.6335488372093018
洪通燃气,1.5%,2.38%,0.6312499999999994
长江材料,5.9%,9.36%,0.6301067415730346
瑞德智能,1.25%,2.0%,0.6242788461538467
英诺激光,2.11%,3.44%,0.6128813953488378
鼎际得,4.82%,7.89%,0.6110978378378374
众望布艺,3.59%,5.93%,0.6056028037383177
广信材料,4.77%,7.92%,0.6024630252100842
悦安新材,3.06%,5.13%,0.5961038961038956
五洲医疗,3.82%,6.46%,0.5909392265193374
臻镭科技,1.52%,2.63%,0.5780720496894386
嘉亨家化,1.54%,2.68%,0.5750301886792439
山东药玻,1.35%,2.38%,0.5683064516129056
聚赛龙,5.77%,10.17%,0.567617886178861
贝肯能源,4.18%,7.44%,0.5621379310344818
爱朋医疗,1.95%,-3.53%,0.5528095238095245
维康药业,2.75%,5.06%,0.5440000000000011
西上海,4.2%,7.79%,0.5389489051094887
冠盛股份,4.18%,7.77%,0.5378484374999996
倍杰特,6.37%,11.85%,0.5374687500000003
金房能源,1.47%,2.79%,0.5273333333333343
瑞晟智能,1.27%,2.41%,0.5272640449438198
永冠新材,2.0%,3.82%,0.523773584905661
潍柴重机,1.78%,3.42%,0.520529729729731
晶品特装,1.97%,3.82%,0.5159523809523813
瑞联新材,5.93%,12.04%,0.49246683046683043
华融化学,4.59%,9.34%,0.49136538461538387
有研粉材,6.44%,13.26%,0.4857599999999995
长盛轴承,2.84%,5.85%,0.4852273504273497
玉马遮阳,1.93%,4.0%,0.4829595238095239
亚虹医药,1.57%,3.28%,0.4782135135135122
富春染织,2.9%,6.15%,0.47171276595744605
博菲电气,2.36%,5.06%,0.4665538461538455
起帆电缆,1.88%,4.04%,0.46529999999999966
同力日升,2.18%,4.71%,0.462459541984732
晨光新材,2.48%,5.38%,0.46095652173913143
伟时电子,4.0%,8.69%,0.4603174603174603
雅艺科技,5.37%,11.8%,0.45499169329073486
浙海德曼,1.21%,2.66%,0.4543550000000015
湖南裕能,8.46%,18.85%,0.4488621761658032
创益通,7.12%,15.95%,0.44645037037037055
华业香料,2.54%,5.71%,0.4450000000000002
果麦文化,1.81%,-4.09%,0.44220964467004936
华生科技,3.7%,8.41%,0.4398888888888887
仟源医药,9.41%,21.39%,0.4398627906976744
通源石油,5.06%,11.51%,0.4395874999999996
满坤科技,6.99%,15.92%,0.4392077283372361
嘉华股份,2.46%,5.6%,0.4391555555555563
霍普股份,4.41%,10.05%,0.43894449152542314
威腾电气,2.24%,5.14%,0.43572307692307727
炜冈科技,2.63%,6.05%,0.4346943396226421
嘉曼服饰,1.66%,3.85%,0.4310702127659569
金钟股份,6.56%,15.24%,0.4305529715762272
曼恩斯特,2.41%,5.61%,0.4292250847457624
真爱美家,2.86%,6.67%,0.428714
美芯晟,1.57%,3.7%,0.4244447949526812
联合精密,1.88%,4.47%,0.4210416666666662
曼卡龙,1.8%,4.31%,0.4180645161290328
天山电子,3.04%,7.37%,0.4123487179487182
山水比德,3.4%,8.34%,0.40784753363228693
上海艾录,1.13%,2.8%,0.4039750000000009
亚光股份,2.33%,5.79%,0.4024207446808505
凯旺科技,2.25%,5.59%,0.40241803278688565
福然德,1.2%,2.99%,0.4008000000000004
京源环保,1.38%,3.44%,0.4006312499999996
帅丰电器,2.22%,5.54%,0.4005866666666657
