股票简称,30日净买入率总和,30日最新价涨跌幅,30日净买入率/涨跌幅
浙江荣泰,7.42%,0.0%,inf
智翔金泰,2.5%,0.03%,77.97500000001548
科汇股份,1.99%,0.07%,30.128600000000645
宝立食品,1.35%,0.05%,27.242999999995742
深科达,4.1%,0.93%,4.390727272727226
楚环科技,5.14%,-1.38%,3.7299729729729627
通源环境,6.03%,2.04%,2.9546999999999928
天亿马,1.1%,0.42%,2.5909230769230964
拓山重工,10.27%,4.42%,2.3241800000000055
安德利,3.57%,1.63%,2.1869129032257897
绿岛风,1.44%,0.8%,1.8102000000000118
东芯股份,2.78%,-1.63%,1.708210714285729
正弦电气,2.02%,-1.19%,1.704462068965522
伟时电子,3.02%,1.79%,1.684230769230771
超捷股份,6.14%,-4.05%,1.5159448275862069
华大智造,3.81%,-2.52%,1.5121355263157887
江波龙,7.66%,-5.13%,1.493850196078433
天新药业,4.04%,3.3%,1.2244638297872321
经纬股份,17.53%,14.54%,1.2056807073954987
博亚精工,1.37%,-1.17%,1.1711137931034519
广信材料,2.68%,-2.4%,1.1189000000000016
福莱新材,10.75%,10.68%,1.0068944099378871
王力安防,9.88%,10.71%,0.9224500000000007
华光新材,3.7%,4.24%,0.8725443037974653
税友股份,2.0%,2.29%,0.871868131868135
冠盛股份,4.24%,4.92%,0.8621333333333308
景津装备,2.02%,2.38%,0.8503638888888861
野马电池,1.32%,1.56%,0.8478171428571483
恺英网络,1.06%,-1.26%,0.8429789473684232
华工科技,2.53%,3.07%,0.8235266055045846
华铭智能,2.8%,3.51%,0.7987368421052614
圣泉集团,8.69%,11.18%,0.7772722222222224
中科飞测,1.98%,-2.58%,0.7688000000000038
青达环保,2.03%,2.64%,0.767569811320753
维康药业,1.76%,2.48%,0.7092148148148159
晶晨股份,1.54%,2.25%,0.6831282051282042
盾安环境,1.19%,-1.8%,0.6604499999999994
众望布艺,5.54%,8.75%,0.6328924050632918
天孚通信,2.5%,-3.95%,0.6325248756218911
普瑞眼科,2.61%,4.18%,0.6241575178997618
倍杰特,6.41%,10.28%,0.6236756756756761
新风光,3.29%,5.28%,0.623017721518988
涛涛车业,3.85%,6.22%,0.6193189655172413
澜起科技,1.78%,2.91%,0.6115337423312873
聚赛龙,4.34%,7.11%,0.610627906976743
天普股份,3.66%,6.05%,0.6045032967032966
泉为科技,1.79%,2.99%,0.597765789473683
瑞联新材,4.81%,8.17%,0.58905072463768
浙江恒威,3.18%,5.45%,0.5836489795918373
普利特,1.56%,2.7%,0.5767542857142863
冠中生态,5.12%,8.98%,0.5702764227642275
常青股份,1.22%,-2.25%,0.5411794871794864
西上海,3.35%,6.43%,0.5211769911504414
宁波方正,5.7%,11.07%,0.5149472049689438
有研粉材,9.98%,19.54%,0.5107696284329566
祖名股份,1.72%,3.37%,0.5099799999999997
格力地产,1.74%,3.46%,0.5030869565217402
北京君正,1.69%,-3.56%,0.4744538709677428
迈信林,1.39%,-2.96%,0.4700084745762713
大洋生物,3.61%,7.7%,0.4688543209876536
思瑞浦,2.45%,5.23%,0.4683945147679327
真爱美家,4.06%,8.67%,0.4681492307692311
奕瑞科技,1.17%,-2.51%,0.4663557692307699
联翔股份,4.11%,8.89%,0.46237499999999954
潍柴重机,1.25%,-2.77%,0.4508333333333322
久量股份,2.37%,5.3%,0.4468147058823532
湖南裕能,4.7%,10.72%,0.43852391799544416
百克生物,1.4%,3.21%,0.43664864864865
骏成科技,3.5%,8.05%,0.4350361010830321
泰慕士,29.11%,66.98%,0.4346228412256269
金富科技,4.06%,9.42%,0.43083764705882377
确成股份,1.27%,2.95%,0.430276
联合精密,1.88%,4.37%,0.4299999999999993
通达电气,1.46%,3.42%,0.4271851851851859
贝肯能源,5.87%,13.85%,0.4239444444444441
格林达,1.01%,-2.4%,0.4207371428571434
金钟股份,2.49%,5.94%,0.4188476821192049
凯赛生物,1.71%,4.16%,0.4107857142857138
郑州银行,1.61%,4.0%,0.40250000000000064
洪通燃气,2.51%,6.24%,0.40239682539682486
德昌股份,2.15%,-5.6%,0.38421296296296226
重庆银行,2.13%,5.62%,0.3790431818181823
爱慕股份,3.83%,10.18%,0.37629750000000006
皓元医药,1.41%,3.75%,0.37571179245283065
富春染织,2.91%,7.91%,0.3677181818181815
蠡湖股份,2.24%,6.1%,0.367070967741936
胜蓝股份,2.17%,-5.95%,0.36445327868852495
红墙股份,4.7%,13.06%,0.3599689922480623
润丰股份,2.31%,6.51%,0.3549042682926828
茂莱光学,2.6%,7.43%,0.3498372280419018
恒大高新,4.63%,13.27%,0.3490307692307691
天元股份,5.48%,15.82%,0.34635032679738575
南钢股份,3.37%,9.82%,0.34312727272727267
崧盛股份,1.64%,4.84%,0.33916595744680933
双枪科技,3.66%,10.82%,0.3383836363636365
三利谱,3.39%,10.05%,0.3372157894736839
蒙泰高新,3.39%,10.12%,0.3350776859504135
泰福泵业,2.18%,6.51%,0.3348480000000001
双乐股份,4.0%,12.01%,0.3330097087378636
禾望电气,1.84%,5.55%,0.33144052287581677
亚虹医药,2.38%,7.19%,0.33114320987654305
宁波色母,2.26%,6.95%,0.32520735294117664
包钢股份,2.69%,8.43%,0.31921333333333357
新易盛,4.88%,-15.73%,0.31015219123505977
优彩资源,6.26%,20.34%,0.30782255639097733
炬申股份,5.08%,16.59%,0.3061310043668124
新柴股份,3.7%,12.1%,0.3058163265306121
宁波富邦,3.32%,10.87%,0.3055009174311926
赛隆药业,3.35%,11.11%,0.3014999999999998
西大门,3.2%,10.7%,0.2990344827586209
通源石油,4.87%,16.31%,0.2986455882352942
海辰药业,2.28%,7.82%,0.29152369942196527
泰坦股份,2.04%,7.05%,0.2894966292134835
大地海洋,3.55%,12.28%,0.28902020202020196
大业股份,3.27%,11.32%,0.2889393442622949
神剑股份,1.79%,6.22%,0.28789166666666693
国机通用,1.96%,6.86%,0.2858516853932588
天宸股份,1.99%,7.01%,0.28375058823529364
华源控股,2.98%,10.53%,0.2831000000000003
吉峰科技,2.32%,8.23%,0.281969230769231
欣贺股份,3.51%,12.47%,0.2814157894736845
欧亚集团,4.56%,16.26%,0.2805235602094241
泰和科技,1.97%,7.05%,0.2794146788990826
保立佳,6.52%,23.48%,0.2777350649350648
唐源电气,2.56%,9.28%,0.2759910112359555
世华科技,1.33%,4.83%,0.2753099999999994
潜能恒信,2.82%,10.28%,0.27432333333333375
中源家居,1.53%,5.59%,0.2738528089887639
仟源医药,7.68%,28.19%,0.2724141176470588
中旗新材,3.72%,13.69%,0.2717115987460817
四方新材,3.41%,12.58%,0.2710950000000002
三晖电气,1.22%,4.51%,0.2706436781609192
和顺科技,1.85%,6.86%,0.26979166666666643
迎丰股份,3.49%,13.01%,0.268352702702703
福莱蒽特,3.27%,12.24%,0.2671552123552124
创益通,3.15%,-11.93%,0.2640074257425743
