股票简称,5日净买入率总和,5日最新价涨跌幅,5日净买入率/涨跌幅
中百集团,1.87%,0.0%,inf
优彩资源,1.13%,-0.13%,8.926999999999396
双乐股份,1.12%,0.15%,7.317333333333924
梦网科技,3.29%,-0.47%,7.054699999999971
源飞宠物,1.52%,0.32%,4.757600000000101
天元股份,1.18%,0.36%,3.2833500000000706
国泰环保,1.36%,-0.49%,2.7539999999999627
保力新,5.55%,2.53%,2.1922499999999983
宏景科技,1.79%,-1.16%,1.5483500000000057
经纬股份,4.48%,2.91%,1.541512408759127
福莱新材,2.95%,1.92%,1.5389166666666723
新华都,1.47%,0.99%,1.4896000000000098
仁和药业,2.96%,2.75%,1.0754666666666683
广百股份,1.23%,1.29%,0.9539333333333349
五洲特纸,1.04%,1.17%,0.889777777777779
大湖股份,1.33%,1.57%,0.8458800000000031
君逸数码,6.49%,8.08%,0.8031612903225814
德迈仕,5.11%,-6.66%,0.7669223140495862
森麒麟,1.6%,2.68%,0.596727272727271
嘉益股份,1.0%,-1.73%,0.5779365079365122
华光新材,1.06%,-1.86%,0.5706810810810796
迎丰股份,1.81%,3.25%,0.556575000000002
宁波建工,2.0%,3.6%,0.5552941176470589
太和水,1.4%,2.57%,0.5448333333333342
炬申股份,1.28%,2.52%,0.50740512820513
祖名股份,1.38%,2.73%,0.5059292307692291
泰慕士,4.08%,8.83%,0.46182127659574523
欧亚集团,2.16%,4.96%,0.4354285714285709
智信精密,10.27%,-23.75%,0.4323797516714423
天海防务,2.08%,5.43%,0.38320000000000026
有研粉材,1.15%,-3.09%,0.37205882352941244
耐普矿机,1.16%,3.19%,0.36355764705882443
智洋创新,1.56%,4.41%,0.3535267605633798
华联股份,2.17%,6.21%,0.3491727272727277
普邦股份,2.7%,7.81%,0.3456000000000002
华西能源,2.21%,6.48%,0.34116875000000063
千味央厨,1.12%,3.3%,0.33893936651583584
四方新材,1.01%,3.11%,0.32446249999999965
中交地产,2.6%,8.05%,0.32304424778761043
普利制药,1.32%,4.1%,0.3221468354430383
建投能源,1.33%,4.14%,0.32157499999999967
苏州高新,1.15%,3.63%,0.3165526315789483
丛麟科技,1.47%,4.67%,0.3144623999999999
建研院,1.37%,4.46%,0.30700454545454453
力源科技,1.12%,3.7%,0.3023999999999995
辽港股份,1.15%,3.85%,0.29899999999999977
美邦服饰,2.69%,9.04%,0.29758125000000013
通力科技,5.04%,-17.04%,0.29582608695652163
重庆银行,1.01%,3.43%,0.29439629629629577
硕世生物,1.02%,3.55%,0.2876510869565223
深城交,2.3%,8.06%,0.28546099290780147
中国武夷,3.2%,11.84%,0.2703157894736843
华纬科技,1.22%,4.52%,0.2700598639455784
万里马,1.18%,4.39%,0.2687777777777782
宝利国际,2.4%,8.96%,0.26783999999999997
中科飞测,1.24%,4.64%,0.2673939024390243
新大洲A,1.48%,5.6%,0.264285714285714
亚虹医药,1.19%,4.51%,0.2639000000000001
平潭发展,1.7%,6.58%,0.2581875000000005
振东制药,1.04%,4.04%,0.25728695652173966
永泰能源,1.07%,4.23%,0.2532333333333331
维科精密,4.05%,16.21%,0.2497972027972029
标榜股份,1.96%,7.9%,0.24823826086956516
宝莱特,1.03%,4.16%,0.24781799999999998
达嘉维康,2.02%,8.3%,0.24333518518518518
国泰集团,1.19%,-4.93%,0.24154468085106437
纳川股份,1.39%,5.86%,0.23716874999999976
建科股份,2.3%,9.8%,0.23480444444444443
亚通股份,1.31%,5.64%,0.23222727272727267
力盛体育,1.27%,-5.53%,0.2295939130434785
中银绒业,2.21%,9.68%,0.22836666666666677
合肥城建,2.17%,9.77%,0.22208593749999977
三生国健,2.38%,10.73%,0.22172227979274617
南山控股,1.86%,8.8%,0.21142000000000014
中大力德,3.69%,-17.5%,0.2108729729729729
莱茵体育,1.19%,5.7%,0.20891111111111146
昆药集团,1.13%,5.52%,0.20465555555555512
尚荣医疗,1.21%,5.97%,0.20254347826086957
建研设计,1.78%,8.86%,0.20080625000000027
通业科技,1.43%,7.26%,0.19701148648648642
楚环科技,2.92%,-15.08%,0.1936421052631579
特一药业,1.4%,7.32%,0.1912499999999999
飞鹿股份,2.24%,11.94%,0.18768155339805837
巴安水务,1.7%,9.09%,0.187
申华控股,2.04%,11.11%,0.18359999999999987
金迪克,2.91%,15.87%,0.18336197802197815
华熙生物,1.02%,5.63%,0.1812246575342466
