股票简称,5日净买入率总和,5日最新价涨跌幅,5日净买入率/涨跌幅
众辰科技,1.02%,0.0%,inf
海天股份,1.57%,0.0%,inf
建科股份,4.35%,0.17%,25.349624999998287
福莱新材,4.43%,0.2%,22.282900000000474
中金辐照,1.14%,-0.06%,19.8245999999969
城建发展,2.02%,-0.13%,15.210599999998974
严牌股份,2.66%,0.28%,9.540533333333537
航材股份,3.51%,-0.75%,4.6511399999999705
节能铁汉,1.82%,0.4%,4.531800000000097
赛恩斯,2.26%,0.69%,3.2841368421052413
德石股份,2.58%,0.83%,3.10460000000003
华骐环保,3.22%,1.06%,3.0367076923076737
艾布鲁,4.54%,1.95%,2.3329741935483974
华新环保,8.57%,4.17%,2.0568
劲旅环境,3.67%,-1.79%,2.050413043478257
顺控发展,2.12%,-1.39%,1.5255166666666766
力源科技,1.24%,0.82%,1.5110285714285654
通用电梯,1.42%,0.94%,1.5092571428571562
神雾节能,1.17%,0.78%,1.5053999999999876
筑博设计,1.75%,-1.22%,1.4350000000000145
法尔胜,1.43%,-1.08%,1.3241800000000046
深水规院,4.0%,3.02%,1.322758620689651
通源环境,1.63%,-1.26%,1.2909600000000045
中持股份,1.06%,0.86%,1.234899999999999
兴源环境,2.41%,-2.01%,1.2015571428571379
伟测科技,1.35%,-1.15%,1.170784403669721
中科环保,4.7%,4.17%,1.1261199999999998
新动力,1.11%,1.0%,1.1136999999999906
天源环保,1.47%,1.33%,1.1088000000000096
舜禹股份,5.11%,-4.79%,1.0661476190476176
朗坤环境,5.76%,-5.4%,1.0660571428571415
新莱福,11.63%,11.85%,0.9815899613899616
金埔园林,2.04%,-2.13%,0.9580444444444459
乐通股份,1.43%,1.59%,0.900350000000007
安妮股份,2.96%,-3.42%,0.864524137931032
军信股份,3.03%,3.53%,0.8572810344827612
京源环保,1.38%,-1.65%,0.8357624999999992
苏州规划,10.15%,-12.76%,0.7957599999999999
蕾奥规划,3.7%,4.69%,0.7893333333333319
晶雪节能,3.61%,-4.85%,0.7449727272727286
大宏立,9.88%,-13.53%,0.7301790476190472
杭州园林,1.25%,-1.78%,0.7027027027027009
同兴环保,1.06%,-1.58%,0.6722451612903253
新潮能源,1.05%,1.57%,0.6667499999999995
果麦文化,1.25%,2.1%,0.5949404761904739
名雕股份,2.09%,-3.64%,0.5736382978723397
致尚科技,3.98%,-7.15%,0.556593908629441
标榜股份,3.61%,-6.71%,0.5380619047619045
*ST西发,7.53%,-14.44%,0.5213954545454546
蓝天燃气,2.25%,4.51%,0.49866279069767266
山水比德,7.16%,-14.85%,0.4822390920554855
招标股份,3.45%,7.33%,0.4705416666666667
普邦股份,1.34%,-2.91%,0.46006666666666635
新疆火炬,1.18%,2.59%,0.455097297297296
建研设计,1.3%,-2.87%,0.45303773584905865
港通医疗,13.51%,-30.33%,0.44541501706484643
中泰股份,1.61%,3.63%,0.4438999999999997
金富科技,2.02%,-4.56%,0.4430227272727278
威士顿,7.85%,-18.16%,0.43229895104895116
晶升股份,2.56%,-5.94%,0.4308528301886794
奥雅股份,1.04%,2.43%,0.4283914893617032
特发服务,2.47%,5.83%,0.42349011627906913
晓程科技,2.31%,5.49%,0.4211307692307696
卓创资讯,7.52%,18.06%,0.41632000000000013
玉禾田,1.1%,2.66%,0.41290243902439006
深圳瑞捷,6.79%,17.13%,0.3964735632183907
东方园林,4.5%,12.1%,0.37200000000000016
华丰科技,1.48%,-4.09%,0.3618164705882347
南大环境,3.77%,10.76%,0.35040542635658933
巴安水务,5.02%,14.43%,0.3478976744186046
迪森股份,1.7%,5.0%,0.34000000000000025
中环环保,1.71%,5.16%,0.3312514285714289
超捷股份,1.44%,-4.36%,0.32997966101694926
天马科技,1.17%,3.64%,0.3216473684210534
南华仪器,1.04%,-3.24%,0.32099459459459523
康为世纪,2.66%,8.33%,0.3191999999999999
天晟新材,7.27%,23.12%,0.31448876404494375
五芳斋,1.72%,5.5%,0.312845283018868
中建环能,1.87%,5.98%,0.31247096774193495
力盛体育,1.28%,-4.1%,0.31232
好当家,3.87%,12.4%,0.3120967741935483
贵州轮胎,1.14%,3.83%,0.29771538461538494
远兴能源,1.21%,4.07%,0.2973142857142855
宏昌科技,1.81%,-6.35%,0.2849697674418606
中兰环保,3.76%,13.82%,0.2719935483870967
深水海纳,1.79%,6.8%,0.2633184210526316
中岩大地,1.05%,-4.01%,0.2620500000000003
西部牧业,1.13%,4.31%,0.2620378378378384
锴威特,7.11%,-28.62%,0.24842868818961994
青云科技,1.35%,5.48%,0.2461358267716536
必得科技,2.21%,-9.37%,0.23583636363636368
博世科,1.08%,4.87%,0.22173750000000048
联特科技,1.68%,-7.68%,0.21886666666666663
豪恩汽电,3.64%,-16.94%,0.21487572254335258
协昌科技,4.61%,-21.91%,0.2104008200455581
吉视传媒,1.03%,5.21%,0.1977599999999998
指南针,1.33%,6.83%,0.19464806866952802
君逸数码,3.4%,-17.68%,0.19232891832229573
国联水产,7.01%,37.11%,0.188901052631579
联得装备,1.61%,8.54%,0.18857641025641037
晓鸣股份,1.54%,8.27%,0.1862903225806454
杰瑞股份,1.1%,5.99%,0.18351219512195113
中金公司,1.02%,5.68%,0.17951120689655173
津膜科技,2.47%,14.29%,0.17289999999999986
美芝股份,1.14%,-6.66%,0.17116056338028152
荣信文化,3.31%,19.62%,0.1686962356792144
天健集团,1.19%,7.67%,0.15519583333333317
华盛昌,1.59%,10.63%,0.14952870370370358
宿迁联盛,1.23%,-8.96%,0.1373023255813953
汇金科技,3.33%,24.41%,0.13639768211920525
品渥食品,1.12%,-8.6%,0.13019999999999995
诺思格,1.69%,13.08%,0.12918047690014903
清研环境,2.96%,23.31%,0.12696990476190476
三六五网,2.31%,19.05%,0.12127499999999998
捷强装备,2.23%,18.42%,0.1210809880239521
雄帝科技,1.44%,12.23%,0.11771009174311928
信宇人,2.61%,-22.34%,0.11681690140845068
赢合科技,2.04%,17.59%,0.11597777777777778
獐子岛,1.01%,8.87%,0.1138774999999999
光大同创,1.08%,-11.65%,0.09270466321243517
测绘股份,1.0%,11.49%,0.08705882352941181
太辰光,1.2%,-15.24%,0.07871596638655456
金科环境,2.32%,29.63%,0.0783
中电环保,3.91%,56.34%,0.06940250000000002
固高科技,2.02%,-31.71%,0.06371057513914657
泰慕士,1.28%,-23.8%,0.05379097909790977
