股票简称,1日净买入率总和,1日最新价涨跌幅,1日净买入率/涨跌幅
恒尚节能,9.02%,0.0%,inf
新炬网络,7.05%,0.0%,inf
中贝通信,5.72%,0.0%,inf
荣信文化,5.22%,0.0%,inf
新莱福,4.72%,0.0%,inf
朗坤环境,4.05%,0.0%,inf
碧兴物联,3.86%,0.0%,inf
天晟新材,3.85%,0.0%,inf
中科环保,3.09%,0.0%,inf
君逸数码,3.08%,0.0%,inf
超越科技,3.05%,0.0%,inf
艾布鲁,2.95%,0.0%,inf
蕾奥规划,2.87%,0.0%,inf
通力科技,2.71%,0.0%,inf
三六五网,2.62%,0.0%,inf
苏州规划,2.57%,0.0%,inf
创识科技,2.5%,0.0%,inf
锴威特,2.49%,0.0%,inf
华人健康,2.48%,0.0%,inf
波长光电,2.4%,0.0%,inf
港通医疗,2.38%,0.0%,inf
*ST西发,2.34%,0.0%,inf
巴安水务,2.19%,0.0%,inf
联得装备,2.17%,0.0%,inf
赢合科技,2.05%,0.0%,inf
御银股份,2.02%,0.0%,inf
天房发展,1.92%,0.0%,inf
清研环境,1.9%,0.0%,inf
山水比德,1.84%,0.0%,inf
金科股份,1.83%,0.0%,inf
新风光,1.78%,0.0%,inf
舜禹股份,1.75%,0.0%,inf
海伦哲,1.71%,0.0%,inf
晶雪节能,1.59%,0.0%,inf
美能能源,1.59%,0.0%,inf
好当家,1.49%,0.0%,inf
五芳斋,1.47%,0.0%,inf
国联水产,1.47%,0.0%,inf
联特科技,1.46%,0.0%,inf
远达环保,1.44%,0.0%,inf
中建环能,1.41%,0.0%,inf
华盛昌,1.4%,0.0%,inf
金科环境,1.4%,0.0%,inf
开开实业,1.31%,0.0%,inf
迪森股份,1.31%,0.0%,inf
金百泽,1.28%,0.0%,inf
优利德,1.28%,0.0%,inf
蒙草生态,1.18%,0.0%,inf
东方园林,1.17%,0.0%,inf
中金辐照,1.13%,0.0%,inf
特发服务,1.11%,0.0%,inf
万辰生物,1.09%,0.0%,inf
寿仙谷,1.09%,0.0%,inf
康为世纪,1.08%,0.0%,inf
三生国健,1.06%,0.0%,inf
晓鸣股份,1.06%,0.0%,inf
测绘股份,1.03%,0.0%,inf
国盛金控,1.02%,0.0%,inf
众辰科技,1.02%,0.0%,inf
