股票简称,10日净买入率总和,10日最新价涨跌幅,10日净买入率/涨跌幅
信达证券,4.36%,0.0%,inf
建科股份,2.56%,0.0%,inf
众辰科技,1.02%,0.0%,inf
朗坤环境,7.96%,-0.41%,19.590444444444476
金埔园林,4.46%,-0.24%,18.49413333333373
惠泰医疗,1.02%,0.16%,6.480875999999999
联泰环保,1.09%,0.17%,6.365600000000136
海天股份,1.47%,0.35%,4.243400000000091
福莱新材,4.19%,-1.18%,3.561499999999971
东方园林,2.28%,-0.71%,3.1919999999999966
大宏立,10.91%,-3.78%,2.8890784810126493
华新环保,7.9%,2.88%,2.7424285714285737
君逸数码,11.12%,-4.76%,2.334672985781991
港通医疗,10.97%,-4.81%,2.2811147058823487
晶雪节能,3.26%,-1.77%,1.8432971428571538
洪兴股份,2.32%,-1.27%,1.821752380952404
亚钾国际,1.48%,-0.86%,1.7137166666666774
航材股份,1.37%,0.83%,1.6409244897959112
威士顿,13.37%,9.27%,1.4425740853658533
劲旅环境,3.26%,2.31%,1.4109508771929904
特发服务,2.58%,-1.86%,1.390576271186441
太平洋,7.96%,-5.8%,1.3715692307692273
*ST西发,4.87%,3.99%,1.2207466666666635
神州数码,2.28%,1.89%,1.2075396226415067
聚杰微纤,1.49%,-1.35%,1.105083333333335
天晟新材,13.59%,12.59%,1.079507547169811
城建发展,1.84%,1.76%,1.0459692307692317
中科环保,3.69%,3.65%,1.0097181818181786
彩蝶实业,6.38%,-6.47%,0.9860927999999999
中岩大地,1.2%,1.39%,0.8629565217391287
金富科技,1.92%,-2.44%,0.7880347826087004
赛恩斯,1.45%,1.87%,0.7758921568627427
卓创资讯,7.61%,9.85%,0.7729769975786933
华骐环保,3.08%,4.21%,0.7324239999999999
新莱福,9.66%,13.19%,0.7321263157894743
拓山重工,3.79%,-5.46%,0.6944409937888202
晓鸣股份,1.26%,1.82%,0.6930000000000021
通源环境,3.27%,4.76%,0.6876211267605624
筑博设计,1.79%,2.61%,0.6850818181818179
军信股份,1.83%,2.85%,0.6432255319148952
艾布鲁,3.69%,5.87%,0.6289400000000012
智翔金泰,1.71%,-2.9%,0.5895225000000021
蓝天燃气,1.2%,-2.06%,0.5811428571428597
严牌股份,2.68%,4.66%,0.5756416666666684
蕾奥规划,4.91%,8.65%,0.5677187499999995
超捷股份,1.75%,-3.33%,0.5259831460674154
力源科技,1.25%,2.38%,0.525000000000002
神雾节能,1.32%,2.64%,0.5002799999999997
康为世纪,2.35%,5.41%,0.43474999999999986
汇隆新材,2.18%,-5.05%,0.4319441860465118
致尚科技,2.21%,-5.21%,0.4244615658362986
中持股份,1.25%,2.96%,0.4226851851851859
好当家,3.72%,8.91%,0.41728695652173914
沙河股份,1.06%,-2.64%,0.401081081081082
名雕股份,2.3%,-5.76%,0.3991710526315791
远翔新材,3.83%,-9.61%,0.39842112211221115
力盛体育,2.92%,-7.34%,0.3978762589928057
指南针,3.1%,-8.61%,0.3602507288629738
铜牛信息,3.36%,9.54%,0.3521538461538466
深圳瑞捷,6.27%,18.17%,0.3450213114754099
奥雅股份,1.27%,3.74%,0.33952517482517486
招标股份,2.36%,7.11%,0.3317485714285711
兴源环境,2.91%,8.92%,0.32633571428571456
豪恩汽电,5.45%,-16.79%,0.3246512052593134
华通线缆,2.17%,-6.86%,0.3163631578947367
天健集团,1.51%,4.82%,0.31320322580645105
宏源药业,3.22%,-10.52%,0.30594613180515806
宏昌科技,5.26%,-17.37%,0.3028694183864915
伟测科技,1.43%,-4.93%,0.2898035051546386
美芝股份,1.59%,-5.6%,0.28404406779661023
