股票简称,10日净买入率总和,10日最新价涨跌幅,10日净买入率/涨跌幅
江波龙,14.81%,7.51%,1.9717965116279044
楚环科技,11.96%,10.95%,1.0917826366559487
创益通,8.94%,24.45%,0.3656092009685231
圣泉集团,8.91%,15.11%,0.5898315789473688
经纬股份,8.9%,6.48%,1.3728327526132418
凯格精机,8.62%,45.05%,0.19133826865671638
涛涛车业,7.66%,11.58%,0.6615960072595283
赢合科技,7.64%,53.29%,0.14337191489361706
湖南裕能,6.59%,2.82%,2.337039024390237
佰维存储,6.2%,8.79%,0.7051330589849101
华曙高科,6.15%,23.37%,0.2631556662515567
德邦科技,5.76%,15.12%,0.3808639999999997
王力安防,5.69%,4.55%,1.2517999999999976
拓山重工,5.59%,0.69%,8.094852380952348
华新环保,5.44%,4.78%,1.1376280701754382
有研粉材,5.3%,13.94%,0.3803138075313806
耐科装备,4.9%,7.05%,0.6946666666666672
天力锂能,4.88%,15.33%,0.31831246200607916
科信技术,4.87%,13.02%,0.3739033057851236
满坤科技,4.71%,23.81%,0.19784679943100994
永悦科技,4.65%,27.17%,0.1711391752577319
朗坤环境,4.52%,5.62%,0.8042482758620687
南方精工,4.5%,-16.98%,0.264983606557377
精智达,4.5%,0.0%,inf
华工科技,4.43%,9.98%,0.44410750000000004
智能自控,4.38%,32.43%,0.13507267080745342
共创草坪,4.36%,9.66%,0.4512093023255817
金钟股份,4.3%,-2.6%,1.6525945945945901
安德利,4.26%,-2.89%,1.4741068965517194
晶合集成,4.15%,3.84%,1.0817666666666665
同星科技,4.11%,16.2%,0.25375463786531144
铂力特,4.04%,27.68%,0.14593413050905368
超捷股份,3.85%,-4.41%,0.8734160583941621
方正科技,3.81%,18.69%,0.20386842105263148
金太阳,3.74%,27.72%,0.13491703703703709
甬矽电子,3.61%,25.48%,0.14168279569892475
海光信息,3.57%,4.19%,0.8529837931034511
中荣股份,3.51%,6.3%,0.5571381355932205
光大同创,3.46%,12.91%,0.2681092621664051
逸豪新材,3.39%,10.84%,0.3127548387096775
*ST爱迪,3.39%,-6.49%,0.5220599999999996
飞荣达,3.37%,15.73%,0.21428649789029533
北京君正,3.36%,2.15%,1.5619692307692399
望变电气,3.32%,10.47%,0.3172079207920792
*ST日海,3.23%,-14.73%,0.2192484848484847
优彩资源,3.2%,10.64%,0.30063157894736814
冠中生态,3.16%,6.79%,0.4651029126213588
电连技术,3.08%,8.32%,0.3703672597864766
三利谱,3.08%,9.64%,0.31944272445820465
深科技,3.03%,6.62%,0.45796946564885554
福莱新材,3.02%,-1.89%,1.6016066666666628
鼎捷软件,2.97%,8.12%,0.3655639405204464
山大地纬,2.95%,7.33%,0.40250480769230734
倍杰特,2.89%,-2.75%,1.0506000000000004
芯朋微,2.82%,9.23%,0.30538071065989864
雅创电子,2.75%,-4.52%,0.6081976744186035
恒烁股份,2.74%,-3.27%,0.8387073170731731
茂莱光学,2.73%,13.31%,0.2051337349397589
联合化学,2.65%,4.21%,0.6291201923076929
星光农机,2.64%,9.71%,0.2719483870967742
一博科技,2.63%,16.77%,0.15685931445603593
一鸣食品,2.61%,-0.69%,3.804074999999997
岱勒新材,2.6%,4.69%,0.5542978723404247
普瑞眼科,2.56%,5.86%,0.4370676156583637
霍普股份,2.55%,3.79%,0.6730454545454533
百花医药,2.51%,9.17%,0.2736311475409839
贝肯能源,2.49%,2.5%,0.9948142857142903
招商南油,2.47%,10.27%,0.24041333333333315
金力泰,2.46%,15.72%,0.15652566371681417
元力股份,2.45%,-2.37%,1.0319878048780484
双乐股份,2.43%,3.81%,0.6371999999999979
大业股份,2.42%,7.29%,0.33180240963855423
四川黄金,2.36%,10.41%,0.2266765432098768
森鹰窗业,2.34%,5.44%,0.4297800000000001
斯瑞新材,2.33%,-2.54%,0.9188937500000043
准油股份,2.33%,7.01%,0.33214893617021296
协创数据,2.28%,-3.36%,0.678426666666665
梦网科技,2.28%,14.23%,0.16020962566844923
通达创智,2.24%,6.05%,0.36997086092715253
西上海,2.23%,-0.16%,13.83343333333281
震有科技,2.22%,-12.51%,0.17751328125000007
通源石油,2.21%,1.74%,1.273512499999999
森泰股份,2.21%,7.39%,0.29922060606060624
锦富技术,2.21%,12.27%,0.18006065573770477
翔宇医疗,2.2%,7.25%,0.3032809667673721
宏昌电子,2.2%,8.64%,0.2544999999999997
建霖家居,2.19%,7.14%,0.30660000000000004
彩虹股份,2.19%,23.77%,0.09211904761904763
大地海洋,2.18%,4.3%,0.5069897435897428
天亿马,2.18%,7.88%,0.2765067193675896
拉卡拉,2.16%,9.09%,0.23760000000000014
兆易创新,2.15%,3.46%,0.6210798429319361
小崧股份,2.14%,9.95%,0.2151567567567568
学大教育,2.12%,11.63%,0.18227774086378729
唯科科技,2.11%,7.25%,0.2911971544715454
腾景科技,2.1%,-5.7%,0.3686294820717125
华业香料,2.1%,1.67%,1.2578461538461523
上海艾录,2.09%,-6.74%,0.3099250000000001
伟时电子,2.09%,-1.69%,1.2385185185185206
泰慕士,2.08%,6.06%,0.3431999999999993
骏成科技,2.07%,10.01%,0.20677190082644611
索菱股份,2.06%,-2.24%,0.9190769230769238
胜宏科技,2.05%,13.74%,0.14917692307692307
严牌股份,2.04%,3.85%,0.5293538461538453
中自科技,2.02%,-26.24%,0.07697936651583709
远翔新材,2.02%,4.04%,0.49983255813953525
朝阳科技,1.98%,7.16%,0.2766342857142858
天晟新材,1.98%,9.11%,0.2172923076923079
福莱蒽特,1.95%,4.05%,0.4815473684210531
福立旺,1.95%,-10.09%,0.19335542168674688
宁波方正,1.94%,-3.42%,0.5671754716981138
锌业股份,1.93%,-4.53%,0.42573529411764716
中曼石油,1.91%,18.08%,0.10566217948717958
荣昌生物,1.9%,-5.54%,0.3427327823691458
东芯股份,1.89%,-2.33%,0.8107670454545431
清研环境,1.89%,5.7%,0.33160909090909146
真爱美家,1.89%,1.07%,1.764370588235295
普冉股份,1.85%,1.17%,1.5857142857142794
统联精密,1.83%,6.32%,0.2895791999999999
神农集团,1.82%,8.84%,0.2059473684210528
艾为电子,1.81%,6.24%,0.29011961722487994
杭华股份,1.81%,16.64%,0.10877238095238086
TCL科技,1.81%,10.28%,0.1761439024390243
史丹利,1.78%,3.75%,0.4751826086956513
众望布艺,1.78%,0.94%,1.8927333333333363
万得凯,1.77%,2.55%,0.6948514285714292
园林股份,1.76%,0.79%,2.2410666666666703
西力科技,1.75%,0.61%,2.8524999999999974
复旦微电,1.74%,2.65%,0.65656
粤宏远A,1.74%,10.76%,0.16177297297297288
南极光,1.73%,5.75%,0.3007404040404046
金达莱,1.72%,2.01%,0.8544516129032245
颀中科技,1.72%,10.18%,0.16890647482014398
天元股份,1.7%,3.53%,0.480921052631578
格林精密,1.68%,1.61%,1.040399999999996
全志科技,1.68%,9.44%,0.17788615384615403
世纪恒通,1.68%,5.09%,0.3302526315789475
野马电池,1.67%,4.36%,0.383438613861387
晶晨股份,1.67%,9.0%,0.18551521739130455
红墙股份,1.67%,2.95%,0.5651906249999995
天孚通信,1.67%,3.32%,0.5032396501457717
建科股份,1.65%,0.61%,2.7177857142857036
智迪科技,1.64%,-13.05%,0.12563686274509803
佳发教育,1.64%,-11.4%,0.14380860215053765
模塑科技,1.62%,1.89%,0.8585999999999975
国力股份,1.61%,10.3%,0.15626153846153862
仁智股份,1.61%,2.14%,0.7506624999999993
胜蓝股份,1.61%,-2.63%,0.613212280701754
沪电股份,1.61%,7.23%,0.22257030303030267
贵州轮胎,1.61%,20.42%,0.07884871794871795
华光新材,1.59%,-2.74%,0.5809178571428548
