日期,股票简称,最新价,涨跌幅,换手率,流入资金(亿元),流出资金(亿元),净额(亿元),净买入率,成交额(亿元),涨速(%),量比,振幅(%),流通股,流通市值(亿),市盈率,流通市值
2023-08-01,三江购物,13.87,-6.03%,6.19%,1.88,2.89,-1.01,-1.33%,4.78,0.07,0.85,4.34,548000000.0,,43.94,7595999999.999998
2023-07-31,三江购物,14.76,7.27%,8.53%,3.57,3.09,0.48,0.59%,6.66,-0.07,1.21,10.46,548000000.0,,46.76,8084000000.0
2023-07-28,三江购物,13.76,2.92%,6.34%,2.48,2.28,0.2,0.27%,4.76,0.0,0.78,5.83,548000000.0,,43.59,7536000000.0
2023-07-27,三江购物,13.37,-5.18%,6.87%,2.16,2.91,-0.75,-1.02%,5.07,0.0,0.79,5.89,548000000.0,,42.35,7322000000.0
2023-07-26,三江购物,14.1,6.82%,9.29%,3.37,3.53,-0.16,-0.21%,6.9,0.0,1.11,13.26,548000000.0,,44.67,7722000000.0
2023-07-24,三江购物,13.36,-2.69%,7.59%,2.82,2.77,0.05,0.07%,5.6,0.0,1.03,5.54,548000000.0,,42.32,7317000000.0
2023-07-21,三江购物,13.73,-4.59%,11.39%,4.28,4.78,-0.5,-0.66%,9.06,-0.07,1.98,10.63,548000000.0,,43.49,7520000000.0
2023-07-20,三江购物,14.39,10.02%,9.83%,4.24,3.2,1.04,1.32%,7.48,0.0,2.24,8.18,548000000.0,,37.39,7881000000.0
2023-07-19,三江购物,13.29,1.61%,6.78%,2.5,2.52,-0.02,-0.03%,5.03,0.08,2.02,12.08,548000000.0,,33.99,7164000000.0
2023-07-19,三江购物,13.08,0.00%,7.74%,2.83,2.89,-0.06,-0.08%,5.72,0.08,2.02,12.08,548000000.0,,33.99,7164000000.0
2023-07-17,三江购物,12.46,0.16%,1.94%,0.617056,0.691612,-0.07455599999999993,-0.11%,1.31,0.08,0.37,2.65,548000000.0,,32.38,6823999999.999999
2023-07-14,三江购物,12.44,-0.16%,3.09%,0.9402719999999999,1.13,-0.189728,-0.28%,2.11,-0.08,0.58,4.17,548000000.0,,32.33,6813000000.0
2023-07-13,三江购物,12.46,0.32%,3.08%,0.956395,1.14,-0.183605,-0.27%,2.1,-0.16,0.6,3.14,548000000.0,,32.38,6823999999.999999
2023-07-12,三江购物,12.42,-2.28%,4.96%,1.53,1.91,-0.38,-0.56%,3.44,-0.32,1.1,4.41,548000000.0,,32.27,6802000000.0
2023-07-11,三江购物,12.71,-2.16%,5.41%,1.69,2.08,-0.39,-0.56%,3.77,0.08,1.37,2.77,548000000.0,,33.03,6961000000.0
2023-07-10,三江购物,12.99,2.04%,9.35%,3.36,3.38,-0.02,-0.03%,6.74,0.0,3.35,9.11,548000000.0,,33.76,7114000000.0
2023-07-07,三江购物,12.73,10.03%,4.81%,1.72,1.56,0.16,0.23%,3.28,0.0,2.23,8.9,548000000.0,,33.08,6972000000.0
2023-07-06,三江购物,11.57,0.09%,1.29%,0.357086,0.4605439999999999,-0.10345799999999993,-0.16%,0.81763,0.0,0.55,1.64,548000000.0,63.37,30.07,
2023-07-05,三江购物,11.56,-3.02%,1.61%,0.318836,0.7103109999999999,-0.391475,-0.62%,1.03,0.0,0.67,2.52,548000000.0,63.31,30.04,
2023-07-04,三江购物,11.92,1.02%,2.75%,0.8720479999999999,0.909879,-0.037831,-0.06%,1.78,0.0,1.14,2.54,548000000.0,65.28,30.98,
2023-07-03,三江购物,11.8,3.60%,3.51%,1.14,1.1,0.04,0.06%,2.24,0.09,1.5,4.83,548000000.0,64.63,30.66,
2023-06-30,三江购物,11.39,0.44%,1.61%,0.469692,0.53667,-0.066978,-0.11%,1.01,0.09,0.58,1.68,548000000.0,62.38,29.6,
2023-06-29,三江购物,11.34,-2.66%,2.26%,0.5832350000000001,0.826327,-0.243092,-0.39%,1.41,0.0,0.72,3.0,548000000.0,62.11,29.47,
2023-06-28,三江购物,11.65,-1.10%,1.90%,0.528443,0.679838,-0.151395,-0.24%,1.21,0.26,0.5,2.63,548000000.0,63.8,30.27,
2023-06-27,三江购物,11.78,3.06%,2.78%,1.06,0.7311340000000001,0.328866,0.51%,1.79,0.0,0.58,4.72,548000000.0,64.52,30.61,
2023-06-26,三江购物,11.43,-4.11%,3.10%,0.919253,1.05,-0.130747,-0.21%,1.97,0.18,0.47,6.46,548000000.0,62.6,29.7,
