日期,股票简称,最新价,涨跌幅,换手率,流入资金(亿元),流出资金(亿元),净额(亿元),净买入率,成交额(亿元),涨速(%),量比,振幅(%),流通股,流通市值(亿),市盈率,流通市值
2023-07-19,瑞丰高材,9.82,-0.41%,0.98%,0.087298,0.094357,-0.007059,-0.04%,0.182894,0.0,0.58,1.12,189000000.0,,32.69,1855000000.0
2023-07-17,瑞丰高材,9.74,0.10%,1.33%,0.119065,0.118656,0.00040899999999999997,0.00%,0.244131,0.1,0.48,2.47,189000000.0,,32.46,1841000000.0
2023-07-14,瑞丰高材,9.72,0.41%,1.68%,0.15696500000000002,0.152526,0.004439,0.02%,0.310667,-0.21,0.45,2.07,189000000.0,,32.39,1838000000.0
2023-07-13,瑞丰高材,9.68,-0.41%,2.04%,0.166277,0.208313,-0.042036000000000004,-0.23%,0.37459000000000003,-0.1,0.34,2.06,189000000.0,,32.22,1828000000.0
2023-07-12,瑞丰高材,9.72,-0.72%,2.46%,0.204717,0.247432,-0.042715,-0.23%,0.452149,0.1,0.33,2.04,189000000.0,,32.36,1836000000.0
2023-07-11,瑞丰高材,9.77,1.98%,3.25%,0.277775,0.31664200000000003,-0.038867,-0.21%,0.597427,0.21,0.46,2.5,189000000.0,,32.59,1849000000.0
2023-07-10,瑞丰高材,9.58,-2.44%,4.99%,0.39218600000000003,0.514789,-0.122603,-0.68%,0.906976,-0.1,0.74,3.46,189000000.0,,31.89,1809000000.0
2023-07-07,瑞丰高材,9.82,-4.29%,7.79%,0.632563,0.824725,-0.192162,-1.04%,1.46,0.0,1.44,5.07,189000000.0,,32.69,1855000000.0
2023-07-06,瑞丰高材,10.26,6.21%,11.44%,1.09,1.09,0.0,0.00%,2.18,0.29,3.38,9.11,189000000.0,19.38,34.15,
2023-07-05,瑞丰高材,9.66,6.39%,9.45%,0.891677,0.833886,0.057791,0.32%,1.73,0.0,5.49,8.37,189000000.0,18.24,32.16,
2023-07-04,瑞丰高材,9.08,0.11%,1.86%,0.173295,0.146699,0.026595999999999998,0.16%,0.319994,0.0,1.14,2.54,189000000.0,17.15,30.23,
2023-07-03,瑞丰高材,9.07,3.07%,3.26%,0.304097,0.25000100000000003,0.05409599999999997,0.32%,0.554135,0.11,2.94,4.21,189000000.0,17.13,30.19,
2023-06-30,瑞丰高材,8.8,0.69%,1.14%,0.108856,0.081131,0.02772500000000001,0.17%,0.189996,0.0,1.12,1.37,189000000.0,16.62,29.29,
2023-06-29,瑞丰高材,8.74,1.39%,1.21%,0.120029,0.07903500000000001,0.040994,0.25%,0.199064,0.23,1.35,2.2,189000000.0,16.51,29.09,
2023-06-28,瑞丰高材,8.62,0.12%,1.13%,0.08870800000000001,0.093944,-0.005236,-0.03%,0.182652,0.0,1.43,3.25,189000000.0,16.28,28.69,
2023-06-27,瑞丰高材,8.61,3.36%,1.44%,0.14881099999999994,0.08412,0.06469099999999997,0.40%,0.232931,0.23,2.22,3.84,189000000.0,16.26,28.66,
2023-06-26,瑞丰高材,8.32,-1.42%,0.58%,0.031819,0.058991999999999996,-0.027173000000000003,-0.17%,0.09238400000000001,0.0,0.99,2.61,189000000.0,15.73,27.73,
