日期,股票简称,最新价,涨跌幅,换手率,流入资金(亿元),流出资金(亿元),净额(亿元),净买入率,成交额(亿元),涨速(%),量比,振幅(%),流通股,流通市值,市盈率
2023-09-06,广钢气体,13.68,12.78%,26.29%,4.73,3.59,1.1400000000000006,3.43%,8.33,0.15,1.33,17.15,243000000.00000003,3327000000.0000005,56.91
2023-09-04,广钢气体,12.4,-0.80%,11.95%,1.63,1.97,-0.34,-1.13%,3.6,0.16,0.51,4.24,243000000.00000003,3016000000.0,51.58
2023-08-31,广钢气体,13.16,7.08%,27.05%,5.07,3.37,1.7,5.31%,8.44,0.0,1.37,9.11,243000000.00000003,3201000000.0,54.74
2023-08-29,广钢气体,11.71,13.69%,25.83%,4.28,2.7,1.58,5.55%,6.98,0.26,1.55,15.05,243000000.00000003,2848000000.0,48.71
2023-08-28,广钢气体,10.3,0.68%,18.14%,2.15,2.6,-0.45,-1.80%,4.75,-0.1,1.03,8.8,243000000.00000003,2505000000.0,42.84
2023-08-25,广钢气体,10.23,-4.39%,12.79%,1.41,1.84,-0.43,-1.73%,3.24,-0.1,0.55,4.49,243000000.00000003,2488000000.0,42.55
2023-08-24,广钢气体,10.7,-2.90%,14.48%,1.76,2.02,-0.26,-1.00%,3.83,0.0,0.57,4.26,243000000.00000003,2602000000.0,44.51
2023-08-23,广钢气体,11.02,-3.67%,15.32%,1.69,2.51,-0.82,-3.06%,4.2,0.09,0.5,5.33,243000000.00000003,2680000000.0,45.84
2023-08-21,广钢气体,12.13,-4.86%,23.12%,2.97,3.91,-0.94,-3.19%,6.88,-0.25,0.5,5.02,243000000.00000003,2950000000.0,50.46
2023-08-18,广钢气体,12.75,7.32%,40.84%,7.12,5.69,1.43,4.61%,12.81,-0.16,0.84,8.84,243000000.00000003,3101000000.0,53.04
2023-08-15,广钢气体,13.18,33.54%,74.41%,12.62,13.54,-0.92,-2.88%,26.29,0.0,--,47.62,243000000.00000003,3198000000.0,54.7
