日期,股票简称,最新价,涨跌幅,换手率,流入资金(亿元),流出资金(亿元),净额(亿元),净买入率,成交额(亿元),涨速(%),量比,振幅(%),流通股,流通市值(亿),市盈率,流通市值
2023-07-28,ST天圣,5.31,0.76%,0.29%,0.017927,0.015066,0.002861,0.03%,0.032993,0.19,0.74,0.95,215000000.0,,亏损,1141000000.0
2023-07-27,ST天圣,5.27,-0.38%,0.29%,0.007855,0.025103999999999998,-0.017249,-0.15%,0.032958999999999995,0.19,0.78,1.13,215000000.0,,亏损,1132000000.0
2023-07-26,ST天圣,5.29,-0.75%,0.54%,0.023329,0.038593,-0.015263999999999996,-0.13%,0.06192200000000001,-0.19,1.77,1.69,215000000.0,,亏损,1137000000.0
2023-07-24,ST天圣,5.29,0.76%,0.41%,0.030192,0.01618,0.014012,0.12%,0.046372000000000003,0.0,1.28,2.29,215000000.0,,亏损,1137000000.0
2023-07-21,ST天圣,5.25,-0.38%,0.34%,0.015884,0.023018,-0.0071340000000000015,-0.06%,0.038901,0.19,0.68,0.95,215000000.0,,亏损,1128000000.0
2023-07-20,ST天圣,5.26,-0.57%,0.18%,0.004635,0.015212999999999999,-0.010578,-0.09%,0.020659,0.19,0.37,1.13,215000000.0,,亏损,1132000000.0
2023-07-19,ST天圣,5.3,0.19%,0.15%,0.009024,0.008549,0.000475,0.00%,0.017623,0.0,0.36,0.57,215000000.0,,亏损,1137000000.0
2023-07-17,ST天圣,5.27,-1.13%,0.53%,0.025731,0.03273,-0.006998999999999999,-0.06%,0.061502,0.19,1.2,1.69,215000000.0,,亏损,1134000000.0
2023-07-14,ST天圣,5.37,4.07%,1.23%,0.09337,0.045473,0.047897,0.42%,0.139874,0.0,4.95,5.04,215000000.0,,亏损,1145000000.0
2023-07-13,ST天圣,5.16,0.78%,0.38%,0.023269,0.018597,0.004672,0.04%,0.04186600000000002,0.0,1.71,1.17,215000000.0,,亏损,1109000000.0
2023-07-11,ST天圣,5.14,0.00%,0.27%,0.011167,0.018272999999999998,-0.007106,-0.06%,0.029470999999999997,0.2,1.21,0.39,215000000.0,,亏损,1106000000.0
2023-07-10,ST天圣,5.14,-0.19%,0.24%,0.007188,0.01882,-0.011632,-0.11%,0.026007,0.0,0.92,0.58,215000000.0,,亏损,1104000000.0
2023-07-07,ST天圣,5.15,0.19%,0.20%,0.006792,0.015316999999999997,-0.008524999999999998,-0.08%,0.022109,0.0,0.61,0.39,215000000.0,,亏损,1106000000.0
2023-07-06,ST天圣,5.14,-0.19%,0.19%,0.006928,0.014224,-0.007295999999999999,-0.07%,0.021152,0.0,0.45,0.58,215000000.0,11.04,亏损,
2023-07-05,ST天圣,5.15,-0.19%,0.29%,0.014134,0.018442,-0.004308,-0.04%,0.032576,0.0,0.7,0.78,215000000.0,11.06,亏损,
2023-07-04,ST天圣,5.16,0.39%,0.20%,0.007839,0.014132,-0.006293,-0.06%,0.021971,0.0,0.43,0.58,215000000.0,11.09,亏损,
2023-07-03,ST天圣,5.14,0.00%,0.39%,0.018673,0.024404,-0.005731,-0.05%,0.043077,-0.19,0.79,0.78,215000000.0,11.04,亏损,
2023-06-30,ST天圣,5.14,0.59%,0.57%,0.035242,0.02792,0.007321999999999999,0.07%,0.063162,0.2,1.28,1.17,215000000.0,11.04,亏损,
2023-06-29,ST天圣,5.11,0.99%,0.67%,0.041556,0.031559,0.009997000000000004,0.09%,0.073116,0.0,1.63,1.38,215000000.0,10.98,亏损,
2023-06-28,ST天圣,5.06,-0.39%,0.27%,0.007537,0.021944,-0.014407,-0.13%,0.029482,0.0,0.64,1.18,215000000.0,10.87,亏损,
2023-06-27,ST天圣,5.08,1.80%,0.42%,0.024735,0.021249,0.003486,0.03%,0.045984,0.2,0.92,1.8,215000000.0,10.91,亏损,
2023-06-26,ST天圣,4.98,-1.39%,0.52%,0.022596,0.032788,-0.010192,-0.10%,0.055778,0.4,1.23,1.78,215000000.0,10.72,亏损,
