日期,股票简称,最新价,涨跌幅,换手率,流入资金(亿元),流出资金(亿元),净额(亿元),净买入率,成交额(亿元),涨速(%),量比,振幅(%),流通股,流通市值(亿),市盈率,流通市值
2023-07-14,通裕重工,2.67,-1.48%,0.81%,0.231511,0.574178,-0.342667,-0.35%,0.805689,0.38,0.85,1.84,3705000000.0,,30.23,9893000000.0
2023-07-13,通裕重工,2.71,1.50%,0.94%,0.538447,0.405685,0.132762,0.13%,0.944132,0.0,0.97,1.5,3705000000.0,,30.69,10041000000.0
2023-07-12,通裕重工,2.67,-1.11%,0.76%,0.287644,0.4668600000000001,-0.179216,-0.18%,0.754504,0.0,0.77,1.85,3705000000.0,,30.23,9893000000.0
2023-07-11,通裕重工,2.71,1.12%,1.06%,0.7010350000000001,0.354042,0.346993,0.35%,1.06,-0.37,1.06,1.87,3705000000.0,,30.57,10004000000.0
2023-07-10,通裕重工,2.68,0.75%,0.98%,0.527572,0.44172100000000003,0.085851,0.09%,0.9692959999999999,0.0,0.94,1.5,3705000000.0,,30.35,9930000000.0
2023-07-07,通裕重工,2.66,-1.12%,1.00%,0.439907,0.548134,-0.108227,-0.11%,0.9880559999999999,-0.38,0.93,1.49,3705000000.0,,30.12,9856000000.0
2023-07-06,通裕重工,2.69,-0.74%,1.06%,0.4387180000000001,0.6220829999999999,-0.183365,-0.18%,1.06,-0.37,0.96,1.11,3705000000.0,99.67,30.46,
2023-07-05,通裕重工,2.71,-1.09%,0.80%,0.260936,0.541367,-0.280431,-0.28%,0.802772,0.0,0.65,2.19,3705000000.0,100.41,30.69,
2023-07-04,通裕重工,2.74,-0.72%,1.25%,0.513992,0.753373,-0.23938099999999998,-0.24%,1.27,0.0,0.91,2.17,3705000000.0,101.52,31.03,
2023-07-03,通裕重工,2.76,-1.08%,1.10%,0.423018,0.704817,-0.281799,-0.28%,1.13,0.0,0.72,2.51,3705000000.0,102.26,31.25,
2023-06-30,通裕重工,2.79,1.09%,1.20%,0.653144,0.582133,0.07101099999999992,0.07%,1.24,0.0,0.62,1.45,3705000000.0,103.37,31.59,
2023-06-29,通裕重工,2.76,-0.72%,1.21%,0.562483,0.674847,-0.112364,-0.11%,1.24,0.0,0.58,1.8,3705000000.0,102.26,31.25,
2023-06-28,通裕重工,2.78,-0.36%,1.40%,0.638699,0.7881640000000001,-0.14946500000000001,-0.15%,1.43,0.36,0.59,2.15,3705000000.0,103.0,31.48,
2023-06-27,通裕重工,2.79,2.95%,1.94%,1.22,0.772702,0.447298,0.43%,2.0,0.0,0.9,3.32,3705000000.0,103.37,31.59,
2023-06-26,通裕重工,2.72,-2.16%,1.78%,0.791622,0.9927299999999999,-0.20110799999999998,-0.20%,1.81,0.0,1.0,3.6,3705000000.0,100.41,30.69,
