日期,股票简称,最新价,涨跌幅,换手率,流入资金(亿元),流出资金(亿元),净额(亿元),净买入率,成交额(亿元),涨速(%),量比,振幅(%),流通股,流通市值(亿),市盈率
2023-07-06,亚普股份,15.68,0.97%,0.79%,0.35200000000000004,0.27972600000000003,0.07227399999999996,0.09%,0.631726,-0.06,0.91,2.7,511000000.00000006,80.18000000000002,15.96
2023-07-05,亚普股份,15.53,-1.08%,0.57%,0.240613,0.217249,0.023364,0.03%,0.457861,0.13,0.62,1.53,511000000.00000006,79.41,15.81
2023-07-04,亚普股份,15.7,1.62%,0.97%,0.40263000000000004,0.37967399999999996,0.022956,0.03%,0.782305,0.06,1.03,3.11,511000000.00000006,80.28,15.98
2023-07-03,亚普股份,15.45,-1.47%,0.95%,0.389542,0.371806,0.017736000000000002,0.02%,0.7613479999999999,-0.07,0.95,2.87,511000000.00000006,79.0,15.73
2023-06-30,亚普股份,15.68,1.29%,0.83%,0.348482,0.314096,0.034386,0.04%,0.662578,0.13,0.78,2.13,511000000.00000006,80.18000000000002,15.96
2023-06-29,亚普股份,15.48,0.52%,1.02%,0.4306520000000001,0.378344,0.052308000000000084,0.07%,0.808996,0.0,1.01,1.82,511000000.00000006,79.15000000000002,15.76
2023-06-28,亚普股份,15.9,1.02%,0.84%,0.326673,0.35081999999999997,-0.024147,-0.03%,0.677493,0.06,0.82,1.84,511000000.00000006,81.3,16.19
2023-06-27,亚普股份,15.74,1.88%,1.09%,0.493715,0.380667,0.113048,0.14%,0.874383,-0.06,1.14,3.5,511000000.00000006,80.48,16.02
2023-06-26,亚普股份,15.45,-1.02%,1.23%,0.4765560000000001,0.508259,-0.031702999999999926,-0.04%,0.984814,0.0,1.32,3.84,511000000.00000006,79.0,15.73
