日期,股票简称,最新价,涨跌幅,换手率,流入资金(亿元),流出资金(亿元),净额(亿元),净买入率,成交额(亿元),涨速(%),量比,振幅(%),流通股,流通市值(亿),市盈率,流通市值
2023-07-07,吉华集团,4.28,-0.47%,0.18%,0.027686,0.02687,0.000816,0.00%,0.054555,-0.23,0.59,0.7,700000000.0,,亏损,2996000000.0
2023-07-06,吉华集团,4.3,-0.23%,0.25%,0.043212,0.030781,0.012431,0.04%,0.07399299999999999,0.23,0.83,0.93,700000000.0,30.1,亏损,
2023-07-05,吉华集团,4.31,0.00%,0.21%,0.030032999999999997,0.032618,-0.002585,-0.01%,0.062651,0.0,0.63,0.7,700000000.0,30.17,亏损,
2023-07-04,吉华集团,4.31,0.00%,0.20%,0.030436,0.029688,0.0007480000000000001,0.00%,0.060123,0.0,0.55,0.7,700000000.0,30.17,亏损,
2023-07-03,吉华集团,4.31,0.94%,0.46%,0.082251,0.05540700000000001,0.02684399999999999,0.09%,0.137659,0.0,1.28,1.17,700000000.0,30.17,亏损,
2023-06-30,吉华集团,4.27,0.47%,0.43%,0.065807,0.06361,0.0021970000000000093,0.01%,0.129417,0.0,1.25,1.18,700000000.0,29.89,亏损,
2023-06-29,吉华集团,4.25,0.00%,0.19%,0.02777,0.027745999999999996,2.4e-05,0.00%,0.055515999999999996,0.0,0.51,0.94,700000000.0,29.75,亏损,
2023-06-28,吉华集团,4.25,0.24%,0.38%,0.061236,0.052767,0.008468999999999999,0.03%,0.114003,0.47,1.07,1.65,700000000.0,29.75,亏损,
2023-06-27,吉华集团,4.24,0.95%,0.36%,0.063496,0.043835,0.019661,0.07%,0.107331,0.0,1.07,2.14,700000000.0,29.68,亏损,
2023-06-26,吉华集团,4.2,0.00%,0.43%,0.061354,0.063452,-0.002098,-0.01%,0.124806,0.0,1.42,1.67,700000000.0,29.4,亏损,
