日期,股票简称,最新价,涨跌幅,换手率,流入资金(亿元),流出资金(亿元),净额(亿元),净买入率,成交额(亿元),涨速(%),量比,振幅(%),流通股,流通市值(亿),市盈率,流通市值
2023-07-28,天元股份,11.25,0.72%,1.91%,0.10382,0.092291,0.011529,0.11%,0.196112,0.18,0.89,2.15,91774300.0,,72.04,1032000000.0
2023-07-27,天元股份,11.17,-2.10%,2.48%,0.103978,0.152426,-0.048448000000000005,-0.47%,0.256404,0.0,1.19,2.63,91774300.0,,71.53,1025000000.0
2023-07-26,天元股份,11.41,1.42%,2.87%,0.184652,0.114854,0.069798,0.67%,0.299505,0.09,1.47,2.31,91774300.0,,73.06,1047000000.0
2023-07-24,天元股份,11.13,0.36%,1.74%,0.105697,0.072154,0.033543,0.33%,0.177852,0.09,0.85,1.89,91774300.0,,71.27,1021000000.0
2023-07-21,天元股份,11.09,0.09%,1.58%,0.086313,0.074637,0.011676,0.11%,0.161294,0.09,0.65,1.99,91774300.0,,71.01,1018000000.0
2023-07-19,天元股份,11.13,1.27%,2.05%,0.12948900000000002,0.074246,0.05524300000000002,0.54%,0.208548,0.09,1.0,2.37,91774300.0,,71.33,1022000000.0
2023-07-17,天元股份,10.98,0.55%,2.38%,0.123001,0.111649,0.011352,0.11%,0.238293,0.09,1.17,2.11,91774300.0,,70.37,1009000000.0
2023-07-14,天元股份,10.92,0.83%,3.39%,0.16516099999999995,0.173492,-0.008331000000000019,-0.08%,0.341514,0.09,1.88,2.22,91774300.0,,69.92,1002000000.0
2023-07-13,天元股份,10.83,0.74%,1.61%,0.083455,0.075642,0.007812999999999999,0.08%,0.15909700000000002,0.19,0.82,1.4,91526400.0,,69.39,991000000.0
2023-07-12,天元股份,10.76,-0.37%,1.54%,0.086464,0.064649,0.021815,0.22%,0.152027,-0.09,0.7,1.48,91526400.0,,68.88,984000000.0
2023-07-11,天元股份,10.79,0.19%,1.53%,0.076593,0.073219,0.0033739999999999807,0.03%,0.15024300000000002,0.28,0.63,1.39,91526400.0,,69.2,988000000.0
2023-07-10,天元股份,10.77,-1.19%,2.36%,0.102672,0.129196,-0.026524,-0.27%,0.231868,0.19,0.89,2.66,91526400.0,,69.01,986000000.0
2023-07-07,天元股份,10.9,0.93%,2.41%,0.14979,0.08975,0.06004,0.60%,0.239541,0.0,0.91,1.39,91526400.0,,69.84,998000000.0
2023-07-06,天元股份,10.8,0.47%,1.93%,0.110199,0.08054700000000001,0.029652,0.30%,0.190746,0.09,0.69,1.86,91526400.0,9.88,69.2,
2023-07-05,天元股份,10.75,-1.29%,2.77%,0.145758,0.128634,0.017124,0.17%,0.274392,0.28,1.01,2.48,91526400.0,9.84,68.88,
2023-07-04,天元股份,10.89,1.87%,2.88%,0.16528900000000002,0.121455,0.04383400000000002,0.44%,0.286744,0.0,1.08,2.71,91526400.0,9.97,69.78,
2023-07-03,天元股份,10.69,1.04%,3.29%,0.167175,0.154896,0.012279,0.13%,0.32207199999999997,-0.37,1.35,2.65,91526400.0,9.78,68.5,
2023-06-30,天元股份,10.58,1.34%,2.39%,0.14553699999999994,0.08529500000000001,0.060241999999999976,0.62%,0.230832,0.1,1.11,2.01,91526400.0,9.68,67.79,
2023-06-29,天元股份,10.44,2.65%,2.74%,0.166769,0.086656,0.080113,0.84%,0.260274,0.19,1.35,2.56,91526400.0,9.56,66.89,
2023-06-28,天元股份,10.17,0.69%,2.47%,0.139579,0.089701,0.049878,0.54%,0.22928,-0.29,1.24,2.57,91526400.0,9.31,65.16,
2023-06-27,天元股份,10.1,4.55%,2.49%,0.14328900000000006,0.085656,0.05763300000000001,0.62%,0.22894499999999998,0.1,1.36,4.87,91526400.0,9.24,64.72,
2023-06-26,天元股份,9.67,-0.51%,1.89%,0.070772,0.096515,-0.025743,-0.29%,0.168446,0.21,1.12,2.88,91526400.0,8.84,61.9,
