日期,股票简称,最新价,涨跌幅,换手率,流入资金(亿元),流出资金(亿元),净额(亿元),净买入率,成交额(亿元),涨速(%),量比,振幅(%),流通股,流通市值(亿),市盈率,流通市值
2023-09-06,拉芳家化,15.31,-0.39%,0.97%,0.13016300000000003,0.204772,-0.07460899999999998,-0.22%,0.334935,0.07,0.38,1.37,225000000.0,,31.70,3447999999.9999995
2023-09-04,拉芳家化,15.56,-0.51%,1.62%,0.22727199999999997,0.337011,-0.109739,-0.31%,0.564284,0.06,0.38,1.47,225000000.0,,32.22,3504000000.0
2023-08-31,拉芳家化,15.53,-3.84%,3.43%,0.46119399999999994,0.748065,-0.2868710000000001,-0.82%,1.21,0.0,0.67,4.09,225000000.0,,32.16,3497000000.0
2023-08-29,拉芳家化,16.92,0.53%,4.88%,0.797168,1.03,-0.232832,-0.61%,1.83,-0.06,1.19,4.04,225000000.0,,35.03,3810000000.0
2023-08-28,拉芳家化,16.83,2.43%,6.81%,1.21,1.36,-0.15,-0.40%,2.57,0.0,2.33,8.22,225000000.0,,26.04,3790000000.0
2023-08-25,拉芳家化,16.43,3.20%,6.52%,1.22,1.19,0.03,0.08%,2.42,0.0,3.64,5.84,225000000.0,,25.42,3700000000.0
2023-08-24,拉芳家化,15.93,2.64%,2.92%,0.559541,0.46567,0.093871,0.26%,1.03,-0.06,2.08,5.93,225000000.0,,24.64,3585000000.0
2023-08-23,拉芳家化,15.52,1.70%,2.74%,0.44493599999999994,0.522308,-0.077372,-0.22%,0.9672440000000001,0.0,2.31,8.52,225000000.0,,24.02,3495000000.0000005
2023-08-21,拉芳家化,15.7,0.00%,0.91%,0.179836,0.143534,0.036302,0.10%,0.323371,0.0,0.72,2.48,225000000.0,,24.29,3536000000.0
2023-08-18,拉芳家化,15.7,-0.76%,0.88%,0.164349,0.14888099999999999,0.015468,0.04%,0.31323,0.0,0.69,1.77,225000000.0,,24.29,3536000000.0
2023-08-16,拉芳家化,15.64,-1.08%,1.57%,0.28086700000000003,0.278837,0.00203,0.01%,0.559704,-0.26,1.44,3.67,225000000.0,,24.2,3522000000.0
