日期,股票简称,最新价,涨跌幅,换手率,流入资金(亿元),流出资金(亿元),净额(亿元),净买入率,成交额(亿元),涨速(%),量比,振幅(%),流通股,流通市值(亿),市盈率,流通市值
2023-08-04,瑞泰新材,20.5,0.34%,1.39%,0.280062,0.324676,-0.044614000000000036,-0.10%,0.604738,0.05,0.99,1.42,213000000.0,,28.83,4373000000.0
2023-08-02,瑞泰新材,20.43,-0.54%,1.16%,0.222771,0.279531,-0.056760000000000005,-0.13%,0.508247,0.0,0.8,1.36,213000000.0,,28.73,4358000000.0
2023-08-01,瑞泰新材,20.54,0.15%,1.33%,0.302131,0.28157800000000005,0.020552999999999964,0.05%,0.583708,-0.05,0.78,1.27,213000000.0,,28.89,4382000000.0
2023-07-31,瑞泰新材,20.51,1.33%,1.84%,0.464167,0.33979899999999996,0.124368,0.28%,0.803966,0.0,1.04,1.78,213000000.0,,28.84,4375000000.0
2023-07-28,瑞泰新材,20.24,0.95%,1.60%,0.350122,0.335906,0.014216,0.03%,0.686028,0.05,0.83,2.54,213000000.0,,28.46,4318000000.0
2023-07-27,瑞泰新材,20.05,-1.13%,1.43%,0.286571,0.331345,-0.044774,-0.10%,0.617917,0.0,0.61,2.27,213000000.0,,28.2,4277000000.000001
2023-07-26,瑞泰新材,20.28,0.00%,1.03%,0.216394,0.229695,-0.013301,-0.03%,0.446089,0.0,0.43,0.74,213000000.0,,28.52,4326000000.0
2023-07-24,瑞泰新材,19.64,-1.90%,2.13%,0.322676,0.573286,-0.25060999999999994,-0.60%,0.8959600000000001,0.05,0.97,2.45,213000000.0,,27.62,4190000000.0
2023-07-21,瑞泰新材,20.02,0.05%,2.38%,0.50333,0.5183939999999999,-0.015063999999999925,-0.04%,1.02,-0.15,1.1,2.95,213000000.0,,28.16,4271000000.0
2023-07-19,瑞泰新材,20.08,-0.69%,1.25%,0.22439,0.30656500000000003,-0.082175,-0.19%,0.53893,0.0,0.6,1.78,213000000.0,,28.27,4288000000.000001
2023-07-17,瑞泰新材,20.24,-1.89%,2.23%,0.4357270000000001,0.526407,-0.09067999999999993,-0.21%,0.962275,0.05,0.89,2.52,213000000.0,,28.46,4318000000.0
2023-07-14,瑞泰新材,20.61,-1.48%,2.15%,0.39403499999999997,0.548621,-0.154586,-0.35%,0.949089,0.0,0.96,1.96,213000000.0,,29.01,4401000000.0
2023-07-13,瑞泰新材,20.92,0.34%,2.85%,0.6996720000000001,0.581175,0.118497,0.27%,1.28,0.0,1.37,1.58,213000000.0,,29.42,4463000000.0
2023-07-12,瑞泰新材,20.85,-1.09%,2.20%,0.5201720000000001,0.463265,0.05690700000000001,0.13%,0.9834370000000001,0.0,1.07,1.75,213000000.0,,29.32,4448000000.0
2023-07-11,瑞泰新材,21.08,2.68%,3.25%,0.86326,0.588086,0.275174,0.61%,1.45,0.05,1.81,2.39,213000000.0,,29.65,4497000000.0
2023-07-10,瑞泰新材,20.53,2.14%,2.05%,0.4689020000000001,0.42847,0.04043200000000007,0.09%,0.897372,-0.05,1.04,2.74,213000000.0,,28.87,4380000000.0
2023-07-07,瑞泰新材,20.1,-1.18%,1.32%,0.241308,0.327021,-0.085713,-0.20%,0.568329,0.0,0.6,1.57,213000000.0,,28.27,4288000000.000001
2023-07-06,瑞泰新材,20.34,-1.21%,1.59%,0.315897,0.373148,-0.057251,-0.13%,0.689044,-0.05,0.76,2.38,213000000.0,43.39,28.61,
2023-07-05,瑞泰新材,20.59,-1.53%,2.05%,0.4360520000000001,0.46853999999999996,-0.032487999999999934,-0.07%,0.904591,0.0,1.07,2.15,213000000.0,43.93,28.96,
2023-07-04,瑞泰新材,20.91,0.10%,1.95%,0.464061,0.405878,0.05818300000000001,0.13%,0.8699389999999999,0.05,1.13,2.06,213000000.0,44.61,29.41,
2023-07-03,瑞泰新材,20.89,2.70%,2.95%,0.731332,0.58786,0.14347200000000002,0.32%,1.32,0.0,2.02,4.87,213000000.0,44.57,29.38,
2023-06-30,瑞泰新材,20.34,3.30%,2.46%,0.638764,0.4235,0.215264,0.50%,1.06,0.1,1.89,4.11,213000000.0,43.39,28.61,
2023-06-29,瑞泰新材,19.69,0.00%,1.01%,0.212342,0.212804,-0.000462,-0.00%,0.425146,-0.05,0.7,1.52,213000000.0,42.01,27.69,
2023-06-28,瑞泰新材,19.69,-1.55%,1.18%,0.22230100000000005,0.273621,-0.05131999999999996,-0.12%,0.49592299999999995,0.0,0.75,2.15,213000000.0,42.01,27.69,
2023-06-27,瑞泰新材,20.0,1.06%,1.02%,0.214139,0.21806999999999999,-0.0039310000000000005,-0.01%,0.432208,0.05,0.62,1.92,213000000.0,42.67,28.13,
2023-06-26,瑞泰新材,19.78,-1.59%,1.64%,0.335092,0.361471,-0.026379000000000003,-0.06%,0.6979890000000001,0.05,1.03,2.84,213000000.0,42.22,27.83,
