日期,股票简称,最新价,涨跌幅,换手率,流入资金(亿元),流出资金(亿元),净额(亿元),净买入率,成交额(亿元),涨速(%),量比,振幅(%),流通股,流通市值,市盈率
2023-09-06,恒工精密,46.79,-3.41%,19.38%,0.846631,0.94485,-0.098219,-1.06%,1.79,-0.02,0.56,5.45,19791800.0,926000000.0,34.48
2023-09-04,恒工精密,47.65,1.64%,26.50%,1.25,1.25,0.0,0.00%,2.52,-0.15,0.91,6.4,19791800.0,948000000.0,35.28
2023-08-31,恒工精密,46.61,-2.22%,31.41%,1.39,1.55,-0.16,-1.74%,2.94,-0.24,1.2,6.73,19791800.0,922000000.0,34.35
2023-08-29,恒工精密,47.6,19.99%,24.00%,0.788223,1.36,-0.5717770000000001,-6.07%,2.15,0.0,1.18,20.32,19791800.0,942000000.0,35.08
2023-08-28,恒工精密,39.67,1.56%,15.02%,0.558081,0.649329,-0.09124799999999993,-1.16%,1.21,-0.4,0.68,6.66,19791800.0,785000000.0,29.23
2023-08-25,恒工精密,39.06,-7.37%,18.09%,0.6369670000000001,0.805721,-0.168754,-2.18%,1.44,0.18,0.7,8.89,19791800.0,773000000.0,28.44
2023-08-24,恒工精密,42.17,-3.12%,18.52%,0.706791,0.8364860000000001,-0.129695,-1.55%,1.54,-0.12,0.69,5.58,19791800.0,835000000.0,30.7
2023-08-23,恒工精密,43.53,0.62%,20.14%,0.9248299999999999,0.816646,0.10818399999999999,1.26%,1.74,0.07,0.7,6.77,19791800.0,861999999.9999999,31.7
2023-08-21,恒工精密,45.68,-5.52%,24.00%,0.912113,1.33,-0.417887,-4.62%,2.24,-0.33,0.66,5.83,19791800.0,904000000.0,33.26
2023-08-18,恒工精密,48.39,2.98%,33.19%,1.65,1.49,0.16,1.67%,3.17,-0.02,1.0,7.87,19791800.0,957000000.0,35.2
2023-08-16,恒工精密,46.6,-6.11%,28.72%,1.1,1.59,-0.49,-5.31%,2.69,0.0,0.76,5.94,19791800.0,922000000.0,33.93
2023-08-14,恒工精密,50.56,9.60%,52.45%,2.64,2.4,0.24,2.40%,5.04,0.32,1.89,14.81,19791800.0,1001000000.0,36.81
2023-08-11,恒工精密,46.13,1.10%,33.21%,1.55,1.46,0.09,0.99%,3.01,0.13,1.43,5.5,19791800.0,913000000.0,33.59
2023-08-10,恒工精密,45.63,3.21%,41.98%,1.93,1.87,0.06,0.66%,3.8,0.0,2.47,9.16,19791800.0,903000000.0,33.22
2023-08-09,恒工精密,44.21,1.19%,22.82%,0.957319,1.01,-0.052680999999999985,-0.60%,1.97,0.02,1.49,3.98,19791800.0,875000000.0,32.19
2023-08-08,恒工精密,43.69,1.70%,22.78%,0.9686959999999999,0.975914,-0.0072180000000000005,-0.08%,1.94,0.0,1.58,3.52,19791800.0,865000000.0,31.81
2023-08-07,恒工精密,42.68,2.69%,14.44%,0.605372,0.581591,0.023781,0.28%,1.21,0.07,1.29,3.37,19791800.0,850000000.0,31.28
2023-08-04,恒工精密,41.56,-0.67%,10.72%,0.352163,0.52879,-0.176627,-2.15%,0.8809530000000001,0.05,0.74,1.98,19791800.0,823000000.0,30.26
2023-08-03,恒工精密,41.84,-1.51%,10.78%,0.348117,0.5255770000000001,-0.17746000000000006,-2.14%,0.894824,0.02,0.73,1.98,19791800.0,827999999.9999999,30.46
2023-08-02,恒工精密,42.48,-1.73%,14.39%,0.522835,0.681581,-0.158746,-1.89%,1.2,-0.09,1.0,2.48,19791800.0,841000000.0,30.93
2023-08-01,恒工精密,43.23,0.96%,18.66%,0.7120479999999999,0.846389,-0.13434100000000002,-1.57%,1.56,0.07,1.38,4.95,19791800.0,856000000.0,31.48
2023-07-31,恒工精密,42.82,3.01%,13.98%,0.630812,0.542395,0.088417,1.04%,1.17,0.14,0.96,3.06,19791800.0,847000000.0000001,31.18
2023-07-28,恒工精密,41.57,-1.77%,14.52%,0.570379,0.61939,-0.049011,-0.60%,1.19,-0.02,0.86,3.66,19791800.0,823000000.0,30.27
2023-07-27,恒工精密,42.32,1.76%,12.54%,0.571351,0.478709,0.092642,1.11%,1.05,-0.07,0.6,3.39,19791800.0,838000000.0000001,30.81
2023-07-26,恒工精密,41.59,-2.55%,12.49%,0.4109310000000001,0.628257,-0.217326,-2.64%,1.04,0.05,0.54,3.58,19791800.0,823000000.0,30.28
2023-07-24,恒工精密,42.46,1.55%,19.11%,0.864483,0.7195090000000001,0.144974,1.73%,1.58,-0.07,0.77,7.46,19791800.0,840000000.0,30.92
2023-07-21,恒工精密,41.81,-6.04%,25.53%,0.839915,1.34,-0.500085,-6.05%,2.18,-0.22,0.88,7.66,19791800.0,827000000.0,30.44
2023-07-20,恒工精密,43.99,0.87%,29.77%,1.31,1.29,0.02,0.23%,2.62,0.02,0.97,5.23,19791800.0,881000000.0,32.4
2023-07-19,恒工精密,43.5,0.62%,21.54%,0.864973,0.933922,-0.068949,-0.80%,1.82,-0.02,0.55,5.78,19791800.0,863000000.0000001,31.75
2023-07-17,恒工精密,43.16,-4.81%,25.55%,1.0,1.21,-0.21,-2.46%,2.21,0.0,0.4,4.34,19791800.0,853999999.9999999,31.43
2023-07-14,恒工精密,45.34,-7.47%,46.07%,1.94,2.32,-0.38,-4.24%,4.26,0.0,0.66,7.0,19791800.0,897000000.0000002,33.01
2023-07-12,恒工精密,56.37,-4.92%,64.30%,3.39,3.8,-0.41,-3.67%,7.19,0.54,0.83,12.65,19791800.0,1116000000.0,41.04
2023-07-11,恒工精密,59.29,18.58%,76.35%,4.33,3.94,0.39,3.32%,8.27,0.1,0.97,38.8,19791800.0,1173000000.0,43.17
2023-07-10,恒工精密,50.0,35.50%,78.64%,3.59,3.54,0.05,0.51%,7.14,0.0,--,36.53,19791800.0,990000000.0,36.41
