日期,股票简称,最新价,涨跌幅,换手率,流入资金(亿元),流出资金(亿元),净额(亿元),净买入率,成交额(亿元),涨速(%),量比,振幅(%),流通股,流通市值(亿),市盈率,流通市值
2023-08-14,晶升股份,43.04,-0.76%,5.27%,0.304807,0.33577,-0.030963,-0.25%,0.6405770000000001,-0.14,0.92,3.37,28585100.000000004,,610.32,1230000000.0
2023-08-11,晶升股份,43.37,-3.96%,5.73%,0.24402800000000005,0.47661800000000004,-0.23259,-1.88%,0.720646,0.0,1.02,5.54,28585100.000000004,,615.0,1240000000.0
2023-08-10,晶升股份,45.16,3.39%,6.46%,0.4477979999999999,0.388112,0.05968599999999993,0.46%,0.835909,-0.02,1.16,6.41,28585100.000000004,,640.38,1291000000.0
2023-08-09,晶升股份,43.68,-0.32%,5.44%,0.351912,0.329572,0.022340000000000002,0.18%,0.681485,-0.43,0.92,2.9,28585100.000000004,,619.39,1249000000.0
2023-08-08,晶升股份,43.82,-3.40%,5.01%,0.26774000000000003,0.368151,-0.100411,-0.80%,0.63589,-0.3,0.81,4.34,28585100.000000004,,621.38,1253000000.0
2023-08-07,晶升股份,45.31,1.66%,5.46%,0.421369,0.281523,0.13984599999999991,1.08%,0.707201,-0.09,0.96,2.85,28585100.000000004,,643.22,1297000000.0
2023-08-04,晶升股份,44.53,-1.13%,4.83%,0.246952,0.367373,-0.120421,-0.95%,0.615945,-0.02,0.84,2.24,28585100.000000004,,632.01,1274000000.0
2023-08-03,晶升股份,45.09,1.94%,5.99%,0.4624140000000001,0.301877,0.16053699999999999,1.25%,0.768519,-0.11,1.05,3.78,28585100.000000004,,638.68,1287000000.0
2023-08-02,晶升股份,44.23,0.34%,7.36%,0.466478,0.470703,-0.004225,-0.03%,0.93718,-0.29,1.41,3.54,28585100.000000004,,627.19,1264000000.0
2023-08-01,晶升股份,44.08,1.99%,6.42%,0.436424,0.361512,0.074912,0.59%,0.797936,0.07,1.12,3.93,28585100.000000004,,625.07,1260000000.0
2023-07-31,晶升股份,43.22,-0.60%,5.78%,0.328858,0.385759,-0.056901,-0.46%,0.7146170000000001,-0.19,1.05,2.48,28585100.000000004,,612.87,1235000000.0
2023-07-28,晶升股份,43.48,2.07%,5.33%,0.341001,0.313954,0.027047,0.22%,0.6549550000000001,0.0,0.88,4.37,28585100.000000004,,616.56,1243000000.0
2023-07-27,晶升股份,42.6,-1.21%,4.28%,0.270444,0.2573010000000001,0.013142999999999962,0.11%,0.5277439999999999,0.05,0.7,3.04,28585100.000000004,,604.08,1218000000.0
2023-07-26,晶升股份,43.12,-2.71%,4.34%,0.228898,0.31309499999999996,-0.08419700000000001,-0.68%,0.541992,0.02,0.68,3.05,28585100.000000004,,611.45,1233000000.0
2023-07-24,晶升股份,41.89,-0.78%,4.58%,0.239927,0.30577,-0.065843,-0.55%,0.5456979999999999,0.43,0.76,2.56,28585100.000000004,,594.01,1197000000.0
2023-07-21,晶升股份,42.22,-4.35%,8.17%,0.537884,0.463623,0.07426100000000008,0.62%,1.0,0.0,1.35,5.23,28585100.000000004,,598.69,1207000000.0
2023-07-20,晶升股份,44.36,-2.10%,3.69%,0.189217,0.283517,-0.0943,-0.75%,0.4735270000000001,-0.02,0.65,3.62,28585100.000000004,,625.92,1262000000.0
2023-07-19,晶升股份,45.19,-3.13%,5.17%,0.260316,0.413682,-0.153366,-1.18%,0.676127,-0.02,0.68,4.22,28585100.000000004,,642.51,1295000000.0
2023-07-17,晶升股份,46.38,-3.52%,6.85%,0.323422,0.593012,-0.26959,-2.03%,0.916434,0.07,0.68,5.37,28585100.000000004,,657.68,1326000000.0
2023-07-14,晶升股份,48.07,-1.37%,8.18%,0.5092979999999999,0.6247189999999999,-0.11542100000000001,-0.84%,1.13,-0.48,0.7,3.61,28585100.000000004,,681.65,1374000000.0
2023-07-13,晶升股份,48.74,3.20%,11.01%,0.87336,0.646464,0.226896,1.63%,1.52,-0.16,0.77,5.95,28585100.000000004,,691.15,1393000000.0
2023-07-12,晶升股份,47.23,-4.72%,11.88%,0.557358,1.07,-0.512642,-3.80%,1.63,0.11,0.89,6.62,28585100.000000004,,669.74,1350000000.0
2023-07-11,晶升股份,49.57,2.78%,9.42%,0.7498640000000001,0.580485,0.169379,1.20%,1.33,0.1,0.69,5.08,28585100.000000004,,702.92,1417000000.0
2023-07-10,晶升股份,48.23,-1.55%,9.63%,0.492314,0.841417,-0.349103,-2.53%,1.33,0.15,0.71,4.12,28585100.000000004,,683.91,1379000000.0
