日期,股票简称,最新价,涨跌幅,换手率,流入资金(亿元),流出资金(亿元),净额(亿元),净买入率,成交额(亿元),涨速(%),量比,振幅(%),流通股,流通市值(亿),市盈率,流通市值
2023-07-12,健友股份,13.33,0.00%,0.29%,0.327654,0.305762,0.021892,0.01%,0.637282,-0.15,0.93,1.95,1614999999.9999998,,16.21,21523000000.0
2023-07-11,健友股份,13.33,-1.48%,0.28%,0.215402,0.384262,-0.16885999999999998,-0.08%,0.5996630000000001,-0.08,0.81,2.29,1614999999.9999998,,16.21,21523000000.0
2023-07-10,健友股份,13.53,2.11%,0.36%,0.41256499999999996,0.371628,0.040937,0.02%,0.784194,0.15,0.9,2.11,1614999999.9999998,,16.45,21846000000.0
2023-07-07,健友股份,13.25,-0.90%,0.25%,0.23320300000000005,0.309397,-0.07619399999999996,-0.04%,0.5426,-0.08,0.51,2.92,1614999999.9999998,,16.11,21394000000.0
2023-07-06,健友股份,13.48,0.00%,0.36%,0.368845,0.4216470000000001,-0.052801999999999995,-0.02%,0.7904909999999999,0.0,0.68,3.12,1614999999.9999998,217.65,16.39,
2023-07-05,健友股份,13.48,0.45%,0.34%,0.305402,0.433634,-0.12823199999999998,-0.06%,0.7390369999999999,0.0,0.55,1.49,1614999999.9999998,217.65,16.39,
2023-07-04,健友股份,13.42,-1.83%,0.42%,0.388693,0.5207649999999999,-0.132072,-0.06%,0.909457,0.0,0.63,1.9,1614999999.9999998,216.68,16.32,
2023-07-03,健友股份,13.67,1.26%,0.63%,0.530138,0.858498,-0.32836,-0.15%,1.39,-0.07,0.97,3.33,1614999999.9999998,220.72,16.62,
2023-06-30,健友股份,13.5,2.97%,0.73%,0.817178,0.769271,0.047907,0.02%,1.59,0.0,1.3,6.03,1614999999.9999998,217.97,16.42,
2023-06-29,健友股份,13.11,2.02%,0.55%,0.566074,0.5766310000000001,-0.010557000000000077,-0.00%,1.14,0.0,1.08,3.42,1614999999.9999998,211.68,15.94,
2023-06-28,健友股份,12.85,-0.62%,0.80%,0.815943,0.858707,-0.042763999999999996,-0.02%,1.67,0.0,1.63,4.25,1614999999.9999998,207.48,15.63,
2023-06-27,健友股份,12.93,3.86%,0.61%,0.745847,0.512412,0.233435,0.11%,1.26,0.08,1.24,4.26,1614999999.9999998,208.77,15.72,
2023-06-26,健友股份,12.45,1.38%,0.59%,0.695807,0.49914,0.196667,0.10%,1.19,0.08,1.21,5.05,1614999999.9999998,201.02,15.14,
