日期,股票简称,最新价,涨跌幅,换手率,流入资金(亿元),流出资金(亿元),净额(亿元),净买入率,成交额(亿元),涨速(%),量比,振幅(%),流通股,流通市值(亿),市盈率,流通市值
2023-07-19,智能自控,13.15,8.59%,32.33%,4.51,4.05,0.46,1.69%,8.59,0.0,1.51,9.83,208000000.0,,79.17,2718000000.0
2023-07-17,智能自控,11.01,-9.98%,17.96%,2.39,1.74,0.65,2.83%,4.14,0.0,1.17,2.29,208000000.0,,66.85,2295000000.0
2023-07-14,智能自控,12.55,9.70%,33.73%,4.18,4.17,0.01,0.04%,8.39,0.0,3.96,11.54,208000000.0,,74.26,2550000000.0
2023-07-13,智能自控,11.44,10.00%,32.02%,4.28,3.06,1.22,5.12%,7.34,0.0,10.12,9.04,208000000.0,,69.46,2385000000.0
2023-07-12,智能自控,10.4,10.05%,4.60%,0.235997,0.742355,-0.506358,-2.34%,0.988659,0.0,1.42,5.4,208000000.0,,63.15,2168000000.0
2023-07-11,智能自控,9.44,-0.84%,2.30%,0.17771900000000002,0.27014,-0.092421,-0.47%,0.455486,0.11,0.5,1.26,208000000.0,,57.38,1970000000.0
2023-07-10,智能自控,9.52,-1.96%,2.92%,0.21765100000000004,0.365207,-0.14755599999999994,-0.74%,0.582857,0.21,0.54,2.99,208000000.0,,57.8,1985000000.0
2023-07-07,智能自控,9.71,-2.22%,2.91%,0.23031999999999997,0.36043400000000003,-0.130114,-0.64%,0.590753,0.0,0.46,2.62,208000000.0,,58.96,2024000000.0
2023-07-06,智能自控,9.93,0.00%,2.98%,0.294722,0.31999099999999997,-0.025269,-0.12%,0.6147130000000001,0.1,0.42,2.62,208000000.0,20.7,60.29,
2023-07-05,智能自控,9.93,-2.07%,5.04%,0.423596,0.628058,-0.204462,-0.99%,1.05,0.2,0.66,2.47,208000000.0,20.7,60.29,
2023-07-04,智能自控,10.14,2.74%,9.96%,0.678325,0.982877,-0.304552,-1.44%,2.11,0.1,1.5,4.86,208000000.0,21.14,61.57,
2023-07-03,智能自控,9.87,-2.66%,6.05%,0.4942229999999999,0.755042,-0.2608190000000001,-1.27%,1.25,0.1,0.91,3.85,208000000.0,20.58,59.93,
2023-06-30,智能自控,10.14,1.50%,7.74%,0.943931,0.682987,0.260944,1.23%,1.63,0.0,1.15,2.7,208000000.0,21.14,61.57,
2023-06-29,智能自控,9.99,0.81%,6.92%,0.758143,0.684941,0.073202,0.35%,1.44,0.0,0.82,3.33,208000000.0,20.83,60.66,
2023-06-28,智能自控,9.91,2.16%,7.75%,0.770721,0.7956489999999999,-0.024928,-0.12%,1.57,0.1,0.86,6.8,208000000.0,20.66,60.17,
2023-06-27,智能自控,9.7,3.30%,4.87%,0.566605,0.408782,0.157823,0.78%,0.975475,-0.21,0.39,3.51,208000000.0,20.22,58.9,
2023-06-26,智能自控,9.35,-3.81%,5.30%,0.43359,0.617534,-0.183944,-0.94%,1.06,0.0,0.46,5.35,208000000.0,19.57,57.01,
