日期,股票简称,最新价,涨跌幅,换手率,流入资金(亿元),流出资金(亿元),净额(亿元),净买入率,成交额(亿元),涨速(%),量比,振幅(%),流通股,流通市值(亿),市盈率
2023-07-06,昆药集团,17.8,-2.79%,2.07%,1.01,1.8,-0.79,-0.59%,2.81,0.0,0.92,3.88,757000000.0,134.74,25.74
2023-07-05,昆药集团,18.31,-2.86%,2.34%,1.33,1.93,-0.6,-0.43%,3.26,0.22,1.19,4.35,757000000.0,138.6,26.49
2023-07-04,昆药集团,18.85,-2.73%,2.50%,1.5,2.1,-0.6,-0.42%,3.59,0.27,1.49,3.77,757000000.0,142.69,27.27
2023-07-03,昆药集团,19.38,-6.47%,3.65%,2.27,3.12,-0.85,-0.58%,5.39,0.0,2.78,8.3,757000000.0,146.69999999999996,28.03
2023-06-30,昆药集团,20.72,-1.66%,1.56%,1.07,1.43,-0.36,-0.23%,2.5,0.05,1.18,4.37,757000000.0,156.85,29.97
2023-06-29,昆药集团,21.07,3.08%,1.18%,1.08,0.7907029999999999,0.289297,0.18%,1.87,-0.1,0.9,4.16,757000000.0,159.49,30.48
2023-06-28,昆药集团,20.44,-1.11%,0.96%,0.70073,0.791787,-0.091057,-0.06%,1.49,-0.05,0.65,3.24,757000000.0,154.72999999999996,29.57
2023-06-27,昆药集团,20.67,1.47%,1.02%,0.714409,0.884525,-0.17011600000000002,-0.11%,1.6,-0.15,0.59,2.9,757000000.0,156.47,29.9
2023-06-26,昆药集团,20.37,-2.07%,1.82%,1.3,1.52,-0.22,-0.14%,2.82,0.2,1.08,4.76,757000000.0,154.19999999999996,29.46
