日期,股票简称,最新价,涨跌幅,换手率,流入资金(亿元),流出资金(亿元),净额(亿元),净买入率,成交额(亿元),涨速(%),量比,振幅(%),流通股,流通市值,市盈率
2023-09-06,长华化学,28.98,2.66%,13.86%,0.727706,0.583014,0.144692,1.50%,1.31,0.0,1.38,4.75,33243500.0,963000000.0,45.73
2023-09-04,长华化学,28.4,1.76%,10.66%,0.546146,0.453082,0.093064,0.98%,1.01,0.07,0.94,3.4,33243500.0,945000000.0,44.85
2023-08-31,长华化学,28.43,0.39%,9.18%,0.438609,0.422021,0.016588,0.18%,0.8606299999999999,0.18,0.62,2.19,33243500.0,945000000.0,44.87
2023-08-29,长华化学,28.34,6.14%,17.52%,0.953794,0.6663819999999999,0.287412,3.05%,1.62,0.0,1.03,6.93,33243500.0,942000000.0,44.72
2023-08-28,长华化学,26.7,-0.37%,14.02%,0.556923,0.7266020000000001,-0.16967900000000008,-1.91%,1.28,0.04,0.76,8.1,33243500.0,888000000.0000002,42.14
2023-08-25,长华化学,26.8,-3.74%,12.13%,0.520217,0.5800939999999999,-0.05987699999999992,-0.67%,1.1,0.11,0.54,3.88,33243500.0,891000000.0,42.29
2023-08-24,长华化学,27.84,-0.68%,17.59%,0.8300860000000001,0.780022,0.050064,0.54%,1.61,0.07,0.7,6.32,33243500.0,925000000.0,43.94
2023-08-23,长华化学,28.03,-3.84%,17.96%,0.799292,0.906206,-0.10691400000000001,-1.15%,1.71,-0.07,0.69,6.52,33243500.0,932000000.0,44.23
2023-08-21,长华化学,30.81,0.03%,21.10%,1.1,1.06,0.04,0.39%,2.16,0.07,0.71,3.15,33243500.0,1024000000.0,54.5
2023-08-18,长华化学,30.92,1.48%,31.64%,1.64,1.61,0.03,0.29%,3.27,-0.07,1.07,6.27,33243500.0,1024000000.0,54.48
2023-08-16,长华化学,29.6,0.27%,22.06%,1.02,1.16,-0.14,-1.42%,2.18,0.2,0.49,3.86,33243500.0,984000000.0,52.36
2023-08-15,长华化学,29.52,-4.50%,29.89%,1.14,1.8,-0.66,-6.73%,2.99,0.0,0.57,5.63,33243500.0,981000000.0,52.22
2023-08-10,长华化学,36.6,-0.92%,56.40%,3.27,3.35,-0.08,-0.66%,6.62,0.25,0.86,14.48,33243500.0,1217000000.0,64.74
2023-08-09,长华化学,36.94,0.19%,65.25%,3.85,3.96,-0.11,-0.90%,7.81,0.3,0.99,18.12,33243500.0,1228000000.0,65.34
2023-08-08,长华化学,36.87,-4.43%,66.38%,4.22,4.34,-0.12,-0.98%,8.57,0.03,1.01,14.49,33243500.0,1226000000.0,65.22
2023-08-07,长华化学,37.47,15.54%,65.92%,4.06,3.56,0.5,3.90%,7.66,0.18,1.09,23.19,33243500.0,1283000000.0,68.24
2023-08-03,长华化学,34.75,34.95%,72.11%,3.93,4.64,-0.71,-6.13%,8.62,0.03,--,27.11,33243500.0,1158000000.0,61.59
