日期,股票简称,最新价,涨跌幅,换手率,流入资金(亿元),流出资金(亿元),净额(亿元),净买入率,成交额(亿元),涨速(%),量比,振幅(%),流通股,流通市值(亿),市盈率,流通市值
2023-07-07,品渥食品,22.97,-0.61%,1.02%,0.030233999999999997,0.044307,-0.014073000000000004,-0.19%,0.074541,-0.13,0.65,1.3,31648800.0,,亏损,727000000.0
2023-07-06,品渥食品,23.11,0.30%,1.39%,0.061514,0.040103,0.021411000000000003,0.29%,0.101617,0.04,0.91,1.17,31648800.0,7.31,亏损,
2023-07-05,品渥食品,23.04,-1.79%,1.56%,0.042332999999999996,0.071466,-0.029133,-0.40%,0.113799,-0.09,0.94,1.66,31648800.0,7.29,亏损,
2023-07-04,品渥食品,23.46,1.38%,1.75%,0.073959,0.055052,0.018907,0.25%,0.129011,0.13,1.05,2.42,31648800.0,7.42,亏损,
2023-07-03,品渥食品,23.14,1.05%,1.81%,0.068587,0.064464,0.004123,0.06%,0.133074,0.0,1.04,2.66,31648800.0,7.32,亏损,
2023-06-30,品渥食品,22.9,1.01%,1.40%,0.051228,0.050283,0.000945,0.01%,0.101511,-0.04,0.69,2.25,31648800.0,7.25,亏损,
2023-06-29,品渥食品,22.67,0.13%,1.15%,0.04218,0.040188,0.0019920000000000003,0.03%,0.082368,0.04,0.5,2.78,31648800.0,7.17,亏损,
2023-06-28,品渥食品,22.64,0.13%,2.16%,0.063572,0.08957999999999999,-0.026008,-0.36%,0.153152,0.13,0.81,4.51,31648800.0,7.17,亏损,
2023-06-27,品渥食品,22.61,1.89%,1.87%,0.08027100000000001,0.053101,0.02717,0.38%,0.13337100000000002,0.09,0.57,2.7,31648800.0,7.16,亏损,
2023-06-26,品渥食品,22.18,-3.10%,2.07%,0.06518099999999999,0.080916,-0.01573500000000001,-0.22%,0.147583,0.18,0.55,3.45,31648800.0,7.02,亏损,
