日期,股票简称,最新价,涨跌幅,换手率,流入资金(亿元),流出资金(亿元),净额(亿元),净买入率,成交额(亿元),涨速(%),量比,振幅(%),流通股,流通市值(亿),市盈率
2023-07-06,长飞光纤,36.05,-0.03%,0.76%,0.531567,0.5847359999999999,-0.05316900000000002,-0.04%,1.12,-0.08,0.8,3.16,406000000.0,146.47999999999996,28.34
2023-07-05,长飞光纤,36.06,-2.12%,0.94%,0.534606,0.8638819999999999,-0.3292759999999999,-0.22%,1.4,-0.17,1.04,3.75,406000000.0,146.53,28.35
2023-07-04,长飞光纤,36.84,0.00%,1.48%,1.02,1.24,-0.22,-0.15%,2.26,0.0,1.8,5.38,406000000.0,149.69999999999996,28.96
2023-07-03,长飞光纤,36.84,-0.46%,0.77%,0.550766,0.602241,-0.051475,-0.03%,1.15,0.0,0.8,2.13,406000000.0,149.69999999999996,28.96
2023-06-30,长飞光纤,37.01,2.89%,0.95%,0.781146,0.634921,0.146225,0.10%,1.42,-0.05,0.98,4.31,406000000.0,150.38999999999996,29.09
2023-06-29,长飞光纤,35.97,0.39%,0.57%,0.424324,0.405403,0.018921,0.01%,0.829727,0.03,0.5,1.9,406000000.0,146.16,28.27
2023-06-28,长飞光纤,35.83,-1.48%,0.77%,0.461554,0.6532899999999999,-0.191736,-0.13%,1.11,0.03,0.53,3.16,406000000.0,145.59,28.16
2023-06-27,长飞光纤,36.37,-0.93%,1.06%,0.640836,0.916696,-0.27586,-0.19%,1.56,-0.11,0.66,4.14,406000000.0,147.79,28.59
2023-06-26,长飞光纤,36.71,-0.24%,1.45%,0.834706,1.35,-0.5152939999999999,-0.35%,2.18,-0.05,0.82,3.78,406000000.0,149.16999999999996,28.86
