日期,股票简称,最新价,涨跌幅,换手率,流入资金(亿元),流出资金(亿元),净额(亿元),净买入率,成交额(亿元),涨速(%),量比,振幅(%),流通股,流通市值,市盈率
2023-09-06,赛维时代,34.83,-0.54%,10.28%,0.503061,0.622204,-0.119143,-1.09%,1.13,-0.03,0.53,2.4,31410900.0,1094000000.0,46.34
2023-08-31,赛维时代,36.15,-2.06%,11.53%,0.612846,0.716078,-0.10323199999999999,-0.91%,1.33,0.0,0.72,4.63,31410900.0,1136000000.0,48.1
2023-08-29,赛维时代,36.88,7.18%,20.11%,1.34,0.949093,0.390907,3.38%,2.29,0.03,1.01,8.6,31410900.0,1158000000.0,70.98
2023-08-28,赛维时代,34.41,-0.12%,13.94%,0.76753,0.782287,-0.014757,-0.14%,1.55,-0.23,0.63,7.75,31410900.0,1081000000.0,66.23
2023-08-25,赛维时代,34.45,-5.54%,16.34%,0.8448,0.971676,-0.126876,-1.17%,1.82,-0.06,0.6,8.39,31410900.0,1082000000.0,66.31
2023-08-23,赛维时代,36.71,-6.61%,23.51%,1.24,1.55,-0.31,-2.69%,2.79,0.0,0.56,6.67,31410900.0,1153000000.0,70.65
2023-08-21,赛维时代,40.85,-0.78%,24.72%,1.6,1.61,-0.01,-0.08%,3.2,0.02,0.54,3.86,31410900.0,1283000000.0,78.62
2023-08-18,赛维时代,41.49,-3.47%,40.33%,2.49,2.74,-0.2499999999999997,-1.93%,5.24,0.02,1.07,7.98,31410900.0,1293000000.0,79.24
2023-08-16,赛维时代,43.4,4.70%,62.85%,4.57,4.06,0.51,3.74%,8.63,0.05,2.5,11.87,31410900.0,1363000000.0,83.53
2023-08-15,赛维时代,41.45,5.26%,48.42%,3.17,3.0,0.17,1.31%,6.24,-0.02,2.5,15.72,31410900.0,1302000000.0,79.78
2023-08-14,赛维时代,39.38,3.63%,22.22%,1.41,1.32,0.09,0.73%,2.73,0.05,1.12,5.82,31410900.0,1237000000.0,75.79
2023-08-11,赛维时代,38.0,-2.14%,15.39%,0.8143020000000001,1.05,-0.235698,-1.97%,1.87,0.0,0.66,3.79,31410900.0,1194000000.0,73.14
2023-08-10,赛维时代,38.83,0.26%,18.14%,1.06,1.16,-0.1,-0.82%,2.22,0.03,0.64,3.77,31410900.0,1220000000.0,74.73
2023-08-09,赛维时代,38.73,-3.85%,21.50%,1.17,1.49,-0.32,-2.63%,2.66,0.0,0.68,5.21,31410900.0,1217000000.0,74.54
2023-08-08,赛维时代,40.28,-3.87%,19.43%,1.2,1.28,-0.08,-0.63%,2.48,-0.2,0.53,6.66,31410900.0,1265000000.0,77.53
2023-08-07,赛维时代,41.7,-0.93%,22.85%,1.36,1.63,-0.27,-2.05%,3.01,-0.12,0.61,5.32,31410900.0,1316000000.0,80.64
2023-08-04,赛维时代,42.09,-2.41%,32.89%,2.01,2.4,-0.39,-2.95%,4.41,0.02,0.77,5.61,31410900.0,1322000000.0,81.01
2023-08-03,赛维时代,43.27,1.50%,40.94%,2.75,2.79,-0.04,-0.30%,5.61,-0.19,0.99,9.27,31410900.0,1355000000.0,83.01
2023-08-03,赛维时代,43.13,1.17%,43.13%,2.9,2.93,-0.03,-0.22%,5.9,-0.19,0.99,9.27,31410900.0,1355000000.0,83.01
2023-08-02,赛维时代,42.63,4.95%,38.03%,2.74,2.28,0.46,3.44%,5.02,-0.05,0.79,8.52,31410900.0,1339000000.0,82.05
2023-07-31,赛维时代,46.15,6.04%,42.73%,3.32,2.75,0.57,3.93%,6.07,0.07,0.71,9.24,31410900.0,1450000000.0,88.82
2023-07-27,赛维时代,47.4,-8.32%,47.80%,3.36,3.8,-0.44,-2.96%,7.16,-0.23,0.74,7.12,31410900.0,1489000000.0,91.23
2023-07-26,赛维时代,51.7,6.93%,60.33%,4.7,4.6,0.1,0.62%,9.3,0.02,0.97,12.53,31410900.0,1623999999.9999998,99.5
2023-07-24,赛维时代,45.95,9.93%,77.32%,5.45,4.88,0.57,3.95%,10.33,-0.33,1.41,25.36,31410900.0,1443000000.0,88.44
2023-07-21,赛维时代,41.8,0.07%,82.94%,5.96,5.66,0.3,2.28%,11.63,-0.02,1.54,12.38,31410900.0,1313000000.0,80.45
2023-07-20,赛维时代,41.77,19.99%,32.52%,1.26,2.83,-1.57,-11.97%,4.09,0.0,0.53,17.15,31410900.0,1312000000.0,80.39
2023-07-19,赛维时代,34.95,2.70%,44.60%,2.22,2.41,-0.1899999999999997,-1.74%,4.71,0.09,0.67,9.93,31410900.0,1093000000.0,67.0
2023-07-14,赛维时代,42.46,2.98%,70.10%,4.85,4.71,0.14,1.09%,9.6,-0.32,0.95,16.3,31410900.0,1288000000.0,78.91
2023-07-13,赛维时代,41.23,-6.27%,73.53%,4.3,4.81,-0.51,-3.94%,9.12,-0.12,0.84,9.84,31410900.0,1295000000.0,79.35
2023-07-12,赛维时代,43.99,115.11%,87.01%,5.14,4.32,0.82,5.93%,9.46,0.0,--,71.15,31410900.0,1382000000.0,84.67
