日期,股票简称,最新价,涨跌幅,换手率,流入资金(亿元),流出资金(亿元),净额(亿元),净买入率,成交额(亿元),涨速(%),量比,振幅(%),流通股,流通市值(亿),市盈率,流通市值
2023-08-03,华特气体,75.01,-0.46%,0.42%,0.186235,0.191085,-0.00485,-0.01%,0.38119,0.43,0.67,1.19,120000000.0,,56.63,9045000000.0
2023-08-02,华特气体,75.29,1.26%,0.65%,0.307613,0.278036,0.029577,0.03%,0.589385,0.09,1.11,2.77,120000000.0,,56.65,9048000000.0
2023-08-01,华特气体,74.35,1.49%,0.90%,0.4426100000000001,0.354589,0.088021,0.10%,0.797199,0.16,1.77,2.28,120000000.0,,55.89,8927000000.0
2023-07-31,华特气体,73.26,0.01%,0.83%,0.27365700000000004,0.453942,-0.180285,-0.20%,0.727599,-0.04,2.02,2.09,120000000.0,,55.07,8796000000.0
2023-07-28,华特气体,73.25,0.14%,0.44%,0.17800000000000002,0.205437,-0.027437,-0.03%,0.383438,0.47,1.09,2.05,120000000.0,,55.06,8795000000.0
2023-07-27,华特气体,73.15,0.21%,0.46%,0.21314299999999997,0.18568199999999999,0.027461000000000003,0.03%,0.39882399999999996,0.62,1.14,1.18,120000000.0,,54.99,8783000000.0
2023-07-26,华特气体,73.0,-0.57%,0.38%,0.11913699999999998,0.216992,-0.09785500000000004,-0.11%,0.336129,0.0,0.87,1.98,120000000.0,,54.87,8765000000.0
2023-07-24,华特气体,71.92,-0.53%,0.33%,0.095565,0.185212,-0.089647,-0.10%,0.280777,0.1,0.65,1.7,120000000.0,,54.06,8635000000.0
2023-07-21,华特气体,72.3,-0.80%,0.42%,0.14923499999999998,0.218138,-0.06890299999999999,-0.08%,0.367374,-0.21,0.75,1.85,120000000.0,,54.35,8681000000.0
2023-07-20,华特气体,72.97,-0.33%,0.34%,0.08792799999999999,0.20974299999999999,-0.121815,-0.14%,0.29832600000000004,0.25,0.65,1.74,120000000.0,,54.78,8750000000.0
2023-07-19,华特气体,73.21,-1.53%,0.48%,0.127314,0.298224,-0.17090999999999998,-0.19%,0.4277270000000001,0.03,0.77,2.95,120000000.0,,55.03,8790000000.0
2023-07-17,华特气体,74.96,-0.62%,0.58%,0.244662,0.274777,-0.030115,-0.03%,0.51944,0.35,0.77,2.58,120000000.0,,56.35,9000000000.0
2023-07-14,华特气体,75.43,-1.85%,0.74%,0.29690500000000003,0.377339,-0.080434,-0.09%,0.674244,0.05,0.97,3.41,120000000.0,,56.7,9057000000.0
2023-07-13,华特气体,76.85,2.19%,0.87%,0.47833000000000003,0.320766,0.157564,0.17%,0.799094,-0.07,1.13,2.35,120000000.0,,57.77,9227000000.0
2023-07-12,华特气体,75.2,-4.20%,1.12%,0.376666,0.6436850000000001,-0.267019,-0.30%,1.02,-0.23,1.61,4.64,120000000.0,,56.53,9029000000.0
2023-07-11,华特气体,78.5,1.30%,0.50%,0.243359,0.231104,0.012255,0.01%,0.4744640000000001,-0.15,0.6,2.17,120000000.0,,59.01,9425000000.0
2023-07-10,华特气体,77.49,0.27%,0.52%,0.28965799999999997,0.19607,0.093588,0.10%,0.485728,-0.27,0.59,2.34,120000000.0,,58.25,9304000000.0
2023-07-07,华特气体,77.28,-0.13%,0.79%,0.319633,0.408051,-0.088418,-0.10%,0.727684,-0.28,0.81,2.48,120000000.0,,58.09,9279000000.0
2023-07-06,华特气体,77.38,-1.34%,0.93%,0.338047,0.52691,-0.188863,-0.20%,0.864956,0.03,0.97,3.69,120000000.0,92.91,58.17,
2023-07-05,华特气体,78.83,-1.60%,0.74%,0.274948,0.4344310000000001,-0.15948300000000007,-0.17%,0.709379,0.0,0.75,3.3,120000000.0,94.65,59.26,
2023-07-04,华特气体,80.11,-1.48%,1.20%,0.520091,0.6402180000000001,-0.120127,-0.12%,1.16,0.03,1.28,4.19,120000000.0,96.18,60.22,
2023-07-03,华特气体,81.31,0.72%,0.78%,0.418457,0.339413,0.079044,0.08%,0.7578699999999999,-0.11,0.82,2.24,120000000.0,97.63,61.12,
2023-06-30,华特气体,80.73,3.51%,1.22%,0.682852,0.48592799999999997,0.196924,0.20%,1.17,-0.01,1.33,5.6,120000000.0,96.93,60.69,
2023-06-29,华特气体,77.99,0.40%,0.84%,0.381834,0.406545,-0.024711,-0.03%,0.7883789999999999,0.0,0.84,2.58,120000000.0,93.64,58.62,
2023-06-28,华特气体,77.68,0.88%,0.93%,0.426467,0.434716,-0.008249,-0.01%,0.861183,-0.08,0.89,4.91,120000000.0,93.27,58.39,
2023-06-27,华特气体,77.0,-1.45%,0.93%,0.32063400000000003,0.544362,-0.223728,-0.24%,0.8649959999999999,0.17,0.88,4.06,120000000.0,92.45,57.88,
2023-06-26,华特气体,78.13,1.07%,0.80%,0.4150979999999999,0.33374299999999996,0.08135499999999993,0.09%,0.748841,0.13,0.71,3.39,120000000.0,93.81,58.73,
