日期,股票简称,最新价,涨跌幅,换手率,流入资金(亿元),流出资金(亿元),净额(亿元),净买入率,成交额(亿元),涨速(%),量比,振幅(%),流通股,流通市值,市盈率
2023-09-06,华虹公司,51.5,2.67%,13.73%,4.08,3.16,0.92,1.72%,7.24,-0.02,0.86,4.47,104000000.0,5355000000.0,27.81
2023-09-04,华虹公司,51.64,0.86%,8.98%,2.13,2.64,-0.51,-0.95%,4.77,0.04,0.5,2.23,104000000.0,5369000000.0,27.89
2023-08-31,华虹公司,52.1,1.90%,19.34%,6.16,4.32,1.84,3.40%,10.49,0.0,1.25,5.63,104000000.0,5417000000.0,28.14
2023-08-29,华虹公司,49.46,11.57%,22.40%,6.63,4.51,2.12,4.12%,11.14,0.04,2.19,12.23,104000000.0,5143000000.0,20.32
2023-08-28,华虹公司,44.33,1.14%,11.35%,2.79,2.6,0.19,0.41%,5.39,0.07,1.14,6.14,104000000.0,4609000000.0,18.21
2023-08-25,华虹公司,43.83,-4.09%,9.25%,1.64,2.61,-0.97,-2.13%,4.24,0.0,0.88,3.83,104000000.0,4557000000.0,18.01
2023-08-24,华虹公司,45.7,1.80%,8.12%,1.9,1.93,-0.03,-0.06%,3.87,-0.07,0.77,3.01,104000000.0,4752000000.0,18.78
2023-08-23,华虹公司,44.89,-3.42%,7.15%,1.23,2.15,-0.92,-1.97%,3.38,0.0,0.68,2.65,104000000.0,4667000000.0,18.44
2023-08-21,华虹公司,47.48,-2.82%,9.89%,2.11,2.85,-0.74,-1.50%,4.96,-0.04,0.97,3.38,104000000.0,4937000000.0,19.51
2023-08-18,华虹公司,48.86,-0.35%,12.48%,3.1,3.39,-0.29,-0.57%,6.49,-0.2,1.06,3.83,104000000.0,5080000000.0,20.07
2023-08-16,华虹公司,48.53,0.17%,7.10%,1.68,1.92,-0.24,-0.48%,3.6,0.0,0.38,2.93,104000000.0,5046000000.0,19.94
2023-08-15,华虹公司,48.42,-0.98%,7.14%,1.56,2.0,-0.44,-0.87%,3.59,-0.04,0.33,1.84,104000000.0,5038000000.0,19.91
2023-08-14,华虹公司,48.9,-3.74%,15.71%,3.39,4.58,-1.19,-2.34%,7.97,-0.02,0.49,4.31,104000000.0,5084000000.0,20.09
2023-08-11,华虹公司,50.8,-4.46%,20.86%,4.07,7.09,-3.02,-5.72%,11.16,-0.04,0.6,3.07,104000000.0,5282000000.0,20.87
2023-08-10,华虹公司,53.17,0.36%,27.05%,7.54,7.68,-0.14,-0.25%,15.22,0.0,0.72,5.68,104000000.0,5528000000.0,21.84
2023-08-09,华虹公司,52.98,-0.77%,21.45%,4.97,6.75,-1.78,-3.23%,11.72,-0.04,0.47,3.13,104000000.0,5509000000.0,21.77
2023-08-08,华虹公司,53.39,0.62%,30.48%,8.28,8.42,-0.14000000000000118,-0.25%,16.7,0.13,0.5,5.94,104000000.0,5551000000.0,21.93
2023-08-07,华虹公司,53.3,2.50%,54.18%,15.69,15.01,0.68,1.23%,30.9,0.0,--,14.58,104000000.0,5517000000.0,21.8
