日期,股票简称,最新价,涨跌幅,换手率,流入资金(亿元),流出资金(亿元),净额(亿元),净买入率,成交额(亿元),涨速(%),量比,振幅(%),流通股,流通市值,市盈率
2023-09-06,金凯生科,73.87,-0.86%,9.13%,0.647199,0.722422,-0.075223,-0.50%,1.37,-0.01,0.4,2.28,20398700.0,1507000000.0,28.4
2023-09-04,金凯生科,74.75,-2.16%,14.41%,0.9861530000000001,1.19,-0.203847,-1.34%,2.23,0.04,0.59,4.1,20398700.0,1526000000.0,28.76
2023-08-31,金凯生科,80.11,1.26%,33.24%,2.63,2.85,-0.22,-1.35%,5.48,-0.06,1.45,9.2,20398700.0,1634000000.0,30.8
2023-08-29,金凯生科,75.75,9.15%,25.77%,1.98,1.92,0.06,0.39%,3.9,-0.17,1.03,14.24,20398700.0,1545000000.0,40.06
2023-08-28,金凯生科,69.4,-5.19%,22.41%,1.42,1.92,-0.5,-3.53%,3.34,-0.39,0.9,13.09,20398700.0,1416000000.0,36.7
2023-08-25,金凯生科,73.2,0.48%,19.81%,1.52,1.47,0.05,0.33%,2.99,0.01,0.71,5.01,20398700.0,1493000000.0,38.72
2023-08-24,金凯生科,72.85,-3.64%,18.76%,1.32,1.51,-0.19,-1.28%,2.83,-0.08,0.6,5.75,20398700.0,1486000000.0,38.53
2023-08-23,金凯生科,75.6,-5.44%,24.45%,1.88,2.0,-0.12,-0.78%,3.88,0.15,0.69,7.13,20398700.0,1542000000.0,39.98
2023-08-21,金凯生科,89.71,-0.30%,22.31%,1.99,2.09,-0.1,-0.55%,4.08,0.28,0.52,4.31,20398700.0,1830000000.0,47.45
2023-08-18,金凯生科,91.03,-3.67%,33.39%,2.91,3.37,-0.46,-2.51%,6.34,-0.26,0.74,7.14,20398700.0,1835000000.0,47.59
2023-08-16,金凯生科,97.0,-3.01%,45.77%,4.51,4.76,-0.25,-1.26%,9.28,0.34,0.78,11.59,20398700.0,1979000000.0,51.3
2023-08-14,金凯生科,108.36,11.20%,51.93%,5.3,5.53,-0.23,-1.04%,10.83,-0.07,0.85,16.16,20398700.0,2210000000.0,57.31
2023-08-11,金凯生科,97.45,5.43%,59.66%,6.22,5.9,0.32,1.61%,12.12,0.53,1.0,15.5,20398700.0,1988000000.0,51.54
2023-08-10,金凯生科,92.43,0.36%,63.80%,6.35,5.99,0.36,1.91%,12.34,0.0,1.04,11.81,20398700.0,1885000000.0,48.89
2023-08-09,金凯生科,92.1,16.29%,74.68%,6.81,6.8,0.01,0.05%,13.61,0.05,1.29,36.53,20398700.0,1879000000.0,48.71
2023-08-08,金凯生科,79.2,24.04%,67.32%,5.39,4.45,0.94,5.82%,9.84,-0.08,1.23,29.08,20398700.0,1616000000.0,41.89
2023-08-07,金凯生科,63.8,-0.16%,37.37%,2.24,2.45,-0.21,-1.61%,4.7,0.24,0.63,7.07,20398700.0,1302000000.0,33.77
2023-08-03,金凯生科,72.55,28.27%,69.77%,5.0,5.65,-0.65,-4.39%,10.72,-0.01,--,21.22,20398700.0,1479000000.0,38.35
