日期,股票简称,最新价,涨跌幅,换手率,流入资金(亿元),流出资金(亿元),净额(亿元),净买入率,成交额(亿元),涨速(%),量比,振幅(%),流通股,流通市值(亿),市盈率,流通市值
2023-09-06,云南城投,2.63,1.54%,4.32%,1.02,0.780605,0.239395,0.57%,1.8,0.0,0.64,4.25,1605999999.9999998,,16.23,4223000000.0
2023-09-04,云南城投,2.64,-1.12%,4.28%,0.815122,1.01,-0.194878,-0.46%,1.84,0.0,0.45,3.75,1605999999.9999998,,16.41,4271000000.0
2023-08-31,云南城投,2.81,-6.33%,7.62%,1.49,2.03,-0.54,-1.20%,3.52,0.0,0.79,9.0,1605999999.9999998,,17.34,4512000000.0
2023-08-29,云南城投,3.13,6.46%,12.90%,3.24,2.94,0.3,0.60%,6.18,0.0,1.79,8.84,1605999999.9999998,,19.31,5026000000.0
2023-08-28,云南城投,2.94,5.38%,13.28%,3.01,3.38,-0.37,-0.78%,6.39,0.0,2.15,9.68,1605999999.9999998,,7.68,4721000000.0
2023-08-25,云南城投,2.79,1.45%,6.97%,1.69,1.47,0.22,0.49%,3.16,-0.36,0.95,4.73,1605999999.9999998,,7.29,4480000000.0
2023-08-24,云南城投,2.77,0.00%,5.17%,1.01,1.23,-0.22,-0.50%,2.27,-0.72,0.61,5.78,1605999999.9999998,,7.18,4416000000.0
2023-08-23,云南城投,2.77,-3.48%,4.60%,0.903443,1.17,-0.26655700000000004,-0.60%,2.07,-0.72,0.43,3.83,1605999999.9999998,,7.24,4448000000.0
2023-08-21,云南城投,2.85,-4.68%,8.12%,1.52,2.25,-0.73,-1.60%,3.76,0.0,0.73,6.69,1605999999.9999998,,7.45,4576000000.0
2023-08-18,云南城投,3.01,1.01%,12.50%,2.97,3.13,-0.16,-0.33%,6.15,0.34,1.09,9.06,1605999999.9999998,,7.81,4801000000.0
2023-08-16,云南城投,2.94,6.14%,14.94%,4.12,2.85,1.27,2.69%,6.97,0.0,1.3,11.19,1605999999.9999998,,7.68,4721000000.0
2023-08-15,云南城投,2.77,-1.42%,7.43%,1.47,1.82,-0.35,-0.79%,3.28,0.0,0.53,3.56,1605999999.9999998,,7.24,4448000000.0
2023-08-14,云南城投,2.81,-5.07%,9.35%,1.76,2.44,-0.68,-1.51%,4.2,0.0,0.67,4.39,1605999999.9999998,,7.34,4512000000.0
2023-08-11,云南城投,2.96,4.96%,16.87%,4.53,3.43,1.1,2.31%,7.95,0.0,1.06,9.93,1605999999.9999998,,7.73,4753000000.0
2023-08-10,云南城投,2.82,-1.74%,9.32%,1.81,2.4,-0.59,-1.30%,4.21,0.0,0.54,3.83,1605999999.9999998,,7.37,4528000000.0
2023-08-09,云南城投,2.87,-4.97%,14.68%,2.93,3.93,-1.0,-2.17%,6.86,0.35,0.99,6.62,1605999999.9999998,,7.5,4608000000.0
2023-08-04,云南城投,3.73,5.67%,26.61%,6.28,9.75,-3.47,-5.79%,16.03,0.0,3.5,10.48,1605999999.9999998,,9.75,5989000000.0
2023-08-03,云南城投,3.53,9.97%,16.70%,1.13,8.31,-7.18,-12.67%,9.44,0.0,3.41,6.85,1605999999.9999998,,9.22,5668000000.0
2023-08-02,云南城投,3.21,9.93%,1.79%,0.000642,0.923546,-0.922904,-1.79%,0.924189,0.0,0.32,--,1605999999.9999998,,8.39,5154000000.0
2023-08-01,云南城投,2.92,10.19%,7.31%,1.82,1.5,0.32,0.68%,3.32,0.0,1.4,9.06,1605999999.9999998,,7.63,4689000000.0
