日期,股票简称,最新价,涨跌幅,换手率,流入资金(亿元),流出资金(亿元),净额(亿元),净买入率,成交额(亿元),涨速(%),量比,振幅(%),流通股,流通市值,市盈率
2023-09-06,浙江荣泰,24.35,0.08%,7.23%,0.64558,0.557991,0.087589,0.52%,1.2,0.04,0.62,1.64,68595300.0,1670000000.0,49.07
2023-09-04,浙江荣泰,24.5,0.95%,8.84%,0.782658,0.69158,0.09107799999999999,0.54%,1.47,0.08,0.57,2.31,68595300.0,1680999999.9999998,49.37
2023-08-31,浙江荣泰,24.39,0.58%,12.05%,0.931905,1.08,-0.148095,-0.89%,2.01,0.0,0.71,3.01,68595300.0,1673000000.0,49.15
2023-08-29,浙江荣泰,24.1,7.73%,20.64%,1.89,1.44,0.45,2.72%,3.33,0.08,1.13,8.98,68595300.0,1653000000.0,48.57
2023-08-28,浙江荣泰,22.37,1.18%,15.49%,1.23,1.19,0.04,0.26%,2.42,-0.09,0.78,4.7,68595300.0,1534000000.0,45.08
2023-08-25,浙江荣泰,22.11,-7.49%,17.52%,1.3,1.42,-0.12,-0.79%,2.72,0.0,0.76,6.44,68595300.0,1517000000.0,44.56
2023-08-24,浙江荣泰,23.9,-3.47%,15.66%,1.21,1.36,-0.15,-0.92%,2.57,0.34,0.59,5.61,68595300.0,1639000000.0,48.16
2023-08-23,浙江荣泰,24.76,-7.78%,20.41%,1.46,2.1,-0.64,-3.77%,3.56,0.04,0.69,7.08,68595300.0,1698000000.0,49.9
2023-08-21,浙江荣泰,28.21,-6.00%,23.64%,1.91,2.69,-0.78,-4.03%,4.6,0.0,0.81,6.17,68595300.0,1935000000.0,63.71
2023-08-18,浙江荣泰,30.01,0.03%,33.26%,3.29,3.51,-0.22,-1.07%,6.89,0.0,1.22,6.67,68595300.0,2059000000.0,67.77
2023-08-16,浙江荣泰,29.56,4.19%,35.33%,3.93,3.1,0.83,4.09%,7.03,-0.03,1.32,6.77,68595300.0,2028000000.0,66.75
2023-08-15,浙江荣泰,28.37,-1.22%,20.34%,1.74,2.19,-0.45,-2.31%,3.93,0.07,0.66,4.49,68595300.0,1946000000.0,64.07
2023-08-14,浙江荣泰,28.72,2.90%,23.60%,2.35,2.27,0.08,0.41%,4.62,-0.04,0.66,3.51,68595300.0,1970000000.0,64.86
2023-08-11,浙江荣泰,27.91,-3.36%,23.34%,1.81,2.71,-0.9,-4.70%,4.52,-0.22,0.56,2.91,68595300.0,1914000000.0,63.03
2023-08-10,浙江荣泰,28.88,-2.79%,30.36%,2.68,3.47,-0.7899999999999997,-3.99%,6.14,0.0,0.67,5.82,68595300.0,1981000000.0,65.22
2023-08-09,浙江荣泰,29.71,-1.39%,35.86%,3.35,3.76,-0.41,-2.01%,7.11,-0.2,0.7,5.41,68595300.0,2038000000.0,67.09
2023-08-08,浙江荣泰,30.13,-5.93%,41.30%,3.7,5.01,-1.31,-6.34%,8.7,-0.03,0.71,8.37,68595300.0,2067000000.0,68.04
2023-08-07,浙江荣泰,32.03,-2.94%,47.24%,5.16,5.6,-0.44,-2.00%,11.01,0.0,0.78,12.12,68595300.0,2197000000.0,72.33
2023-08-04,浙江荣泰,33.0,5.53%,51.88%,6.25,5.49,0.76,3.36%,11.75,0.09,0.82,14.52,68595300.0,2264000000.0,74.52
2023-08-02,浙江荣泰,35.84,1.33%,66.32%,8.12,7.82,0.2999999999999988,1.22%,15.94,0.0,0.9,15.58,68595300.0,2458000000.0,80.94
2023-08-01,浙江荣泰,35.37,130.87%,73.63%,8.65,6.85,1.8,7.42%,15.62,0.0,--,72.85,68595300.0,2426000000.0,79.88
