日期,股票简称,最新价,涨跌幅,换手率,流入资金(亿元),流出资金(亿元),净额(亿元),净买入率,成交额(亿元),涨速(%),量比,振幅(%),流通股,流通市值(亿),市盈率,流通市值
2023-07-13,五洋停车,3.25,2.20%,1.75%,0.333507,0.241708,0.091799,0.28%,0.575774,0.0,1.75,3.77,1019000000.0,,106.52,3311999999.9999995
2023-07-12,五洋停车,3.18,-0.93%,1.09%,0.151169,0.204026,-0.05285700000000001,-0.16%,0.355194,-0.31,1.04,1.87,1019000000.0,,104.22,3240999999.9999995
2023-07-11,五洋停车,3.21,1.26%,0.85%,0.159381,0.112669,0.046712000000000004,0.14%,0.27778400000000003,0.0,0.76,1.89,1019000000.0,,105.2,3271000000.0
2023-07-10,五洋停车,3.17,-0.94%,1.18%,0.14908800000000005,0.233217,-0.08412899999999998,-0.26%,0.382305,0.0,0.99,2.5,1019000000.0,,103.89,3229999999.9999995
2023-07-07,五洋停车,3.2,-0.93%,0.94%,0.1291,0.176528,-0.047428,-0.15%,0.30565,0.31,0.7,1.55,1019000000.0,,104.88,3261000000.0
2023-07-06,五洋停车,3.23,0.00%,0.96%,0.14443599999999998,0.169922,-0.02548600000000002,-0.08%,0.314358,0.31,0.57,1.55,1019000000.0,32.91,105.86,
2023-07-05,五洋停车,3.23,-1.22%,1.28%,0.164179,0.258418,-0.094239,-0.29%,0.4225979999999999,0.31,0.69,2.14,1019000000.0,32.91,105.86,
2023-07-04,五洋停车,3.27,0.62%,1.29%,0.216497,0.213147,0.00335,0.01%,0.4296439999999999,0.0,0.69,2.15,1019000000.0,33.32,107.17,
2023-07-03,五洋停车,3.25,-0.91%,1.47%,0.188201,0.299652,-0.111451,-0.34%,0.4878520000000001,0.31,0.75,2.74,1019000000.0,33.12,106.52,
2023-06-30,五洋停车,3.28,-0.91%,1.67%,0.235893,0.321799,-0.085906,-0.26%,0.557692,0.31,0.83,2.42,1019000000.0,33.42,107.5,
2023-06-29,五洋停车,3.31,1.85%,2.63%,0.5413359999999999,0.338773,0.20256300000000002,0.60%,0.8801100000000001,0.61,1.29,4.0,1019000000.0,33.73,108.48,
2023-06-28,五洋停车,3.25,1.25%,2.22%,0.376658,0.344595,0.032063,0.10%,0.721252,0.31,1.17,4.67,1019000000.0,33.12,106.52,
2023-06-27,五洋停车,3.21,1.90%,1.36%,0.248063,0.19276500000000002,0.055298,0.17%,0.44083500000000003,0.31,0.7,2.86,1019000000.0,32.71,105.2,
2023-06-26,五洋停车,3.15,-1.56%,1.86%,0.23523,0.367904,-0.132674,-0.41%,0.604748,0.32,0.98,3.75,1019000000.0,32.1,103.24,
