日期,股票简称,最新价,涨跌幅,换手率,流入资金(亿元),流出资金(亿元),净额(亿元),净买入率,成交额(亿元),涨速(%),量比,振幅(%),流通股,流通市值(亿),市盈率,流通市值
2023-08-10,安迪苏,8.18,0.74%,0.09%,0.103401,0.090447,0.012954,0.01%,0.193848,0.0,0.66,1.72,2682000000.0,,328.41,21938000000.0
2023-08-09,安迪苏,8.12,-0.12%,0.10%,0.10132000000000001,0.105252,-0.003932,-0.00%,0.206571,0.0,0.68,1.11,2682000000.0,,326.0,21777000000.0
2023-08-08,安迪苏,8.13,-2.05%,0.17%,0.15679500000000002,0.22487600000000005,-0.06808100000000003,-0.03%,0.381671,0.0,1.39,2.89,2682000000.0,,326.4,21804000000.0
2023-08-07,安迪苏,8.31,-0.60%,0.15%,0.17349,0.160838,0.01265199999999998,0.01%,0.336471,0.0,1.33,1.68,2682000000.0,,333.23,22260000000.0
2023-08-04,安迪苏,8.36,-0.12%,0.14%,0.162552,0.144326,0.018226,0.01%,0.30687800000000004,0.12,1.25,1.43,2682000000.0,,3767.57,22421000000.0
2023-08-03,安迪苏,8.37,0.36%,0.11%,0.147668,0.100248,0.04742,0.02%,0.24974699999999997,-0.24,1.0,1.32,2682000000.0,,3772.07,22448000000.0
2023-08-02,安迪苏,8.34,0.72%,0.12%,0.147382,0.10736099999999996,0.04002100000000002,0.02%,0.25482600000000005,0.12,1.02,1.45,2682000000.0,,3758.55,22367000000.0
2023-08-01,安迪苏,8.29,0.61%,0.11%,0.13935699999999998,0.09525,0.044107,0.02%,0.234657,-0.12,1.01,0.97,2682000000.0,,3731.51,22206000000.0
2023-07-31,安迪苏,8.24,0.49%,0.10%,0.130193,0.092717,0.037476,0.02%,0.222909,-0.12,0.97,1.1,2682000000.0,,3713.49,22099000000.0
2023-07-28,安迪苏,8.2,0.37%,0.10%,0.13097899999999998,0.093461,0.037518,0.02%,0.22444099999999997,0.0,1.04,1.1,2682000000.0,,3695.46,21992000000.0
2023-07-27,安迪苏,8.17,-0.73%,0.14%,0.162364,0.157816,0.004548000000000019,0.00%,0.320181,-0.12,1.67,1.46,2682000000.0,,3681.94,21911000000.0
2023-07-26,安迪苏,8.23,0.37%,0.10%,0.113542,0.109048,0.004494,0.00%,0.22259,0.0,1.12,1.1,2682000000.0,,3708.98,22072000000.0
2023-07-24,安迪苏,8.12,-0.61%,0.07%,0.068915,0.091308,-0.022393,-0.01%,0.160222,-0.12,0.73,1.59,2682000000.0,,3659.41,21777000000.0
2023-07-21,安迪苏,8.17,0.25%,0.08%,0.09875700000000001,0.068562,0.030195,0.01%,0.167319,0.0,0.76,0.98,2682000000.0,,3681.94,21911000000.0
2023-07-20,安迪苏,8.15,-0.61%,0.08%,0.090984,0.08029800000000001,0.010686,0.00%,0.173775,0.0,0.81,1.34,2682000000.0,,3672.93,21857000000.0
2023-07-19,安迪苏,8.17,0.86%,0.11%,0.152123,0.086735,0.065388,0.03%,0.241623,0.37,1.16,1.48,2682000000.0,,3695.46,21992000000.0
2023-07-17,安迪苏,8.03,0.12%,0.12%,0.113053,0.145519,-0.032466,-0.02%,0.258572,0.25,1.4,1.37,2682000000.0,,3618.85,21536000000.0
2023-07-14,安迪苏,8.02,0.12%,0.07%,0.074318,0.078111,-0.0037930000000000095,-0.00%,0.154064,0.0,0.84,1.0,2682000000.0,,3614.34,21509000000.0
2023-07-13,安迪苏,8.01,0.75%,0.12%,0.145204,0.118818,0.026386,0.01%,0.264021,0.0,1.49,1.38,2682000000.0,,3609.84,21482000000.0
2023-07-12,安迪苏,8.11,-0.12%,0.08%,0.07282999999999999,0.095126,-0.022296,-0.01%,0.167996,-0.12,1.02,0.98,2682000000.0,,3650.39,21723000000.0
2023-07-11,安迪苏,8.12,0.74%,0.07%,0.085857,0.061548,0.024309,0.01%,0.147405,0.12,0.86,0.99,2682000000.0,,3659.41,21777000000.0
2023-07-10,安迪苏,8.06,-0.37%,0.08%,0.079358,0.101183,-0.021825,-0.01%,0.180541,0.12,0.98,1.36,2682000000.0,,3632.37,21616000000.0
2023-07-07,安迪苏,8.09,0.75%,0.10%,0.11643800000000001,0.092427,0.02401100000000002,0.01%,0.208865,0.25,1.12,1.37,2682000000.0,,3645.89,21697000000.0
2023-07-06,安迪苏,8.03,-0.12%,0.09%,0.099947,0.08284400000000001,0.01710299999999999,0.01%,0.182791,-0.12,1.03,1.24,2682000000.0,215.36,3618.85,
2023-07-05,安迪苏,8.04,-0.25%,0.06%,0.068598,0.050242,0.018356,0.01%,0.11884000000000006,-0.12,0.6,0.87,2682000000.0,215.62,3623.36,
2023-07-04,安迪苏,8.06,0.00%,0.08%,0.085784,0.079667,0.006117,0.00%,0.165451,0.0,0.82,1.12,2682000000.0,216.16,3632.37,
2023-07-03,安迪苏,8.06,1.13%,0.11%,0.146662,0.099191,0.04747099999999998,0.02%,0.245854,0.12,1.29,1.25,2682000000.0,216.16,3632.37,
2023-06-30,安迪苏,7.97,0.76%,0.10%,0.11223599999999996,0.103633,0.00860299999999998,0.00%,0.215869,-0.13,1.23,1.52,2682000000.0,213.75,3591.81,
2023-06-29,安迪苏,7.91,-0.38%,0.06%,0.069596,0.065709,0.003887,0.00%,0.135305,0.0,0.77,0.76,2682000000.0,212.14,3564.77,
2023-06-28,安迪苏,7.94,0.89%,0.10%,0.128447,0.082474,0.045973,0.02%,0.210921,0.0,1.28,1.65,2682000000.0,212.94,3578.29,
2023-06-27,安迪苏,7.87,1.42%,0.09%,0.12863900000000006,0.06431100000000001,0.06432800000000002,0.03%,0.192951,0.0,0.99,1.68,2682000000.0,211.07,3546.74,
2023-06-26,安迪苏,7.76,-0.39%,0.09%,0.088676,0.09292,-0.004244,-0.00%,0.181596,0.0,0.89,1.54,2682000000.0,208.12,3497.17,
