日期,股票简称,最新价,涨跌幅,换手率,流入资金(亿元),流出资金(亿元),净额(亿元),净买入率,成交额(亿元),涨速(%),量比,振幅(%),流通股,流通市值,市盈率
2023-09-06,航材股份,62.48,1.53%,2.88%,0.670512,0.5508810000000001,0.11963099999999993,0.28%,1.22,0.13,0.91,2.42,68106500.0,4255000000.0,47.52
2023-09-04,航材股份,61.81,0.36%,2.03%,0.361171,0.487237,-0.126066,-0.30%,0.848409,0.03,0.38,2.14,68106500.0,4210000000.0,47.01
2023-08-31,航材股份,63.08,-0.77%,3.40%,0.788007,0.6758390000000001,0.112168,0.26%,1.46,0.0,0.52,2.72,68106500.0,4296000000.0,47.98
2023-08-29,航材股份,64.05,4.15%,8.64%,2.43,1.29,1.1400000000000003,2.61%,3.72,0.0,1.54,6.44,68106500.0,4362000000.0,48.71
2023-08-28,航材股份,61.5,3.92%,6.91%,1.53,1.36,0.17,0.41%,2.89,-0.02,1.24,4.09,68106500.0,4189000000.0,57.2
2023-08-25,航材股份,59.18,-3.43%,3.83%,0.5495479999999999,1.02,-0.4704520000000001,-1.17%,1.57,-0.03,0.59,3.72,68106500.0,4031000000.0,55.05
2023-08-24,航材股份,61.28,2.49%,8.44%,2.39,1.09,1.3,3.11%,3.51,-0.05,1.51,4.77,68106500.0,4174000000.0,57.0
2023-08-23,航材股份,59.79,0.67%,4.05%,0.92264,0.7151529999999999,0.20748699999999998,0.51%,1.64,-0.03,0.77,2.76,68106500.0,4072000000.0,55.61
2023-08-21,航材股份,59.5,-0.22%,6.76%,1.38,1.38,0.0,0.00%,2.76,0.0,1.6,3.14,68106500.0,4052000000.000001,55.34
2023-08-18,航材股份,59.63,1.31%,8.44%,1.94,1.51,0.43,1.06%,3.46,-0.05,2.75,4.01,68106500.0,4061000000.0,55.47
2023-08-16,航材股份,57.72,-1.43%,2.48%,0.391416,0.588865,-0.197449,-0.50%,0.98028,-0.02,0.75,1.45,68106500.0,3931000000.0,53.69
2023-08-15,航材股份,58.5,-1.12%,2.09%,0.258736,0.568137,-0.30940100000000004,-0.78%,0.8356969999999999,-0.1,0.62,1.52,68106500.0,3988000000.000001,54.47
2023-08-14,航材股份,59.16,0.92%,4.05%,0.875041,0.75797,0.117071,0.29%,1.63,0.0,1.08,2.44,68106500.0,4029000000.0,55.03
2023-08-11,航材股份,58.62,-0.12%,2.69%,0.435388,0.635547,-0.200159,-0.50%,1.07,0.02,0.65,1.28,68106500.0,3992000000.0,54.53
2023-08-10,航材股份,58.69,-0.32%,3.44%,0.561334,0.819468,-0.25813400000000003,-0.65%,1.38,-0.02,0.89,1.43,68106500.0,3997000000.0,54.59
2023-08-09,航材股份,58.88,2.06%,4.19%,0.9869049999999999,0.680142,0.306763,0.76%,1.67,0.0,1.14,2.29,68106500.0,4010000000.0,54.77
2023-08-08,航材股份,57.69,-0.55%,3.49%,0.452192,0.921904,-0.469712,-1.20%,1.37,0.02,0.88,1.19,68106500.0,3929000000.0,53.66
2023-08-07,航材股份,58.01,-1.64%,5.00%,0.65587,1.33,-0.67413,-1.71%,1.98,0.0,1.33,1.32,68106500.0,3951000000.0,53.96
2023-08-03,航材股份,59.39,-0.08%,2.16%,0.351802,0.494933,-0.143131,-0.35%,0.8715729999999999,0.02,0.42,0.51,68106500.0,4046000000.0,55.25
2023-08-02,航材股份,59.44,0.05%,3.23%,0.566906,0.741999,-0.17509299999999992,-0.43%,1.31,0.02,0.5,0.91,68106500.0,4048000000.0,55.29
2023-08-01,航材股份,59.41,-1.12%,4.89%,0.8368450000000001,1.15,-0.313155,-0.77%,1.98,-0.03,0.71,1.3,68106500.0,4046000000.0,55.26
2023-07-31,航材股份,60.08,0.20%,3.98%,0.776676,0.8486030000000001,-0.071927,-0.18%,1.63,0.0,0.52,0.85,68106500.0,4092000000.0,55.88
2023-07-28,航材股份,59.96,0.50%,7.26%,1.51,1.44,0.07,0.17%,2.95,0.02,0.9,2.4,68106500.0,4084000000.000001,55.77
2023-07-27,航材股份,59.66,0.66%,6.89%,1.31,1.49,-0.18,-0.44%,2.81,-0.02,0.66,1.86,68106500.0,4063000000.000001,55.49
2023-07-26,航材股份,59.27,-2.77%,9.55%,1.49,2.39,-0.9,-2.23%,3.88,-0.02,0.58,3.23,68106500.0,4037000000.0,55.13
2023-07-24,航材股份,60.83,1.33%,7.73%,1.56,1.62,-0.06,-0.14%,3.18,0.0,0.34,3.3,68106500.0,4143000000.0,56.58
2023-07-21,航材股份,60.03,-1.88%,9.75%,1.49,2.53,-1.04,-2.54%,4.01,-0.05,0.33,3.43,68106500.0,4088000000.000001,55.84
2023-07-20,航材股份,61.41,-3.50%,16.88%,2.78,4.32,-1.54,-3.70%,7.11,0.0,0.47,3.49,68106500.0,4167000000.0,56.91
